date,factor_20,position_中证1000,position_中证500,position_沪深300,position_common
2010-05-18,-0.4497,0,0,0,0
2010-05-19,-0.3433,0,0,0,0
2010-05-20,-0.3125,0,0,0,0
2010-05-21,-0.1364,0,0,0,0
2010-05-24,-0.1036,0,0,0,0
2010-05-25,-0.1502,0,0,0,0
2010-05-26,-0.0466,0,0,0,0
2010-05-27,-0.0111,0,0,0,0
2010-05-28,-0.0743,0,0,0,0
2010-05-31,-0.4021,0,0,0,0
2010-06-01,-0.218,0,0,0,0
2010-06-02,-0.0539,0,0,0,0
2010-06-03,0.1069,0,0,0,0
2010-06-04,0.1252,0,0,0,0
2010-06-07,0.1029,0,0,0,0
2010-06-08,0.1397,0,0,0,0
2010-06-09,0.2664,0,0,0,0
2010-06-10,-0.0098,0,0,0,0
2010-06-11,0.2879,0,0,0,0
2010-06-17,0.6396,1,1,1,1
2010-06-18,0.3597,1,1,1,1
2010-06-21,0.3522,1,1,1,1
2010-06-22,0.3338,0,0,0,0
2010-06-23,0.0034,0,0,0,0
2010-06-24,-0.1326,0,0,0,0
2010-06-25,-0.189,0,0,0,0
2010-06-28,-0.2945,0,0,0,0
2010-06-29,-0.5249,0,0,0,0
2010-06-30,-0.6261,0,0,0,0
2010-07-01,-0.3898,0,0,0,0
2010-07-02,-0.3308,0,0,0,0
2010-07-05,-0.4307,0,0,0,0
2010-07-06,-0.357,0,0,0,0
2010-07-07,-0.3368,0,0,0,0
2010-07-08,-0.1428,0,0,0,0
2010-07-09,-0.0408,0,0,0,0
2010-07-12,-0.0534,0,0,0,0
2010-07-13,0.0402,0,0,0,0
2010-07-14,-0.0308,0,0,0,0
2010-07-15,-0.2518,0,0,0,0
2010-07-16,-0.3892,0,0,0,0
2010-07-19,-0.3443,0,0,0,0
2010-07-20,-0.157,0,0,0,0
2010-07-21,-0.2052,0,0,0,0
2010-07-22,-0.093,0,0,0,0
2010-07-23,0.1773,0,0,0,0
2010-07-26,0.1976,0,0,0,0
2010-07-27,0.4051,0,0,1,0
2010-07-28,0.7119,1,1,1,1
2010-07-29,0.7219,1,1,1,1
2010-07-30,0.7142,1,1,1,1
2010-08-02,0.7361,1,1,1,1
2010-08-03,0.6886,1,1,1,1
2010-08-04,0.6614,1,1,1,1
2010-08-05,0.4171,1,1,1,1
2010-08-06,0.3765,1,1,1,1
2010-08-09,0.3077,0,0,0,0
2010-08-10,0.3318,0,0,0,0
2010-08-11,0.201,0,0,0,0
2010-08-12,0.2743,0,0,0,0
2010-08-13,0.312,0,0,0,0
2010-08-16,0.1753,0,0,0,0
2010-08-17,0.1001,0,0,0,0
2010-08-18,0.2207,0,0,0,0
2010-08-19,0.2711,0,0,0,0
2010-08-20,0.2083,0,0,0,0
2010-08-23,0.2609,0,0,0,0
2010-08-24,0.3511,0,0,0,0
2010-08-25,-0.0989,0,0,0,0
2010-08-26,-0.2949,0,0,0,0
2010-08-27,-0.3674,0,0,0,0
2010-08-30,-0.2994,0,0,0,0
2010-08-31,-0.2095,0,0,0,0
2010-09-01,-0.1866,0,0,0,0
2010-09-02,0.2423,0,0,0,0
2010-09-03,0.1392,0,0,0,0
2010-09-06,0.2466,0,0,0,0
2010-09-07,0.3454,0,0,0,0
2010-09-08,0.3817,0,0,0,0
2010-09-09,0.3503,0,0,0,0
2010-09-10,0.0245,0,0,0,0
2010-09-13,0.0994,0,0,0,0
2010-09-14,0.1612,0,0,0,0
2010-09-15,-0.1184,0,0,0,0
2010-09-16,-0.2255,0,0,0,0
2010-09-17,-0.2377,0,0,0,0
2010-09-20,-0.5428,0,0,0,0
2010-09-21,-0.6301,0,0,0,0
2010-09-27,-0.1483,0,0,0,0
2010-09-28,-0.1214,0,0,0,0
2010-09-29,0.228,0,0,0,0
2010-09-30,0.4824,1,1,1,1
2010-10-08,0.5646,1,1,1,1
2010-10-11,0.5717,1,1,1,1
2010-10-12,0.5918,1,1,1,1
2010-10-13,0.5904,1,1,1,1
2010-10-14,0.5984,1,1,1,1
2010-10-15,0.597,1,1,1,1
2010-10-18,0.3172,0,0,0,0
2010-10-19,0.5398,1,1,1,1
2010-10-20,0.5804,1,1,1,1
2010-10-21,0.577,1,1,1,1
2010-10-22,0.5771,1,1,1,1
2010-10-25,0.6363,1,1,1,1
2010-10-26,0.6641,1,1,1,1
2010-10-27,0.6449,1,1,1,1
2010-10-28,0.7357,1,1,1,1
2010-10-29,0.8424,1,1,1,1
2010-11-01,0.8243,1,1,1,1
2010-11-02,0.7293,1,1,1,1
2010-11-03,0.6583,1,1,1,1
2010-11-04,0.7088,1,1,1,1
2010-11-05,0.6298,1,1,1,1
2010-11-08,0.5129,1,1,1,1
2010-11-09,0.2058,0,0,0,0
2010-11-10,-0.0678,0,0,0,0
2010-11-11,-0.2041,0,0,0,0
2010-11-12,-0.4838,0,0,0,0
2010-11-15,-0.3654,0,0,0,0
2010-11-16,-0.5432,0,0,0,0
2010-11-17,-0.595,0,0,0,0
2010-11-18,-0.5474,0,0,0,0
2010-11-19,-0.5191,0,0,0,0
2010-11-22,-0.583,0,0,0,0
2010-11-23,-0.6201,0,0,0,0
2010-11-24,-0.5673,0,0,0,0
2010-11-25,-0.6263,0,0,0,0
2010-11-26,-0.6973,-1,-1,-1,-1
2010-11-29,-0.7933,-1,-1,-1,-1
2010-11-30,-0.7373,-1,-1,-1,-1
