group,left_column,right_column,direction
1,000057.SH,000058.SH,forward
2,000918.CSI,000919.CSI,forward
3,H30351.CSI,H30352.CSI,forward
4,H30355.CSI,H30356.CSI,forward
5,000028.SH,000029.SH,forward
6,000117.SH,000118.SH,forward
7,932406.CSI,932407.CSI,reverse
8,932408.CSI,932409.CSI,reverse
9,399346.SZ,399348.SZ,forward
10,399370.SZ,399371.SZ,forward
11,399372.SZ,399373.SZ,forward
12,399374.SZ,399375.SZ,forward
13,399376.SZ,399377.SZ,forward
14,399602.SZ,399604.SZ,forward
15,399630.SZ,399631.SZ,forward
