Date,000057.SH,000058.SH,000918.CSI,000919.CSI,H30351.CSI,H30352.CSI,H30355.CSI,H30356.CSI,000028.SH,000029.SH,000117.SH,000118.SH,932406.CSI,932407.CSI,932408.CSI,932409.CSI,399346.SZ,399348.SZ,399370.SZ,399371.SZ,399372.SZ,399373.SZ,399374.SZ,399375.SZ,399376.SZ,399377.SZ,399602.SZ,399604.SZ,399630.SZ,399631.SZ
2026-06-18,4092.2916,4362.4386,5906.6422,4970.7463,9080.4769,10381.3766,8008.873,6243.4638,4042.5224,4048.182,4771.6113,10111.1294,2910.7063,3552.545,4131.6329,4026.5542,5460.2248,6503.9819,5830.8756,6924.5346,5869.2698,7798.2301,5595.2053,6343.6142,7628.2366,7736.7553,1470.1719,2027.1364,2181.4313,2206.6722
2026-06-17,4092.2916,4362.4386,5906.6422,4970.7463,9080.4769,10381.3766,8008.873,6243.4638,4042.5224,4048.182,4771.6113,10111.1294,2910.7063,3552.545,4131.6329,4026.5542,5460.2248,6503.9819,5830.8756,6924.5346,5869.2698,7798.2301,5595.2053,6343.6142,7628.2366,7736.7553,1470.1719,2027.1364,2181.4313,2206.6722
2026-06-16,4004.6595,4385.5162,5814.8118,4971.5708,8827.2657,10452.8852,7803.0737,6253.0896,3957.7182,4073.7741,4695.0671,10171.0796,2934.7926,3513.5411,4182.3365,3990.4261,5373.6572,6460.8431,5733.9139,6946.8422,5802.5173,7845.2161,5415.5232,6305.6995,7513.7848,7788.3411,1445.9044,2030.7744,2149.3999,2204.3304
2026-06-15,4003.6549,4441.1524,5802.7482,5035.8991,8688.0387,10518.4682,7757.5385,6332.7858,3986.5392,4125.1274,4636.4337,10297.5512,2938.2896,3437.3439,4184.5121,3895.2792,5325.4355,6523.1343,5708.1509,7039.1464,5802.0884,7973.7945,5379.2311,6374.0643,7375.8976,7839.2701,1443.1341,2044.6315,2127.6311,2213.0612
2026-06-12,3869.1622,4458.8296,5579.5968,5059.1598,8228.8819,10365.633,7334.5341,6337.6657,3860.2011,4163.1229,4451.7752,10203.5582,2893.5016,3268.4141,4137.3245,3743.197,5114.29,6452.147,5492.4497,7036.4149,5599.1341,8066.6425,5152.7956,6256.0445,7060.6495,7719.9505,1391.8836,2022.3416,2039.2662,2185.7935
2026-06-11,3809.9059,4385.5949,5513.8043,5004.8598,8125.4632,10200.5378,7257.9306,6247.0443,3787.0622,4102.1879,4408.4937,9979.628,2854.467,3270.5727,4114.5105,3742.5462,5066.9595,6417.4994,5434.25,6940.0058,5529.4548,7997.6053,5091.3063,6118.9686,7040.6197,7570.7774,1378.4877,2002.2216,2023.9756,2167.6323
2026-06-10,3815.1322,4394.7646,5555.6735,5019.5488,8127.8827,10220.7234,7324.2298,6262.6898,3784.0794,4111.1672,4418.3049,10001.2647,2879.9415,3281.6025,4149.317,3742.1941,5109.3761,6442.4177,5448.059,6952.1164,5565.3353,7999.5653,5087.5775,6143.1334,6993.8842,7598.752,1381.9021,2020.1954,2032.706,2175.9178
2026-06-09,3827.2729,4381.5529,5645.6562,5011.9338,8196.7597,10329.7786,7459.9496,6264.7428,3784.4371,4085.9813,4491.5212,10046.4321,2901.4921,3336.1214,4217.0503,3807.3767,5234.1362,6515.8126,5538.5165,6963.5383,5647.664,7959.846,5190.5388,6204.5699,7122.1843,7689.4249,1414.6426,2034.6962,2077.4433,2202.3602
2026-06-08,3766.734,4382.2398,5515.2984,5007.5073,7932.5837,10205.9075,7211.4964,6252.0628,3741.6503,4091.0329,4390.1429,10003.6774,2880.0537,3202.1633,4192.1808,3680.1524,5076.5116,6441.3312,5398.794,6929.1258,5526.6702,7967.3916,5042.0752,6104.7328,6880.7279,7620.4389,1372.2524,2008.961,2012.4737,2176.3031
2026-06-05,3876.2097,4409.4597,5675.3763,5024.4185,8272.6731,10518.1379,7475.4219,6309.3747,3851.979,4082.1875,4541.9128,10273.0103,2963.7653,3299.958,4321.5087,3818.6514,5241.7932,6578.1319,5564.6362,7003.9427,5680.982,7958.3533,5211.0652,6262.7866,7134.1023,7843.8004,1410.6046,2049.8231,2080.3966,2228.522
2026-06-04,3944.6318,4403.8728,5851.9824,5011.6527,8506.8499,10685.0588,7777.8061,6324.0672,3929.2325,4059.4209,4618.3241,10366.3931,2972.3435,3345.6882,4316.8861,3811.4113,5422.1867,6603.909,5711.7041,7041.8877,5852.2786,7959.7121,5332.212,6346.2159,7260.7081,7933.5868,1446.6982,2063.2119,2138.587,2244.8614
2026-06-03,3985.0068,4460.5615,5912.3536,5050.3138,8480.8436,10791.7107,7787.4201,6391.7189,3987.1672,4102.2576,4608.794,10493.4803,3009.2731,3321.0591,4376.357,3805.5102,5464.6644,6620.6422,5758.4521,7124.3249,5919.8398,8040.1387,5386.0242,6440.2035,7220.7232,8033.473,1441.263,2082.4107,2150.4617,2263.0908
