family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
T1,T1_lb5zw60,5,500,0.0749730153142663,552,0.020015489574790025,0.0741677196552823
T1,T1_lb5zw60,5,1000,0.06730200867143325,552,0.026446148889472425,0.07138463075728378
T1,T1_lb5zw60,5,blend,0.07211334131936276,552,0.0245424338942168,0.07464900030030618
T1,T1_lb5zw60,10,500,0.05032817959162226,275,0.016334879213058432,0.1471991093402086
T1,T1_lb5zw60,10,1000,0.04245879362642416,275,0.00842058365582655,0.12966424469705848
T1,T1_lb5zw60,10,blend,0.04739057554786045,275,0.007699629403427741,0.13717625688503457
T1,T1_lb5zw60,20,500,0.16032744078389483,137,0.10981048891707387,0.14211295034079843
T1,T1_lb5zw60,20,1000,0.15630910391331776,137,0.10331687145854787,0.13948393378773125
T1,T1_lb5zw60,20,blend,0.16340303195429004,137,0.1083750576893997,0.14956183057448882
T1,T1_lb5zw60,40,500,0.20933694697866165,68,0.3217338217338217,0.23117408906882592
T1,T1_lb5zw60,40,1000,0.18017330228652134,68,0.28083028083028083,0.2034412955465587
T1,T1_lb5zw60,40,blend,0.1951750200404626,68,0.29242979242979245,0.21133603238866397
T1,T1_lb5zw250,5,500,0.0530976938622649,552,-0.01224018914843302,0.051069124157287114
T1,T1_lb5zw250,5,1000,0.03815689957681948,552,-0.022032139627255753,0.04892295034740088
T1,T1_lb5zw250,5,blend,0.045545863245706586,552,-0.014646251434071342,0.050487561734846
T1,T1_lb5zw250,10,500,0.06109121680215572,275,0.025000782363208723,0.10194831829368334
T1,T1_lb5zw250,10,1000,0.0560521827723291,275,0.02161525975152421,0.10886558068674558
T1,T1_lb5zw250,10,blend,0.06054431133328279,275,0.016382348599329154,0.10487519043712645
T1,T1_lb5zw250,20,500,0.12568133232720755,137,0.09850034649265567,0.07636319376825706
T1,T1_lb5zw250,20,1000,0.12096603559607404,137,0.024899843517146227,0.11273125608568647
T1,T1_lb5zw250,20,blend,0.12545257040658822,137,0.053714972773540266,0.10355404089581306
T1,T1_lb5zw250,40,500,0.051893504753333,68,0.007365458377676905,0.13562753036437247
T1,T1_lb5zw250,40,1000,0.04685307603556997,68,-0.05677540832792614,0.13947368421052633
T1,T1_lb5zw250,40,blend,0.05345909246112303,68,-0.022710163331170454,0.11761133603238867
T1,T1_lb20zw60,5,500,0.09309657917224175,552,0.04796962057861455,0.1007147143380118
T1,T1_lb20zw60,5,1000,0.09535866249349347,552,0.05693356992635366,0.09420107143351364
T1,T1_lb20zw60,5,blend,0.09550698997803526,552,0.05303620064472796,0.09835467795621426
T1,T1_lb20zw60,10,500,0.14739721126748767,275,0.11609388616015222,0.15948669869916796
T1,T1_lb20zw60,10,1000,0.14605621896780147,275,0.09755159083722102,0.17137876479549985
T1,T1_lb20zw60,10,blend,0.14649590749291372,275,0.10372425533528723,0.1636147896402203
T1,T1_lb20zw60,20,500,0.14606491177520323,137,0.06920829133429025,0.30209347614410903
T1,T1_lb20zw60,20,1000,0.14151453030155325,137,0.0716690305817317,0.2882424537487829
T1,T1_lb20zw60,20,blend,0.14598557179053445,137,0.0694817068062282,0.30715676728334956
T1,T1_lb20zw60,40,500,0.08878879260984081,68,0.05433455433455433,0.2589068825910931
T1,T1_lb20zw60,40,1000,0.09359850364545558,68,0.05128205128205128,0.28441295546558704
