family,form,k,kou_jing,ic,n_windows,ic_2020-2022,ic_2023-2026
R1,R1_lb5zw60,5,500,0.016290006362251534,281,0.005891809340085202,0.08884178187403992
R1,R1_lb5zw60,5,1000,-0.031267358073246904,281,-0.0412748171368861,0.034924731182795696
R1,R1_lb5zw60,5,blend,-0.009099882368102595,281,-0.024736757495378184,0.06332411674347158
R1,R1_lb5zw60,10,500,0.04883446316496705,140,0.12059020791415156,-0.022638563622170184
R1,R1_lb5zw60,10,1000,-0.017231576649648056,140,0.041482226693494294,-0.08156430208254639
R1,R1_lb5zw60,10,blend,0.009577957579372905,140,0.08272971160295103,-0.05502253783586412
R1,R1_lb5zw60,20,500,0.0062477735458721225,69,0.3523809523809524,0.0011123470522803117
R1,R1_lb5zw60,20,1000,-0.07751258232495735,69,0.2927170868347339,-0.07230255839822024
R1,R1_lb5zw60,20,blend,-0.028114980956424552,69,0.3341736694677871,-0.03626251390433815
R1,R1_lb5zw60,40,500,0.13766233766233765,34,0.26715686274509803,-0.059340659340659345
R1,R1_lb5zw60,40,1000,-0.013292589763177995,34,0.22794117647058826,-0.2087912087912088
R1,R1_lb5zw60,40,blend,0.04201680672268907,34,0.24264705882352944,-0.14285714285714285
R1,R1_lb5zw250,5,500,0.039658940057371986,281,0.10267209814496783,0.0634900153609831
R1,R1_lb5zw250,5,1000,0.004419563560964554,281,0.09731359863716464,0.018642089093701995
R1,R1_lb5zw250,5,blend,0.021220954703217897,281,0.09335561604617368,0.04434408602150537
R1,R1_lb5zw250,10,500,0.06408955827875415,140,0.19740211433073004,-0.03180478960489537
R1,R1_lb5zw250,10,1000,0.014172703754819412,140,0.1644904753719874,-0.026617310065221222
R1,R1_lb5zw250,10,blend,0.03658377111530184,140,0.184366125648512,-0.013522701518470953
R1,R1_lb5zw250,20,500,0.09410805765614774,69,0.3291078634170964,0.001557285873192436
R1,R1_lb5zw250,20,1000,0.04564369008935776,69,0.2923833808040298,-0.0002224694104560623
R1,R1_lb5zw250,20,blend,0.08408915778500861,69,0.31413557435176925,-0.010901001112347052
R1,R1_lb5zw250,40,500,0.27330622923794384,34,0.4007474436587063,-0.1956043956043956
