pair,k,ic,n_obs,t_stat,p_value,ic_diff_vs_inc
incumbent,1,0.07461003783490974,3067,4.142138926989678,3.5337757931176626e-05,
spot2000+fut500,1,0.07219139421260214,3067,4.007147344838627,6.291887674983655e-05,-0.0024186436223076063
spot2000+fut1000,1,0.07554200058098677,3067,4.194173982146177,2.816303367744447e-05,0.000931962746077028
spot2000+fut300,1,0.06558113441094882,3067,3.638564715262134,0.00027868409106952347,-0.009028903423960927
spot1000+fut500,1,0.07392211734092904,3067,4.103736696202619,4.171272810482392e-05,-0.0006879204939806982
spot1000+fut1000,1,0.07707356114148198,3067,4.279710959166256,1.9286954991667554e-05,0.002463523306572235
spot1000+fut300,1,0.06363183511196824,3067,3.5299674760817705,0.0004217275605378078,-0.010978202722941505
spot500+fut500,1,0.07116325420789357,3067,3.9497855072227646,7.998279884173616e-05,-0.00344678362701617
spot500+fut1000,1,0.07517857712921748,3067,4.173881349589904,3.077847094259266e-05,0.0005685392943077378
spot500+fut300,1,0.05754527921896107,3067,3.191135229748594,0.001431469255883291,-0.017064758615948673
spot300+fut500,1,0.06366592319898362,3067,3.531866202255271,0.00041872341040729606,-0.010944114635926122
spot300+fut1000,1,0.06938044361743258,3067,3.8503490833179823,0.0001203599982244344,-0.005229594217477165
spot300+fut300,1,0.03937064801186392,3067,2.181346474098228,0.029233545821951746,-0.03523938982304582
spotdiv+fut500,1,0.059671784784730716,3067,3.3094730436177153,0.00094552810822734,-0.014938253050179026
spotdiv+fut1000,1,0.06569583285312665,3067,3.6449559607852513,0.0002718783281191965,-0.008914204981783094
spotdiv+fut300,1,0.03670996742915337,3067,2.033724255321756,0.042065369897997265,-0.037900070405756374
incumbent,5,0.17020451987957133,613,4.26948287468035,2.2711776565294013e-05,
spot2000+fut500,5,0.1658689366692332,613,4.157609084022831,3.675891926478636e-05,-0.00433558321033814
spot2000+fut1000,5,0.17073823992246684,613,4.2832722907436205,2.1386920251200273e-05,0.000533720042895508
spot2000+fut300,5,0.1464543686881758,613,3.659579427268965,0.000274471121493992,-0.023750151191395535
spot1000+fut500,5,0.1699324502920631,613,4.262455060007581,2.341676138740239e-05,-0.0002720695875082224
spot1000+fut1000,5,0.17115406748541384,613,4.294018477773809,2.0405923680674945e-05,0.0009495476058425101
spot1000+fut300,5,0.14008207957866523,613,3.4970885246939396,0.0005045006388007967,-0.030122440300906106
spot500+fut500,5,0.16490649538739102,613,4.1328084893666945,4.0839169788055556e-05,-0.005298024492180309
spot500+fut1000,5,0.1706213633079001,613,4.28025228563863,2.167061113383474e-05,0.0004168434283287614
spot500+fut300,5,0.13057399637037387,613,3.2554534724233233,0.0011946945464150632,-0.03963052350919746
spot300+fut500,5,0.14289000963743012,613,3.5686337118801053,0.00038699743519049343,-0.02731451024214121
spot300+fut1000,5,0.15543550428945022,613,3.889390662823369,0.00011151947404782313,-0.014769015590121115
spot300+fut300,5,0.09974386256798273,613,2.47786686656953,0.013486195853387166,-0.0704606573115886
spotdiv+fut500,5,0.13781370427678355,613,3.4393539602408043,0.0006228095200151531,-0.03239081560278778
spotdiv+fut1000,5,0.14979258047623628,613,3.744886945610844,0.00019754087448685861,-0.02041193940333505
spotdiv+fut300,5,0.09814905810989,613,2.437859727572006,0.015058525226906988,-0.07205546176968133
incumbent,20,0.19923991063889174,153,2.4983919134981334,0.013546934187264327,
spot2000+fut500,20,0.2042893030448687,153,2.564431411111413,0.011310130420179976,0.00504939240597696
spot2000+fut1000,20,0.19558605369216456,153,2.4507338072176665,0.0153982724006256,-0.0036538569467271798
spot2000+fut300,20,0.177231328012044,153,2.2128867399852874,0.028406045432087308,-0.02200858262684774
spot1000+fut500,20,0.19778406392329986,153,2.479390095726129,0.014259855153351179,-0.0014558467155918742
spot1000+fut1000,20,0.20016133261078536,153,2.5104272725327608,0.013112003727499167,0.0009214219718936267
spot1000+fut300,20,0.16689464880007396,153,2.080008450949868,0.039214614351006365,-0.03234526183881778
spot500+fut500,20,0.19271121713985653,153,2.4133113594620803,0.01700623555682546,-0.006528693499035204
spot500+fut1000,20,0.20256540630108957,153,2.5418613868285127,0.01203429598756452,0.003325495662197836
spot500+fut300,20,0.15846950135161408,153,1.972227147405113,0.050410339686269116,-0.040770409287277654
spot300+fut500,20,0.17237794718917898,153,2.150405344006239,0.03311487459316396,-0.026861963449712756
spot300+fut1000,20,0.18185351568559757,153,2.2725466925231395,0.024464820168102412,-0.017386394953294165
spot300+fut300,20,0.13076653093846388,153,1.6208035658200048,0.10714616430766043,-0.06847337970042786
spotdiv+fut500,20,0.18790306975924811,153,2.3508662012587944,0.020022303852262897,-0.011336840879643623
spotdiv+fut1000,20,0.19698661508944285,153,2.4689889829077885,0.014664084207783461,-0.0022532955494488915
spotdiv+fut300,20,0.1501180676609057,153,1.8658250857029786,0.06400571174093653,-0.049121842977986024
