variant,kou_jing,window,ann,sharpe,maxdd,calmar,turnover,hit,n_obs,pvalue,down_month_hit,n_down_months,maxdd_improve
long_engine,500,full,0.20552534827648425,1.3795380622352962,-0.157609268683376,1.3040181582808288,10.795790858270307,0.5485294117647059,3041,,,,
short_engine,500,full,-0.02965589829048517,-0.4563279100389651,-0.35554894657843683,-0.08340876432309398,11.601446892469582,0.38010204081632654,3041,0.6187624750499002,,,
dual,500,full,0.1758694499859991,1.080997026850333,-0.20070332772415944,0.8762657399866769,22.397237750739887,0.5108447488584474,3041,0.033932135728542916,0.36363636363636365,22.0,-0.04309405904078345
raw_symmetric,500,full,0.310887450578727,1.278192845883158,-0.286696363703148,1.0843787711958113,21.349884906280828,0.5318227257580806,3041,0.001996007984031936,,,
buy_hold,500,full,0.09379515035522962,0.38064505738968335,-0.6519574332360281,0.14386698513378707,0.0,0.533048339362052,3041,,,,
long_engine,500,2014-2020,0.23152443848516197,1.4921290283991304,-0.12951778915790346,1.7875879444089,11.051552431165788,0.5579399141630901,1707,,,,
short_engine,500,2014-2020,-0.04618036970870361,-0.7180194192277555,-0.3205508827941741,-0.14406564507375277,10.620972466315173,0.3236994219653179,1707,0.8203592814371258,,,
dual,500,2014-2020,0.1853440687764584,1.101761342779191,-0.20070332772415944,0.9234728236852637,21.67252489748096,0.5114678899082569,1707,0.1217564870259481,0.08333333333333333,12.0,-0.07118553856625598
raw_symmetric,500,2014-2020,0.32991677130728875,1.2356334370288111,-0.286696363703148,1.1507532465563188,22.8207381370826,0.5242951409718056,1707,0.007984031936127744,,,
buy_hold,500,2014-2020,0.11032774610104852,0.40601942663355095,-0.6519574332360281,0.1692253826349221,0.0,0.5448154657293497,1707,,,,
long_engine,500,2021-2023,0.0594946522120604,0.5550417862108185,-0.1423819910423364,0.41785236866346415,9.099037138927098,0.5371900826446281,727,,,,
short_engine,500,2021-2023,0.04988772147758699,0.8484252878950836,-0.0681037260269689,0.7325255810208031,14.828060522696012,0.4774193548387097,727,0.043912175648702596,,,
dual,500,2021-2023,0.10938237368964737,0.8954101915529844,-0.14238199104233595,0.7682318029751638,23.927097661623108,0.5193050193050193,727,0.03792415169660679,0.8,5.0,4.440892098500626e-16
raw_symmetric,500,2021-2023,0.18872927829949793,1.1134717589937406,-0.1617698783048075,1.1666527803395723,16.85006877579092,0.5371900826446281,727,0.013972055888223553,,,
buy_hold,500,2021-2023,-0.03920318347025792,-0.2307556985858219,-0.31570423923360735,-0.1241769308053202,0.0,0.5213204951856947,727,,,,
long_engine,500,2024-2026,0.2994474978851764,1.74301965147007,-0.11932001632028977,2.5096166353294143,12.108731466227349,0.5387205387205387,607,,,,
short_engine,500,2024-2026,-0.07833372178387824,-1.0703785207665057,-0.18426341924196088,-0.4251181385113465,10.494233937397036,0.30158730158730157,607,0.8582834331337326,,,
