family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
E1,E1_lb5zw60,5,500,0.03011278537283294,647,0.0027728403839317457,0.033373548031369396
E1,E1_lb5zw60,5,1000,0.040217593766720246,647,0.015596374951911138,0.026379872882793046
E1,E1_lb5zw60,5,blend,0.03929269132565126,647,0.011249628680928566,0.03160448892932969
E1,E1_lb5zw60,10,500,0.04772053749035846,323,0.040194457565737675,0.051736182453256625
E1,E1_lb5zw60,10,1000,0.05228224012717215,323,0.05803416784758306,0.04134279527745728
E1,E1_lb5zw60,10,blend,0.05314686260977822,323,0.05822705085813257,0.04431097975375764
E1,E1_lb5zw60,20,500,0.003073959052219922,161,-0.04829892597594702,0.10747147589252852
E1,E1_lb5zw60,20,1000,0.0020502645502645505,161,-0.052157695028619215,0.09435301540564697
E1,E1_lb5zw60,20,blend,0.0029043018173452962,161,-0.0552125538619847,0.09853304590146694
E1,E1_lb5zw60,40,500,0.014416315049226441,80,-0.0565826330532213,-0.11894080315132946
E1,E1_lb5zw60,40,1000,0.05860290670417253,80,-0.13053221288515407,-0.16752379910274645
E1,E1_lb5zw60,40,blend,0.04022503516174402,80,-0.09887955182072829,-0.1476091476091476
E1,E1_lb5zw250,5,500,8.763866004476395e-05,647,0.011789197902108119,0.002344080832512081
E1,E1_lb5zw250,5,1000,0.022811527966302803,647,0.034218330744245164,0.01516433276063727
E1,E1_lb5zw250,5,blend,0.014636675281662147,647,0.026002561492873114,0.014398024731554777
E1,E1_lb5zw250,10,500,-0.009739110492913159,323,0.01120296016375374,-0.010327006053326168
E1,E1_lb5zw250,10,1000,0.0170827039180788,323,0.0454259171783971,0.0014951557585623746
E1,E1_lb5zw250,10,blend,0.00642947237374482,323,0.034018264840182645,-0.001340266472791642
E1,E1_lb5zw250,20,500,-0.05250747642051991,161,-0.11418740755032479,0.013907145486092854
E1,E1_lb5zw250,20,1000,-0.014550264550264551,161,-0.06630651488841727,0.030048898469951096
E1,E1_lb5zw250,20,blend,-0.035679779158040034,161,-0.0890089394816387,0.014301487985698509
E1,E1_lb5zw250,40,500,-0.07723863103609939,80,-0.14789915966386555,-0.025495130758288652
E1,E1_lb5zw250,40,1000,-0.0035161744022503515,80,-0.13641456582633055,0.004923952292373345
E1,E1_lb5zw250,40,blend,-0.04071729957805907,80,-0.11792717086834735,-0.02702702702702703
E1,E1_lb20zw60,5,500,0.02826568319962457,647,0.022143278029111417,0.06546390803528426
E1,E1_lb20zw60,5,1000,0.03449338917395822,647,0.021664580786855552,0.0587605539356623
E1,E1_lb20zw60,5,blend,0.0348917507474984,647,0.02250120526518269,0.06433789649027433
E1,E1_lb20zw60,10,500,0.03557273405166796,323,0.02889308770272398,0.07663858639819189
E1,E1_lb20zw60,10,1000,0.03781227721192724,323,0.041792631081719406,0.07088871678968248
E1,E1_lb20zw60,10,blend,0.03962769954155067,323,0.043012911352542905,0.07284221839389292
E1,E1_lb20zw60,20,500,-0.0677536231884058,161,-0.14000900379445624,0.06519795993480203
E1,E1_lb20zw60,20,1000,-0.0652403956751783,161,-0.1318412759663001,0.051711446448288546
E1,E1_lb20zw60,20,blend,-0.06909362778927997,161,-0.14081291401376295,0.05444555444555444
E1,E1_lb20zw60,40,500,-0.017229254571026725,80,-0.07142857142857144,-0.07276507276507277
E1,E1_lb20zw60,40,1000,0.045522737927801225,80,-0.060784313725490195,-0.09246088193456614
E1,E1_lb20zw60,40,blend,0.015096108766994843,80,-0.06414565826330533,-0.08502024291497975
E1,E1_lb20zw250,5,500,-0.012844291887602048,647,-0.004303405421988907,0.009988168157517581
E1,E1_lb20zw250,5,1000,0.008515571236584151,647,0.014389161865896597,0.023203396252377752
E1,E1_lb20zw250,5,blend,0.0004975642832672898,647,0.0074059284437713365,0.022203746071799223
E1,E1_lb20zw250,10,500,-0.026907991775403272,323,-0.02529129270980947,-0.004425408164878064
E1,E1_lb20zw250,10,1000,-0.0020835692527710298,323,0.002621634388285309,0.009957168370975645
E1,E1_lb20zw250,10,blend,-0.012440877698651289,323,-0.007183908045977011,0.0062018934424934
E1,E1_lb20zw250,20,500,-0.07542558086036348,161,-0.1327738118206959,-0.01787685998212314
E1,E1_lb20zw250,20,1000,-0.03454106280193237,161,-0.08187021673419514,0.0020505809979494186
E1,E1_lb20zw250,20,blend,-0.05847423510466989,161,-0.10618046176602998,-0.016299489983700507
E1,E1_lb20zw250,40,500,-0.10487576183778716,80,-0.1504201680672269,0.000984790458474669
E1,E1_lb20zw250,40,1000,-0.026699484294421004,80,-0.10336134453781515,0.0467228361965204
E1,E1_lb20zw250,40,blend,-0.06619784341303328,80,-0.09719887955182073,0.005799321588795273
E2,E2_lb5zw60,5,500,0.027482562210599693,647,0.010729538493004592,0.010950995241099225
E2,E2_lb5zw60,5,1000,0.03517885818788771,647,0.030688729918334157,-0.0009967430939735126
E2,E2_lb5zw60,5,blend,0.033980539077892426,647,0.02220609791136066,0.002499900674540995
E2,E2_lb5zw60,10,500,0.037944035992225525,323,0.07875137773578963,-0.0014161306127609802
E2,E2_lb5zw60,10,1000,0.023840148823322874,323,0.08944260746339158,-0.03802057814796667
E2,E2_lb5zw60,10,blend,0.03276947697461898,323,0.08589198551409226,-0.026369110651009147
E2,E2_lb5zw60,20,500,-0.05755693581780539,161,-0.06264068428837868,0.056785319943214674
E2,E2_lb5zw60,20,1000,-0.0905164481251438,161,-0.044826033828542035,-0.005336768494663231
E2,E2_lb5zw60,20,blend,-0.07417184265010353,161,-0.05614508971638048,0.016825279983174717
E2,E2_lb5zw60,40,500,-0.11598687294889828,80,-0.29831932773109243,-0.1480468322573586
E2,E2_lb5zw60,40,1000,-0.11861228316924519,80,-0.34089635854341743,-0.2449939818360871
E2,E2_lb5zw60,40,blend,-0.11762775433661511,80,-0.3358543417366947,-0.19006455848561113
E2,E2_lb5zw250,5,500,0.040642627975926215,647,0.014925809232087814,0.025751166953014694
E2,E2_lb5zw250,5,1000,0.0446964698367936,647,0.018528456432707244,0.012696410038751462
E2,E2_lb5zw250,5,blend,0.04593010138968863,647,0.01754525222913187,0.017254721835418197
E2,E2_lb5zw250,10,500,0.04108986589805005,323,0.052117776728074314,0.07076543756223229
E2,E2_lb5zw250,10,1000,0.025088296188040437,323,0.05458982837348449,0.026365949645177095
E2,E2_lb5zw250,10,blend,0.03554994334372447,323,0.05529050543221539,0.04428885271293325
E2,E2_lb5zw250,20,500,-0.06677593742811135,161,-0.1429030805839604,0.11333403438666596
E2,E2_lb5zw250,20,1000,-0.09567230273752016,161,-0.1513280596822947,0.08052473841947524
E2,E2_lb5zw250,20,blend,-0.08176903611686222,161,-0.14563637532960322,0.0919343814080656
E2,E2_lb5zw250,40,500,-0.06429910923581811,80,-0.3257703081232493,0.00010942116205274099
E2,E2_lb5zw250,40,1000,-0.050726676043131746,80,-0.3775910364145659,-0.04147062041798884
E2,E2_lb5zw250,40,blend,-0.05616502578527895,80,-0.37422969187675076,-0.016084910821752927
E2,E2_lb20zw60,5,500,0.02044625889257698,647,0.03778201987835344,-0.034011556638283806
E2,E2_lb20zw60,5,1000,0.014902648424356143,647,0.04372848175545048,-0.060092774823854764
E2,E2_lb20zw60,5,blend,0.020469830058979312,647,0.04017014935548749,-0.05181610545359756
