report_date,a1_median,a1_n_funds,a1_eff_date,a2_n_funds,a2_num_value,a2_den_value,a2_ratio,a2_eff_date,eff_plus30,a1_pct,a2_pct
2016-03-31,85.248524,582,2016-04-22,582,7543289.2888,33174964.1034,0.22737897365281284,2016-04-22,2016-04-30,,
2016-06-30,85.579079,601,2016-08-29,601,17000231.6481,71063640.1764,0.23922545490071476,2016-08-29,2016-07-30,,
2016-09-30,85.21154,617,2016-10-26,617,7889726.6543,34662477.7548,0.22761577259742904,2016-10-26,2016-10-30,,
2016-12-31,85.551216,633,2017-03-31,633,13543068.3203,67741870.7685,0.19992167571784175,2017-03-31,2017-01-30,,
2017-03-31,85.4564095,656,2017-04-24,656,5973791.8603,35462806.8766,0.16845231346427303,2017-04-24,2017-04-30,,
2017-06-30,86.6865655,674,2017-08-29,674,11012888.0999,75414574.6282,0.1460312963932295,2017-08-29,2017-07-30,,
2017-09-30,88.737778,701,2017-10-27,701,5762097.2741,43483750.0638,0.1325115075320267,2017-10-27,2017-10-30,,
2017-12-31,88.074547,727,2018-03-31,727,8893385.3265,79527323.5457,0.11182804764439808,2018-03-31,2018-01-30,,
2018-03-31,86.500984,783,2018-04-23,783,6127282.9577,45023867.4144,0.13608966331800074,2018-04-23,2018-04-30,0.6666666666666666,0.3333333333333333
2018-06-30,85.174355,823,2018-08-29,823,11732109.0924,76947641.2433,0.15246872942218406,2018-08-29,2018-07-30,0.1,0.5
2018-09-30,84.438721,857,2018-10-26,857,5327668.9417,40496444.1273,0.1315589320620978,2018-10-26,2018-10-30,0.09090909090909091,0.18181818181818182
2018-12-31,82.052757,897,2019-03-30,897,10622988.4938,64684149.092,0.16422861926638266,2019-03-30,2019-01-30,0.08333333333333333,0.5833333333333334
2019-03-31,88.318314,957,2019-04-22,957,6923248.1027,45871640.6793,0.15092654198052652,2019-04-22,2019-04-30,0.9230769230769231,0.46153846153846156
2019-06-30,87.40435400000001,1034,2019-08-29,1034,13064925.0042,89358002.6632,0.14620878505356838,2019-08-29,2019-07-30,0.7857142857142857,0.42857142857142855
2019-09-30,88.278412,1109,2019-10-25,1109,7967831.1661,55620341.8908,0.14325390487069148,2019-10-25,2019-10-30,0.8666666666666667,0.3333333333333333
2019-12-31,90.28972999999999,1156,2020-04-30,1156,21542619.5929,112763297.0322,0.1910428318422476,2020-04-30,2020-01-30,1.0,0.75
2020-03-31,88.443573,1260,2020-04-22,1260,15212796.2315,69194454.9794,0.21985571294736014,2020-04-22,2020-04-30,0.8823529411764706,0.8235294117647058
2020-06-30,91.030724,1381,2020-08-31,1381,49354840.0464,181147555.3052,0.27245656152105535,2020-08-31,2020-07-30,1.0,1.0
2020-09-30,90.514877,1567,2020-10-28,1567,32730048.4459,137233605.5627,0.23849878688020135,2020-10-28,2020-10-30,0.9473684210526315,0.8947368421052632
2020-12-31,91.059673,1792,2021-03-31,1792,84540492.5815,327379491.852,0.25823392938650724,2021-03-31,2021-01-30,1.0,0.95
