fund_code,report_date,stock_to_nav_pct,ann_date
000008.OF,2016-03-31,2.253568,2016-04-20
000017.OF,2016-03-31,78.977051,2016-04-22
000020.OF,2016-03-31,92.402657,2016-04-20
000021.OF,2016-03-31,86.865593,2016-04-20
000031.OF,2016-03-31,90.588272,2016-04-20
000039.OF,2016-03-31,80.888275,2016-04-20
000057.OF,2016-03-31,73.705154,2016-04-21
000061.OF,2016-03-31,94.254601,2016-04-20
000066.OF,2016-03-31,6.643319,2016-04-20
000082.OF,2016-03-31,88.581642,2016-04-20
000083.OF,2016-03-31,80.184006,2016-04-20
000117.OF,2016-03-31,76.955666,2016-04-22
000120.OF,2016-03-31,73.774094,2016-04-21
000124.OF,2016-03-31,77.625145,2016-04-20
000127.OF,2016-03-31,68.709450,2016-04-20
000172.OF,2016-03-31,84.720123,2016-04-20
000173.OF,2016-03-31,86.732986,2016-04-20
000199.OF,2016-03-31,74.234467,2016-04-22
000209.OF,2016-03-31,90.891380,2016-04-21
000220.OF,2016-03-31,88.031326,2016-04-22
000251.OF,2016-03-31,90.160614,2016-04-22
000263.OF,2016-03-31,94.448730,2016-04-22
000294.OF,2016-03-31,89.857864,2016-04-20
000308.OF,2016-03-31,72.317039,2016-04-20
000309.OF,2016-03-31,90.088318,2016-04-20
000326.OF,2016-03-31,3.472854,2016-04-20
000327.OF,2016-03-31,5.660128,2016-04-20
000339.OF,2016-03-31,70.065521,2016-04-22
000354.OF,2016-03-31,60.879169,2016-04-22
000409.OF,2016-03-31,87.681282,2016-04-20
000411.OF,2016-03-31,87.131523,2016-04-20
000418.OF,2016-03-31,81.110565,2016-04-20
000432.OF,2016-03-31,90.116051,2016-04-21
000457.OF,2016-03-31,81.734871,2016-04-21
000471.OF,2016-03-31,92.343567,2016-04-22
000513.OF,2016-03-31,93.107704,2016-04-22
000522.OF,2016-03-31,84.553146,2016-04-20
000524.OF,2016-03-31,89.084229,2016-04-21
000532.OF,2016-03-31,92.495338,2016-04-20
