family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
L1,L1_lb5sm0,5,500,-0.04858104937324336,646,0.028372672864245753,-0.11068776973011725
L1,L1_lb5sm0,5,1000,-0.04830564879437688,646,0.02312112549854151,-0.11657937207376576
L1,L1_lb5sm0,5,blend,-0.04845196230702179,646,0.022325406990051085,-0.1158628311311407
L1,L1_lb5sm0,10,500,-0.08848932331545933,322,-0.06555266887104393,0.012549193153261366
L1,L1_lb5sm0,10,1000,-0.06972980171345255,322,-0.08958038104235552,0.031745981571336
L1,L1_lb5sm0,10,blend,-0.07755573411382988,322,-0.08040859707132733,0.025787485577910888
L1,L1_lb5sm0,20,500,-0.14621176608461267,160,-0.10917100778185093,-0.0413270939586729
L1,L1_lb5sm0,20,1000,-0.13166822922770421,160,-0.13483182198212107,-0.06556601293443398
L1,L1_lb5sm0,20,blend,-0.14673034102894644,160,-0.1255386198469355,-0.048293811451706185
L1,L1_lb5sm0,40,500,-0.20075462512171374,79,-0.08375350140056023,-0.08020571178465914
L1,L1_lb5sm0,40,1000,-0.17156767283349564,79,-0.10140056022408965,-0.14213808950651058
L1,L1_lb5sm0,40,blend,-0.19432814021421616,79,-0.12156862745098039,-0.10318415581573476
L1,L1_lb5sm3,5,500,-0.001545906643566017,646,0.06056323624658509,-0.07632824227928113
L1,L1_lb5sm3,5,1000,-0.00582661181059856,646,0.0509449766008113,-0.0728879848098016
L1,L1_lb5sm3,5,blend,-0.003126867102528405,646,0.05203726339061793,-0.07410035173511699
L1,L1_lb5sm3,10,500,-0.05478889517696769,322,-0.012647614548889938,0.015868249276919915
L1,L1_lb5sm3,10,1000,-0.051975613915875817,322,-0.04620138560856558,0.04010684199712348
L1,L1_lb5sm3,10,blend,-0.05207769285776288,322,-0.032754684301684774,0.030187605696132505
L1,L1_lb5sm3,20,500,-0.12330950427751085,160,-0.04778442343559072,-0.0989273884010726
L1,L1_lb5sm3,20,1000,-0.10728641743818118,160,-0.068911183998971,-0.09929544140070455
L1,L1_lb5sm3,20,blend,-0.12210535567795618,160,-0.06260852787960641,-0.09014669540985329
L1,L1_lb5sm3,40,500,-0.16387536514118795,79,-0.11652661064425772,-0.063792537476748
L1,L1_lb5sm3,40,1000,-0.15338364167478094,79,-0.1392156862745098,-0.11653353758616918
