family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
C1,C1_lb5zw60,5,500,-0.049146951467805206,534,0.021980163422912105,-0.045083248618218164
C1,C1_lb5zw60,5,1000,-0.05148300631070022,534,0.00903090415334652,-0.0537647681938168
C1,C1_lb5zw60,5,blend,-0.05151823272215567,534,0.013606815420157821,-0.052296705080344105
C1,C1_lb5zw60,10,500,-0.05062524009404726,266,-0.05152392721778238,-0.0360195189961659
C1,C1_lb5zw60,10,1000,-0.05798880704697766,266,-0.05072196686960843,-0.054928546531892636
C1,C1_lb5zw60,10,blend,-0.05433539647980378,266,-0.04704429012141674,-0.04664691530149877
C1,C1_lb5zw60,20,500,-0.11500748097806451,132,-0.06373998189553153,-0.022844950213371264
C1,C1_lb5zw60,20,1000,-0.11813814307396718,132,-0.04302875989623281,-0.017354196301564723
C1,C1_lb5zw60,20,blend,-0.12044439748461548,132,-0.051162870186386426,-0.021706970128022755
C1,C1_lb5zw60,40,500,-0.09173951048951048,65,-0.12026862026862026,-0.03176861071597913
C1,C1_lb5zw60,40,1000,-0.07211538461538461,65,-0.06715506715506715,-0.053816974869606446
C1,C1_lb5zw60,40,blend,-0.08850524475524475,65,-0.08608058608058607,-0.03200568990042674
C1,C1_lb5zw250,5,500,-0.01416244619889568,534,0.025731611021367437,-0.008886971527178603
C1,C1_lb5zw250,5,1000,-0.005748789452702561,534,0.03024448410636686,-0.011349832135931454
C1,C1_lb5zw250,5,blend,-0.009725849148130954,534,0.025691443036632237,-0.010814204802706328
C1,C1_lb5zw250,10,500,-0.01869497886164632,266,-0.051914059470998836,0.01444754269780411
C1,C1_lb5zw250,10,1000,-0.02760316610755422,266,-0.03982872034034618,-0.0303485535029627
C1,C1_lb5zw250,10,blend,-0.024964801696807214,266,-0.037777874912114214,-0.011042174973858485
C1,C1_lb5zw250,20,500,-0.05390134600242892,132,-0.1548255097590278,0.019402560455192036
C1,C1_lb5zw250,20,1000,-0.055850908073983394,132,-0.0879565506860848,-0.02751066856330014
C1,C1_lb5zw250,20,blend,-0.05625282582367467,132,-0.11374935410867351,-0.010782361308677097
C1,C1_lb5zw250,40,500,0.02667104091998618,65,-0.10618535827817538,0.07112375533428164
C1,C1_lb5zw250,40,1000,0.029228837467230758,65,-0.015037810854423682,0.018018018018018018
C1,C1_lb5zw250,40,blend,0.01821063695602335,65,-0.0644477608046729,0.06424845898530109
C1,C1_lb20zw60,5,500,-0.07146749329277845,534,-0.029469108396374413,-0.08497338948735253
C1,C1_lb20zw60,5,1000,-0.07479296110172098,534,-0.04541934201279179,-0.08717697913018223
C1,C1_lb20zw60,5,blend,-0.07457246110339354,534,-0.038270167694650706,-0.08857413782793293
C1,C1_lb20zw60,10,500,-0.10816422494990081,266,-0.08035399670415727,-0.1376089229696758
C1,C1_lb20zw60,10,1000,-0.10767582835400984,266,-0.07307154869397153,-0.1651829905890554
C1,C1_lb20zw60,10,blend,-0.10736085718120289,266,-0.07457826207538927,-0.15515162077378875
C1,C1_lb20zw60,20,500,-0.06949287187379953,132,0.011722688359339041,-0.2298719772403983
C1,C1_lb20zw60,20,1000,-0.07581680930752292,132,-0.0018113775015888315,-0.20190611664295874
C1,C1_lb20zw60,20,blend,-0.07222698343755453,132,0.01008219552771142,-0.2180654338549075
C1,C1_lb20zw60,40,500,0.0930944055944056,65,0.11294261294261294,-0.11119013750592696
