family,form,k,kou_jing,ic,n_windows,ic_2015-2020,ic_2021-2026
F1,F1_lb5zw60,5,500,-0.015501791665727429,542,-0.01584071148916913,-0.07546216128225575
F1,F1_lb5zw60,5,1000,-0.0019617145167231194,542,0.008136293801700601,-0.07645596138511553
F1,F1_lb5zw60,5,blend,-0.0070415139068969014,542,-0.0013845254698593198,-0.08023829969944182
F1,F1_lb5zw60,10,500,-0.025776076111744862,270,0.05834102747807825,-0.07651352511807642
F1,F1_lb5zw60,10,1000,-0.033735971796666056,270,0.007325147806113523,-0.08801583893898192
F1,F1_lb5zw60,10,blend,-0.030152311652979876,270,0.02967296990819106,-0.08764371928820189
F1,F1_lb5zw60,20,500,0.16810455006253802,134,0.1739711300703265,0.2451911565168809
F1,F1_lb5zw60,20,1000,0.1546355373952715,134,0.17140352159916614,0.21202809482001758
F1,F1_lb5zw60,20,blend,0.16620926222193025,134,0.18342744419581938,0.21945087397238414
F1,F1_lb5zw60,40,500,0.31752426677799817,66,0.1539589442815249,0.07620320855614975
F1,F1_lb5zw60,40,1000,0.31560379918588877,66,0.2129765395894428,0.006016042780748664
F1,F1_lb5zw60,40,blend,0.31084437950109595,66,0.18255131964809382,0.03676470588235294
F1,F1_lb5zw250,5,500,0.010205117478166397,542,-0.002656758207899479,-0.016574344504786752
F1,F1_lb5zw250,5,1000,0.024058886110743218,542,0.015913355578522873,-0.02020864494028942
F1,F1_lb5zw250,5,blend,0.018547024160391862,542,0.007344820239596417,-0.021587579445028995
F1,F1_lb5zw250,10,500,0.02823921705795896,270,0.122161814097806,0.015676732980296742
F1,F1_lb5zw250,10,1000,0.032302578294364157,270,0.10077447972437895,0.0103525595152903
F1,F1_lb5zw250,10,blend,0.029272667806940367,270,0.10922862876207498,0.00943657268260102
F1,F1_lb5zw250,20,500,0.2669763573831361,134,0.33608458495063454,0.2865352382472664
F1,F1_lb5zw250,20,1000,0.24861297022679546,134,0.33394898641680915,0.26338893766461813
F1,F1_lb5zw250,20,blend,0.25986650092401764,134,0.34422917151590965,0.26322930800542743
F1,F1_lb5zw250,40,500,0.4141790931741793,66,0.3094619312591131,0.1574197860962567
F1,F1_lb5zw250,40,1000,0.431177267110036,66,0.3787828748626102,0.08155080213903744
F1,F1_lb5zw250,40,blend,0.4188358410706118,66,0.3390658355566278,0.12600267379679145
F1,F1_lb20zw60,5,500,0.0875449536816867,542,0.14667836839087484,-0.032325928687027876
F1,F1_lb20zw60,5,1000,0.08601287412673933,542,0.14332045279321057,-0.025938477580813347
F1,F1_lb20zw60,5,blend,0.08486939168834592,542,0.1435348146601287,-0.030179674340258283
F1,F1_lb20zw60,10,500,0.12455108986795949,270,0.2355422701582813,0.01623014169171318
F1,F1_lb20zw60,10,1000,0.10935498080341745,270,0.19784530477723747,-0.008678021086780209
F1,F1_lb20zw60,10,blend,0.11791052738326574,270,0.2142452700952423,-0.00450837269214255
F1,F1_lb20zw60,20,500,0.11362001224464528,134,0.2243213059438119,0.07638279192273925
F1,F1_lb20zw60,20,1000,0.11963755113857495,134,0.21724472649890655,0.061856492936387585
F1,F1_lb20zw60,20,blend,0.1206924284498606,134,0.22438393054066944,0.07051640194748185
F1,F1_lb20zw60,40,500,0.33384824131092794,66,0.24596774193548382,-0.2159090909090909
F1,F1_lb20zw60,40,1000,0.34107086942907844,66,0.25549853372434017,-0.2667112299465241
F1,F1_lb20zw60,40,blend,0.3427825905437846,66,0.24853372434017595,-0.26403743315508027
F1,F1_lb20zw250,5,500,0.11365329510608184,542,0.13017735772165018,0.058306281524400885
F1,F1_lb20zw250,5,1000,0.1113135471797112,542,0.12994968979619342,0.06095208998815697
F1,F1_lb20zw250,5,blend,0.11091915342458454,542,0.12783174567854158,0.06063950004482422
F1,F1_lb20zw250,10,500,0.16099723339671673,270,0.22873269373728908,0.14442536138543005
F1,F1_lb20zw250,10,1000,0.14860100843453233,270,0.2223914424621156,0.12549496684318495
F1,F1_lb20zw250,10,blend,0.15542440588487397,270,0.22404134446795942,0.13163971184580886
F1,F1_lb20zw250,20,500,0.16994303217826906,134,0.24747818303740968,0.13636363636363638
F1,F1_lb20zw250,20,1000,0.16669245569888963,134,0.24567758035202747,0.09517918429244156
F1,F1_lb20zw250,20,blend,0.16869069956687344,134,0.24829473541798996,0.1141751137361322
F1,F1_lb20zw250,40,500,0.39672150913194804,66,0.3455014669256527,-0.056149732620320865
F1,F1_lb20zw250,40,1000,0.4108796933193078,66,0.36775036394428173,-0.12399732620320857
F1,F1_lb20zw250,40,blend,0.41232057047111875,66,0.3427433391960706,-0.09324866310160429
F2,F2_lb5zw60,5,500,0.030510111721556293,542,0.031595678231571014,-0.018507094022336617
F2,F2_lb5zw60,5,1000,0.024852390940820902,542,0.04867212283591513,-0.02935101609425354
F2,F2_lb5zw60,5,blend,0.025954421010303416,542,0.041895765936986185,-0.02508858681035581
F2,F2_lb5zw60,10,500,0.03704588859150653,270,0.08208144383577487,-0.08312103430179858
F2,F2_lb5zw60,10,1000,0.02822574376355348,270,0.09558399692963454,-0.10232336243499833
F2,F2_lb5zw60,10,blend,0.033603062999230944,270,0.08318327665340754,-0.09522923524640999
F2,F2_lb5zw60,20,500,-0.01871596742600169,134,0.03715726080215756,-0.1514885465719531
F2,F2_lb5zw60,20,1000,-0.013002672106485385,134,0.06393971339157786,-0.14554234176710035
F2,F2_lb5zw60,20,blend,-0.011568737227078192,134,0.04861756202709268,-0.13943650730305693
F2,F2_lb5zw60,40,500,0.014090387224715586,66,0.1722873900293255,0.06784759358288771
F2,F2_lb5zw60,40,1000,0.0367185053752218,66,0.19868035190615835,0.19251336898395724
F2,F2_lb5zw60,40,blend,0.03855547437636991,66,0.1997800586510264,0.13736631016042783
F2,F2_lb5zw250,5,500,0.000131828996528183,542,-0.038757934665395725,0.009378288092328452
F2,F2_lb5zw250,5,1000,-0.002150165992272798,542,-0.02274149610951327,0.011391839161268102
F2,F2_lb5zw250,5,blend,-0.002984341581399373,542,-0.02874054594529867,0.008968382411920411
F2,F2_lb5zw250,10,500,-0.0016146715006953478,270,-0.00503667759613418,-0.0316301703163017
F2,F2_lb5zw250,10,1000,-0.01164210170982946,270,-0.01463680508130004,-0.040131673107199076
F2,F2_lb5zw250,10,blend,-0.006919759337824142,270,-0.014184041275045214,-0.03942082915891417
F2,F2_lb5zw250,20,500,-0.0739025921912017,134,-0.09723254501063709,-0.09869103679463645
F2,F2_lb5zw250,20,1000,-0.06845669161216467,134,-0.09543194232525491,-0.09633649932157397
F2,F2_lb5zw250,20,blend,-0.07094389402961766,134,-0.09779785050488497,-0.08436427488227315
F2,F2_lb5zw250,40,500,0.01039937422611381,66,0.0211456459267962,0.04378342245989305
F2,F2_lb5zw250,40,1000,0.019044637136979504,66,0.04155579112570384,0.17212566844919788
F2,F2_lb5zw250,40,blend,0.030550772073904626,66,0.05553030495558655,0.11731283422459894
F2,F2_lb20zw60,5,500,0.014490730704018505,542,0.012818839641702955,0.004280712846620962
F2,F2_lb20zw60,5,1000,0.022917394360059455,542,0.05361631624877341,-0.0034662096169180753
F2,F2_lb20zw60,5,blend,0.018357030836311163,542,0.03719682771892539,0.0009896715564384091
F2,F2_lb20zw60,10,500,0.003597987468180335,270,-0.02189382617259,-0.007485329898382709
F2,F2_lb20zw60,10,1000,0.015061676083650104,270,0.03022898739486681,-0.01932636801679309
F2,F2_lb20zw60,10,blend,0.01125426580850206,270,0.003667674980916172,-0.00680788130337293
F2,F2_lb20zw60,20,500,-0.06709568335730519,134,-0.07494076757289081,-0.14111261872455905
F2,F2_lb20zw60,20,1000,-0.053312451916464235,134,-0.027241699633042477,-0.12439141192433556
F2,F2_lb20zw60,20,blend,-0.05518030795937899,134,-0.04924380799566836,-0.13237289488386944
F2,F2_lb20zw60,40,500,0.04832480951883938,66,0.10923753665689148,-0.036096256684491984
F2,F2_lb20zw60,40,1000,0.08719340361131407,66,0.12903225806451613,-0.007352941176470589
F2,F2_lb20zw60,40,blend,0.0753783529902933,66,0.12426686217008798,0.004010695187165776
F2,F2_lb20zw250,5,500,-0.011643135465459526,542,-0.04043255873931094,0.02716465586796201
F2,F2_lb20zw250,5,1000,-0.009076447144722359,542,-0.030082521883685407,0.03010241154294396
F2,F2_lb20zw250,5,blend,-0.010688553295002949,542,-0.03377137468698883,0.027956746988520284
F2,F2_lb20zw250,10,500,0.019899644593177775,270,0.0010820287573208524,0.023820428414674872
F2,F2_lb20zw250,10,1000,0.021375872116287536,270,-0.00394441688838949,0.029631219884547488
F2,F2_lb20zw250,10,blend,0.021028237458914033,270,0.0008057660958772303,0.030241877773007013
F2,F2_lb20zw250,20,500,-0.025790068798023334,134,-0.04807190425159836,-0.04158352621917153
F2,F2_lb20zw250,20,1000,2.4946864768836655e-06,134,-0.03559330889708938,-0.016840929044616492
F2,F2_lb20zw250,20,blend,-0.011834792646336108,134,-0.04444976164030632,-0.025780189959294444
F2,F2_lb20zw250,40,500,0.06164448336443366,66,0.037694412304288875,-0.028074866310160432
F2,F2_lb20zw250,40,1000,0.06502741232955501,66,0.053323802771920864,-0.00033422459893048126
F2,F2_lb20zw250,40,blend,0.07519708150248158,66,0.06067881005080649,0.006350267379679145
