family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
N1,N1_lb5zw60,5,500,-0.03993491826180875,641,-0.016274732285036692,-0.04557087917825014
N1,N1_lb5zw60,5,1000,-0.04584426173316166,641,-0.015327564292984139,-0.045233012257919696
N1,N1_lb5zw60,5,blend,-0.04183119162151821,641,-0.014708131035456712,-0.04482074272853777
N1,N1_lb5zw60,10,500,-0.06814898366142379,320,-0.05359785860494411,-0.10203328255009962
N1,N1_lb5zw60,10,1000,-0.0772278242974083,320,-0.05400330656589514,-0.11172799718739013
N1,N1_lb5zw60,10,blend,-0.07467786796856475,320,-0.061230514879546526,-0.10297374897456932
N1,N1_lb5zw60,20,500,-0.051459914213587754,159,-0.02566081420027012,-0.08575949367088608
N1,N1_lb5zw60,20,1000,-0.059557902106165156,159,0.018393465817737476,-0.07478091528724441
N1,N1_lb5zw60,20,blend,-0.05533351395206487,159,-0.0047913049070679795,-0.09062804284323273
N1,N1_lb5zw60,40,500,-0.03215676728334956,79,-0.16834733893557424,0.059919028340080976
N1,N1_lb5zw60,40,1000,-0.039605647517039926,79,-0.20728291316526612,0.08765182186234818
N1,N1_lb5zw60,40,blend,-0.030671859785783837,79,-0.18095238095238098,0.06437246963562754
N1,N1_lb5zw250,5,500,-0.022835500279056526,641,0.02029958198434788,-0.04581888787508845
N1,N1_lb5zw250,5,1000,-0.042534866488759475,641,0.002032101354225438,-0.05433924462661303
N1,N1_lb5zw250,5,blend,-0.0329119989393482,641,0.009970545235137757,-0.049384821616150466
N1,N1_lb5zw250,10,500,-0.032680358152234565,320,0.06786227692235773,-0.08417613969295676
N1,N1_lb5zw250,10,1000,-0.0741020834621421,320,0.028088273588077278,-0.113597210828548
N1,N1_lb5zw250,10,blend,-0.05625324063942775,320,0.039364530324305674,-0.10102836048283136
N1,N1_lb5zw250,20,500,6.270743987515581e-05,159,0.1244974769256889,-0.07168938656280428
N1,N1_lb5zw250,20,1000,-0.0398356476978341,159,0.10195220921065197,-0.09330574488802337
N1,N1_lb5zw250,20,blend,-0.020269433422502744,159,0.1040105503429806,-0.08437195715676729
N1,N1_lb5zw250,40,500,-0.02372706022132913,79,0.0792772605067588,-0.18623481781376522
N1,N1_lb5zw250,40,1000,-0.04320540622139409,79,-0.00938441069602975,-0.1791497975708502
N1,N1_lb5zw250,40,blend,-0.030081870603850324,79,0.02451152047470458,-0.19372469635627532
N1,N1_lb20zw60,5,500,-0.04391522880340894,641,-0.03525120648262227,-0.047843932799707285
N1,N1_lb20zw60,5,1000,-0.05517226453620729,641,-0.03727020827956309,-0.04489011327707371
N1,N1_lb20zw60,5,blend,-0.04905757004651635,641,-0.03597046978558455,-0.047080137900024105
N1,N1_lb20zw60,10,500,-0.05777886828531257,320,-0.03712013856085656,-0.09165885386147896
N1,N1_lb20zw60,10,1000,-0.07471961649958418,320,-0.04451267516926467,-0.1006386968240947
N1,N1_lb20zw60,10,blend,-0.06696317889439873,320,-0.05014170996693433,-0.09382104769717567
N1,N1_lb20zw60,20,500,-0.018709710644343822,159,-0.02562865779149785,-0.03293573515092502
N1,N1_lb20zw60,20,1000,-0.04302755778867167,159,-0.008714386777284715,-0.03373904576436222
