window,challenger,reference,k,diff_ic,ci_lo,ci_hi,p_value,boot_mean,boot_sd,n_boot,n_obs,seed,ci_excludes_zero
2014-2020,overnight_lb20_zw40,incumbent_citic20z40,20,-0.11600547195622433,-0.37088000849084163,0.1538739255778459,0.3842615738426157,-0.11472068979390228,0.13367864716459507,10000,86,0,False
2014-2020,overnight_lb20_zw120,incumbent_citic20z40,20,-0.16619651870371244,-0.4450430148643364,0.13348906582454778,0.2606739326067393,-0.16408665393847166,0.14775381982169783,10000,86,0,False
2014-2020,intraday_lb20_zw40,incumbent_citic20z40,20,-0.007604132270390113,-0.10191051538606759,0.08851196994298226,0.8767123287671232,-0.007487009783076565,0.0484926207461012,10000,86,0,False
2014-2020,intraday_lb20_zw120,incumbent_citic20z40,20,-0.05162507665455916,-0.21964809736298285,0.11233917024590542,0.5349465053494651,-0.051369637812258034,0.084837923930154,10000,86,0,False
2014-2020,fused_lb20_zw40,incumbent_citic20z40,20,-0.020887777725364404,-0.15869330133147677,0.12079047233862486,0.768023197680232,-0.02065511103012836,0.0712548662342026,10000,86,0,False
2014-2020,fused_lb20_zw120,incumbent_citic20z40,20,-0.06353129864616254,-0.2627322662218301,0.13361467602951724,0.535946405359464,-0.06315394066815194,0.10228257394057025,10000,86,0,False
2021-2023,overnight_lb20_zw40,incumbent_citic20z40,20,-0.38952110004741575,-0.6969447457033345,-0.10272125793323236,0.0115988401159884,-0.37943632197250754,0.1517297523804522,10000,37,0,True
2021-2023,overnight_lb20_zw120,incumbent_citic20z40,20,-0.4378852536747273,-0.7308907632405117,-0.15689322226750918,0.0029997000299970002,-0.42508973841520403,0.14712196580543144,10000,37,0,True
2021-2023,intraday_lb20_zw40,incumbent_citic20z40,20,0.04243717401612146,-0.057111239495101204,0.14642885797490282,0.39176082391760825,0.04132714757384748,0.05132369180895429,10000,37,0,False
2021-2023,intraday_lb20_zw120,incumbent_citic20z40,20,-0.14129919393077284,-0.3647385535380091,0.07990653923921344,0.19938006199380062,-0.13935469158262614,0.11162590735877159,10000,37,0,False
2021-2023,fused_lb20_zw40,incumbent_citic20z40,20,-0.11356092935040296,-0.26776513387036105,0.03332945647918151,0.12888711128887112,-0.11188886301771782,0.07610261377776414,10000,37,0,False
2021-2023,fused_lb20_zw120,incumbent_citic20z40,20,-0.22119487908961585,-0.4359526232327163,-0.04186364726575896,0.028497150284971504,-0.21675898214905373,0.09911866166382825,10000,37,0,True
2024-2026,overnight_lb20_zw40,incumbent_citic20z40,20,-0.03555718475073313,-0.4272394762297743,0.35829311097493804,0.8623137686231377,-0.040775884254250154,0.20221090536615544,10000,32,0,False
2024-2026,overnight_lb20_zw120,incumbent_citic20z40,20,-0.031891495601173006,-0.42990114516086625,0.38489905818131914,0.8778122187781222,-0.03569334354798966,0.20847935024020606,10000,32,0,False
2024-2026,intraday_lb20_zw40,incumbent_citic20z40,20,-0.024926686217008786,-0.16695318414885402,0.12895285887888827,0.7118288171182882,-0.023900247501476575,0.07379666336462118,10000,32,0,False
2024-2026,intraday_lb20_zw120,incumbent_citic20z40,20,-0.12646627565982402,-0.3507545086492455,0.1290470855430488,0.2916708329167083,-0.12291911020033604,0.12109088859437987,10000,32,0,False
2024-2026,fused_lb20_zw40,incumbent_citic20z40,20,-0.03409090909090908,-0.21841205738430627,0.15651525019831458,0.720927907209279,-0.03333236121032315,0.09507379151564048,10000,32,0,False
2024-2026,fused_lb20_zw120,incumbent_citic20z40,20,-0.09274193548387095,-0.34941106685225165,0.18967059058233093,0.49565043495650435,-0.09352267084999923,0.1371195938749307,10000,32,0,False
