window,factor,k,offset,ic,n_obs,t_stat,p_value
2014-2020,incumbent_citic20z40,20,0,0.1659983961507618,86,1.5428052767254405,0.12663711437421885
2014-2020,overnight_lb20_zw40,20,0,0.04999292419453748,86,0.4587663729946842,0.6475867934782994
2014-2020,overnight_lb20_zw120,20,0,-0.00019812255295061088,86,-0.0018158232271859845,0.9985554889296739
2014-2020,intraday_lb20_zw40,20,0,0.1583942638803717,86,1.4702681534899829,0.14522505365715524
2014-2020,intraday_lb20_zw120,20,0,0.11437331949620265,86,1.055173001232141,0.2943716926241258
2014-2020,fused_lb20_zw40,20,0,0.1451106184253974,86,1.3441884323157445,0.18250658197763542
2014-2020,fused_lb20_zw120,20,0,0.10246709750459927,86,0.9440958093001655,0.34782831509622475
2021-2023,incumbent_citic20z40,20,0,0.46752015173067796,37,3.1288931487649694,0.0035273955629584832
2021-2023,overnight_lb20_zw40,20,0,0.0779990516832622,37,0.4628587428509526,0.6463306921969358
2021-2023,overnight_lb20_zw120,20,0,0.02963489805595068,37,0.17539945846692065,0.8617765946741598
2021-2023,intraday_lb20_zw40,20,0,0.5099573257467994,37,3.507264907138795,0.0012631438285057768
2021-2023,intraday_lb20_zw120,20,0,0.3262209577999051,37,2.0416401052988666,0.04878142812385157
2021-2023,fused_lb20_zw40,20,0,0.353959222380275,37,2.239002077314211,0.03161253585938626
2021-2023,fused_lb20_zw120,20,0,0.2463252726410621,37,1.503610387312039,0.1416524346094186
2024-2026,incumbent_citic20z40,20,0,0.05278592375366568,32,0.289524051165439,0.7741719516532685
2024-2026,overnight_lb20_zw40,20,0,0.01722873900293255,32,0.09437969826920646,0.9254351029311065
2024-2026,overnight_lb20_zw120,20,0,0.020894428152492667,32,0.11446848614216644,0.9096291185775632
2024-2026,intraday_lb20_zw40,20,0,0.02785923753665689,32,0.15265057872602797,0.8796959152871046
2024-2026,intraday_lb20_zw120,20,0,-0.07368035190615835,32,-0.4046638209849967,0.6885955203066568
2024-2026,fused_lb20_zw40,20,0,0.018695014662756596,32,0.10241471115461984,0.9191090205713129
2024-2026,fused_lb20_zw120,20,0,-0.03995601173020528,32,-0.21902299238917805,0.8281154440486572
