gate,metric,value,threshold,pass
1_two_window_same_sign,signed_stat_train_2014_2020,-0.15850344396817384,,
1_two_window_same_sign,signed_stat_val_2021_2023,-0.3170269011636305,,
1_two_window_same_sign,two_window_same_sign,1.0,1.0,True
2_permutation_significant,p_selected,0.3836163836163836,0.05,False
2_permutation_significant,p_naive_UNCORRECTED(对照·不入闸),0.08291708291708291,,
2_permutation_significant,p_min_p(备用口径·不入闸),0.3306693306693307,,
2_permutation_significant,selection_inflation(p_selected/p_naive),4.626506024096386,,
3_early_late_cosine,demeaned_cosine_early_vs_late,1.0,0.0,True
4_return_layer,net_sharpe_train_2014_2020,1.7308485204899946,,
4_return_layer,net_sharpe_val_2021_2023,0.9883283143978425,,
4_return_layer,worst_tv_net_sharpe_adjusted,0.9883283143978425,1.100931,False
4_return_layer,worst_tv_net_sharpe_incumbent(重算·同秤诊断),1.0009306065302395,,
OVERALL,四闸全过才 GO,STOP,,False
META,seed,0,,
META,n_perm,1000,,
META,scheme,rotation,,
META,n_variants,8,,
META,k_forward,20,非重叠 offset 数 = 20（全 offset 加权平均）,
META,min_shift,40,"房规 [2k, n−2k]",
META,max_shift,2394,"房规 [2k, n−2k]",
META,n_obs_selection,2434,2014-01-02 ~ 2023-12-29,
META,winner_variant,S1_realized_vol|binary,,
META,winner_signed_stat_selection,-0.23147996410108884,,
META,winner_abs_stat_observed,0.23147996410108884,,
META,low_efficacy_bucket,up,w=0.5 的桶；其余（含状态 NaN 日）w=1.0,
META,gate3_cut_date,2018-12-26,early=1217d / late=1217d,
META,min_bucket_days_floor,100,,
META,min_cell_points,3,,
META,pct_window,250,,
META,vol_window,20,,
META,incumbent_worst_tv_sharpe_prereg,1.000931,probe_5b_..._panel.csv:4 / baseline_metrics.csv:105 双证,
META,gate4_threshold,1.100931,= 1.000931 + 0.10,
META,signal_csv,output/equal_weight/equal_weight_signal_20d40z.csv,factor_value,
META,signal_first_last,2014-01-02 ~ 2026-08-11,n=3065,
META,underlying_first_last,2013-03-07 ~ 2026-08-11,n=3264（blend = 000905/000852 各半）,
META,carry_first_last,2015-04-16 ~ 2026-04-29,n=2677；缺腿按 0、止于 2026-04-29（holdout 末段无 carry）,
META,common_index_first_last,2014-01-02 ~ 2026-07-14,n=3045,
META,level_S1_realized_vol,2013-04-03 ~ 2026-08-11,n_obs=3245（原值序列，垃圾尾已剔）,
META,pct_S1_realized_vol,2014-04-17 ~ 2026-08-11,n_obs=2996（250d 分位）,
META,selection_labelled_days_S1_realized_vol,2365,选择窗 2434 天中因分位 NaN 丢弃 69 天,
META,level_S2_turnover,1990-12-19 ~ 2026-06-30,n_obs=8671（原值序列，垃圾尾已剔）,
META,pct_S2_turnover,1991-12-11 ~ 2026-06-30,n_obs=8422（250d 分位）,
META,selection_labelled_days_S2_turnover,2434,选择窗 2434 天中因分位 NaN 丢弃 0 天,
META,level_S3_limitup,1990-12-19 ~ 2026-06-30,n_obs=8671（原值序列，垃圾尾已剔）,
META,pct_S3_limitup,1991-12-11 ~ 2026-06-30,n_obs=8422（250d 分位）,
META,selection_labelled_days_S3_limitup,2434,选择窗 2434 天中因分位 NaN 丢弃 0 天,
META,level_S4_carry,2015-04-16 ~ 2026-04-29,n_obs=2677（原值序列，垃圾尾已剔）,
META,pct_S4_carry,2016-04-21 ~ 2026-04-29,n_obs=2428（250d 分位）,
META,selection_labelled_days_S4_carry,1873,选择窗 2434 天中因分位 NaN 丢弃 561 天,
META,cache_thermometer_last,2026-06-30,trim_incomplete_tail 后（2026-07-01 垃圾行已剔）,
META,cache_turnover_last,2026-06-30,trim_incomplete_tail 后（2026-07-01 垃圾行已剔）,
META,diag_paired_ic_diff(调节版因子−原因子·offset0·不进闸),0.020976802590822352,"CI=[-0.0288, 0.0733] p=0.4049 n_grid=122",
META,diag_n_distinct_null_winners,8,,
META,diag_null_selected_p95,0.34865067259732985,,
META,observed_abs_stat[S1_realized_vol|tercile],0.18216808603486898,p_naive_UNCORRECTED=0.2597（对照·不入闸）,
META,observed_abs_stat[S1_realized_vol|binary],0.23147996410108884,p_naive_UNCORRECTED=0.0829（对照·不入闸）,
META,observed_abs_stat[S2_turnover|tercile],0.11108638879271995,p_naive_UNCORRECTED=0.4196（对照·不入闸）,
META,observed_abs_stat[S2_turnover|binary],0.057379305235092576,p_naive_UNCORRECTED=0.5864（对照·不入闸）,
META,observed_abs_stat[S3_limitup|tercile],0.011217531214609278,p_naive_UNCORRECTED=0.9261（对照·不入闸）,
META,observed_abs_stat[S3_limitup|binary],0.02008310943995381,p_naive_UNCORRECTED=0.7892（对照·不入闸）,
META,observed_abs_stat[S4_carry|tercile],0.13227685679942805,p_naive_UNCORRECTED=0.3676（对照·不入闸）,
META,observed_abs_stat[S4_carry|binary],0.08854309918382264,p_naive_UNCORRECTED=0.4356（对照·不入闸）,
META,ret_adjusted[selection_2014_2023],1.5565627492456549,ann=0.1772 maxdd=-0.1111 turnover=10.468 n=2434,
META,ret_adjusted[train_2014_2020],1.7308485204899946,ann=0.2118 maxdd=-0.0868 turnover=11.052 n=1707,
