variant,acf_lag20,acf_lag40,acf_lag60,acf_lag120,acf_lag250,max_abs_acf_beyond_lag60,mean_abs_acf_beyond_lag60
"(0.0, 0.0, 0.0)",0.126185,0.228964,0.001293,0.014707,0.001767,0.170653,0.061287
"(0.0, 0.0, -0.25)",0.136033,0.235723,0.003555,0.016508,0.007449,0.171784,0.063192
"(0.0, 0.0, -0.5)",0.140911,0.239607,0.005072,0.017681,0.011264,0.172042,0.064351
"(0.0, 0.0, -1.0)",0.145021,0.243705,0.006959,0.019101,0.016015,0.171795,0.06567
"(0.0, 0.1, 0.0)",0.098078,0.220179,0.000671,0.000861,0.0069,0.182243,0.059902
"(0.0, 0.1, -0.25)",0.1199,0.24029,0.0045,0.009229,0.007145,0.182192,0.063123
"(0.0, 0.1, -0.5)",0.132639,0.251112,0.007218,0.015679,0.007001,0.180497,0.064781
"(0.0, 0.1, -1.0)",0.145489,0.260748,0.010637,0.022967,0.006453,0.176631,0.066144
"(0.1, 0.0, 0.0)",0.115698,0.177264,0.018749,0.02885,0.006653,0.176489,0.057788
"(0.1, 0.0, -0.25)",0.143648,0.212118,0.024251,0.018475,0.003369,0.185222,0.062906
"(0.1, 0.0, -0.5)",0.159831,0.232775,0.028122,0.010048,0.001692,0.189613,0.065848
"(0.1, 0.0, -1.0)",0.175025,0.252874,0.032777,0.001465,0.000449,0.189437,0.06821
"(0.1, 0.1, 0.0)",0.118396,0.160955,0.01104,0.034694,0.010208,0.17639,0.057512
"(0.1, 0.1, -0.25)",0.14309,0.212421,0.019063,0.026638,0.004283,0.193296,0.064567
"(0.1, 0.1, -0.5)",0.157131,0.243299,0.025029,0.018594,0.001029,0.199963,0.068877
"(0.1, 0.1, -1.0)",0.169053,0.272099,0.032339,0.00623,0.001552,0.200917,0.072261
"(0.2, 0.0, 0.0)",0.142092,0.12918,0.000154,0.030636,0.004442,0.155487,0.052607
"(0.2, 0.0, -0.25)",0.16294,0.190048,0.008797,0.018456,0.002324,0.159682,0.058846
"(0.2, 0.0, -0.5)",0.173352,0.227843,0.017565,0.00731,0.005875,0.167036,0.062622
"(0.2, 0.0, -1.0)",0.179168,0.263069,0.030664,0.008577,0.008188,0.168718,0.066234
"(0.2, 0.1, 0.0)",0.149497,0.132351,0.012355,0.023036,0.000215,0.163359,0.053491
"(0.2, 0.1, -0.25)",0.169879,0.193209,0.007237,0.01127,0.000242,0.161887,0.060371
"(0.2, 0.1, -0.5)",0.180336,0.231079,0.000298,0.001885,0.000146,0.174395,0.064247
"(0.2, 0.1, -1.0)",0.185879,0.264251,0.013959,0.009686,0.000558,0.175272,0.06708
"(0.3, 0.0, 0.0)",0.171336,0.127661,0.004145,0.011464,0.009487,0.150119,0.047424
"(0.3, 0.0, -0.25)",0.196062,0.183596,0.002846,0.020881,0.006473,0.158746,0.056219
"(0.3, 0.0, -0.5)",0.207167,0.21936,0.002769,0.02774,0.004085,0.163282,0.061373
"(0.3, 0.0, -1.0)",0.209008,0.250329,0.015543,0.035064,0.001255,0.164657,0.065618
"(0.3, 0.1, 0.0)",0.172926,0.143247,0.002492,0.028319,0.024734,0.165366,0.047477
"(0.3, 0.1, -0.25)",0.202605,0.193717,0.007828,0.042138,0.02423,0.163408,0.055836
"(0.3, 0.1, -0.5)",0.216821,0.224704,0.015361,0.049869,0.022132,0.163842,0.061724
"(0.3, 0.1, -1.0)",0.220239,0.247719,0.02855,0.054267,0.017383,0.164874,0.065997
