theta_L,h,w_S,kou_jing,carry_source,is_incumbent,is_symmetric_1a,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
0.0,0.0,0.0,500,500,True,False,1.702445,0.258065,-0.13144,1.963364,10.468365,0.561588,0.48562,0.0,2434,1.939869,0.321438,-0.119815,2.682796,11.338606,0.567023,0.471588,0.0,1707,0.928439,0.102698,-0.13144,0.781326,8.425034,0.548718,0.518569,0.0,727,1.856479,0.328352,-0.162926,2.015348,10.871632,0.552553,0.505547,0.0,631,1.734757,0.272535,-0.166643,1.635438,10.551387,0.559668,0.489723,0.0,3065,0.928439
0.0,0.0,0.0,1000,1000,True,False,1.36407,0.224504,-0.173372,1.294931,10.468365,0.553485,0.48562,0.0,2434,1.465116,0.260674,-0.173372,1.50356,11.338606,0.55516,0.471588,0.0,1707,1.035772,0.131754,-0.131123,1.004808,8.425034,0.548718,0.518569,0.0,727,1.838521,0.352946,-0.175256,2.013894,10.871632,0.576577,0.505547,0.0,631,1.471126,0.250947,-0.175256,1.431891,10.551387,0.558392,0.489723,0.0,3065,1.035772
0.0,0.0,0.0,blend,blend,True,False,1.538854,0.241284,-0.134819,1.789693,10.468365,0.555916,0.48562,0.0,2434,1.705347,0.291056,-0.134819,2.15887,11.338606,0.563464,0.471588,0.0,1707,1.000931,0.117226,-0.131245,0.893182,8.425034,0.538462,0.518569,0.0,727,1.85889,0.340649,-0.166667,2.043892,10.871632,0.576577,0.505547,0.0,631,1.609892,0.261741,-0.166667,1.570444,10.551387,0.560306,0.489723,0.0,3065,1.000931
0.0,0.0,-0.25,500,500,False,False,1.67573,0.265975,-0.144909,1.835466,13.11062,0.527151,0.48562,0.497946,2434,1.862074,0.323558,-0.144909,2.232838,14.209139,0.523095,0.471588,0.504979,1707,1.078996,0.124205,-0.13144,0.944959,10.531293,0.535813,0.518569,0.481431,727,1.889779,0.345298,-0.163074,2.11743,13.58954,0.542857,0.505547,0.494453,631,1.72257,0.282382,-0.163074,1.731617,13.209217,0.530579,0.489723,0.497227,3065,1.078996
0.0,0.0,-0.25,1000,1000,False,False,1.545775,0.266054,-0.181638,1.464748,13.11062,0.529657,0.48562,0.497946,2434,1.640757,0.305473,-0.181638,1.681769,14.209139,0.530894,0.471588,0.504979,1707,1.248478,0.165675,-0.131123,1.263505,10.531293,0.526171,0.518569,0.481431,727,1.898109,0.376924,-0.176585,2.134511,13.58954,0.539683,0.505547,0.494453,631,1.624685,0.288991,-0.181638,1.591027,13.209217,0.531901,0.489723,0.497227,3065,1.248478
0.0,0.0,-0.25,blend,blend,False,False,1.621456,0.266015,-0.159745,1.66525,13.11062,0.525898,0.48562,0.497946,2434,1.759495,0.314516,-0.159745,1.968866,14.209139,0.526095,0.471588,0.504979,1707,1.187476,0.14494,-0.131245,1.104348,10.531293,0.524793,0.518569,0.481431,727,1.90697,0.361111,-0.167401,2.157156,13.58954,0.536508,0.505547,0.494453,631,1.684847,0.285687,-0.167401,1.706597,13.209217,0.528264,0.489723,0.497227,3065,1.187476
0.0,0.0,-0.5,500,500,False,False,1.534194,0.273886,-0.178178,1.537145,15.752876,0.528404,0.48562,0.497946,2434,1.661728,0.325678,-0.178178,1.827818,17.079672,0.524295,0.471588,0.504979,1707,1.139979,0.145713,-0.13144,1.108592,12.637552,0.53719,0.518569,0.481431,727,1.81625,0.362245,-0.175532,2.063691,16.307448,0.542857,0.505547,0.494453,631,1.596841,0.292229,-0.178178,1.640094,15.867047,0.53157,0.489723,0.497227,3065,1.139979
0.0,0.0,-0.5,1000,1000,False,False,1.590894,0.307604,-0.219799,1.399477,15.752876,0.530493,0.48562,0.497946,2434,1.672324,0.350272,-0.219799,1.593601,17.079672,0.531494,0.471588,0.504979,1707,1.346434,0.199596,-0.131123,1.522202,12.637552,0.527548,0.518569,0.481431,727,1.843271,0.400901,-0.178537,2.245472,16.307448,0.54127,0.505547,0.494453,631,1.647197,0.327035,-0.219799,1.487882,15.867047,0.532893,0.489723,0.497227,3065,1.346434
0.0,0.0,-0.5,blend,blend,False,False,1.576673,0.290745,-0.191478,1.518426,15.752876,0.525898,0.48562,0.497946,2434,1.678743,0.337975,-0.191478,1.765086,17.079672,0.525495,0.471588,0.504979,1707,1.269337,0.172655,-0.131245,1.315515,12.637552,0.526171,0.518569,0.481431,727,1.844539,0.381573,-0.173773,2.19581,16.307448,0.539683,0.505547,0.494453,631,1.636313,0.309632,-0.191478,1.617066,15.867047,0.528926,0.489723,0.497227,3065,1.269337
0.0,0.0,-1.0,500,500,False,True,1.196659,0.289707,-0.286696,1.010502,21.037387,0.528404,0.48562,0.497946,2434,1.235633,0.329917,-0.286696,1.150753,22.820738,0.524295,0.471588,0.504979,1707,1.113472,0.188729,-0.16177,1.166653,16.850069,0.53719,0.518569,0.481431,727,1.548656,0.396137,-0.24524,1.615306,21.743265,0.544444,0.505547,0.494453,631,1.273404,0.311923,-0.286696,1.087992,21.182708,0.531901,0.489723,0.497227,3065,1.113472
