variant,observed,p_naive_per_variant_UNCORRECTED,null_winner_count,is_observed_winner
"(0.0, 0.0, 0.0)",1.000931,0.000999,128,False
"(0.0, 0.0, -0.25)",1.187476,0.000999,29,False
"(0.0, 0.0, -0.5)",1.269337,0.000999,19,True
"(0.0, 0.0, -1.0)",1.256076,0.000999,6,False
"(0.0, 0.1, 0.0)",0.837046,0.006993,103,False
"(0.0, 0.1, -0.25)",1.028628,0.001998,19,False
"(0.0, 0.1, -0.5)",1.125238,0.000999,13,False
"(0.0, 0.1, -1.0)",1.145838,0.000999,8,False
"(0.1, 0.0, 0.0)",0.651516,0.028971,64,False
"(0.1, 0.0, -0.25)",0.866938,0.005994,12,False
"(0.1, 0.0, -0.5)",0.995797,0.000999,7,False
"(0.1, 0.0, -1.0)",1.073407,0.000999,10,False
"(0.1, 0.1, 0.0)",0.620368,0.034965,82,False
"(0.1, 0.1, -0.25)",0.839717,0.001998,17,False
"(0.1, 0.1, -0.5)",0.973248,0.000999,15,False
"(0.1, 0.1, -1.0)",1.058804,0.000999,8,False
"(0.2, 0.0, 0.0)",0.896264,0.000999,60,False
"(0.2, 0.0, -0.25)",1.127884,0.000999,5,False
"(0.2, 0.0, -0.5)",1.249505,0.000999,6,False
"(0.2, 0.0, -1.0)",1.192186,0.000999,11,False
"(0.2, 0.1, 0.0)",0.751656,0.012987,89,False
"(0.2, 0.1, -0.25)",1.005186,0.000999,6,False
"(0.2, 0.1, -0.5)",1.155833,0.000999,5,False
"(0.2, 0.1, -1.0)",1.100232,0.000999,6,False
"(0.3, 0.0, 0.0)",0.628885,0.035964,68,False
"(0.3, 0.0, -0.25)",0.829654,0.001998,11,False
"(0.3, 0.0, -0.5)",0.949503,0.001998,7,False
"(0.3, 0.0, -1.0)",1.020693,0.000999,12,False
"(0.3, 0.1, 0.0)",0.683447,0.023976,130,False
"(0.3, 0.1, -0.25)",0.917296,0.001998,10,False
"(0.3, 0.1, -0.5)",1.059998,0.000999,19,False
"(0.3, 0.1, -1.0)",1.020028,0.000999,15,False
