kind,left,right,pearson,spearman,n_obs
level_vs_breadth,D1,breadth_pct_above_ma20,0.11605,0.113447,2127
level_vs_breadth,D1,breadth_pct_above_ma60,0.121656,0.093633,2127
level_vs_breadth,D1,breadth_hi_lo_diff20,0.081728,0.091896,2127
level_vs_breadth,D1,breadth_hi_lo_diff60,0.080983,0.071849,2127
level_vs_production,D1,equal_weight_factor,-0.120202,-0.121027,2127
level_vs_abs_production,D1,abs_equal_weight_factor,0.044786,0.0783,2127
level_vs_breadth,D2,breadth_pct_above_ma20,-0.071403,-0.076889,2127
level_vs_breadth,D2,breadth_pct_above_ma60,-0.043294,-0.073273,2127
level_vs_breadth,D2,breadth_hi_lo_diff20,-0.026052,-0.019838,2127
level_vs_breadth,D2,breadth_hi_lo_diff60,-0.024719,-0.018014,2127
level_vs_production,D2,equal_weight_factor,-0.05038,-0.044924,2127
level_vs_abs_production,D2,abs_equal_weight_factor,-0.541719,-0.574183,2127
level_vs_breadth,D3,breadth_pct_above_ma20,0.049461,0.059666,2127
level_vs_breadth,D3,breadth_pct_above_ma60,0.049899,0.072552,2127
level_vs_breadth,D3,breadth_hi_lo_diff20,0.01828,0.014759,2127
level_vs_breadth,D3,breadth_hi_lo_diff60,0.026578,0.026964,2127
level_vs_production,D3,equal_weight_factor,0.011463,0.017238,2127
level_vs_abs_production,D3,abs_equal_weight_factor,0.623363,0.641994,2127
winner_signal_vs_breadth_signal,signal_D1_lb5zw250,signal_breadth_pct_above_ma20_lb5zw250,0.140674,0.131767,2127
winner_signal_vs_breadth_signal,signal_D1_lb5zw250,signal_breadth_pct_above_ma60_lb5zw250,0.144826,0.129402,2127
winner_signal_vs_breadth_signal,signal_D1_lb5zw250,signal_breadth_hi_lo_diff20_lb5zw250,0.103147,0.104787,2127
winner_signal_vs_breadth_signal,signal_D1_lb5zw250,signal_breadth_hi_lo_diff60_lb5zw250,0.09618,0.09862,2127
winner_signal_vs_production,signal_D1_lb5zw250,equal_weight_factor,-0.139424,-0.137252,2127
