family,lb,zw,k,kou_jing,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026
D1,5,60,5,500,-0.08658,424,-0.059586,279,-0.153673,144,-0.170476,125,-0.114311,550
D1,5,60,5,1000,-0.114766,424,-0.078873,279,-0.175782,144,-0.18306,125,-0.139832,550
D1,5,60,5,blend,-0.101237,424,-0.070559,279,-0.166261,144,-0.18059,125,-0.128735,550
D1,5,60,10,500,-0.098079,211,-0.08487,139,-0.135312,71,-0.244441,62,-0.139135,274
D1,5,60,10,1000,-0.137764,211,-0.114992,139,-0.184708,71,-0.2249,62,-0.1731,274
D1,5,60,10,blend,-0.120944,211,-0.100813,139,-0.162341,71,-0.251542,62,-0.161911,274
D1,5,60,20,500,-0.102229,105,-0.100183,69,-0.139496,35,-0.027809,30,-0.188426,136
D1,5,60,20,1000,-0.144008,105,-0.093679,69,-0.258824,35,-0.139043,30,-0.230962,136
D1,5,60,20,blend,-0.138887,105,-0.106869,69,-0.252661,35,-0.059844,30,-0.222804,136
D1,5,60,40,500,0.042773,52,0.011765,34,0.039216,17,0.094505,14,-0.042701,67
D1,5,60,40,1000,-0.078204,52,-0.070741,34,-0.105392,17,-0.116484,14,-0.153524,67
D1,5,60,40,blend,-0.028601,52,-0.037433,34,-0.02451,17,0.006593,14,-0.104996,67
D1,5,250,5,500,-0.081713,424,-0.076289,279,-0.114372,144,-0.148381,125,-0.106957,550
D1,5,250,5,1000,-0.103992,424,-0.095781,279,-0.116092,144,-0.160252,125,-0.126891,550
D1,5,250,5,blend,-0.092484,424,-0.087453,279,-0.114649,144,-0.159994,125,-0.117774,550
D1,5,250,10,500,-0.114526,211,-0.115805,139,-0.116499,71,-0.170557,62,-0.146874,274
D1,5,250,10,1000,-0.140689,211,-0.144113,139,-0.136016,71,-0.185465,62,-0.169074,274
D1,5,250,10,blend,-0.130891,211,-0.130171,139,-0.129276,71,-0.198358,62,-0.162188,274
D1,5,250,20,500,-0.131101,105,-0.154183,69,-0.066106,35,0.062069,30,-0.203726,136
D1,5,250,20,1000,-0.166193,105,-0.136719,69,-0.192437,35,-0.036263,30,-0.237746,136
D1,5,250,20,blend,-0.162264,105,-0.157033,69,-0.162185,35,0.040267,30,-0.23256,136
D1,5,250,40,500,0.040639,52,0.010848,34,0.041667,17,0.125275,14,-0.017639,67
D1,5,250,40,1000,-0.089132,52,-0.084798,34,-0.063725,17,-0.032967,14,-0.128302,67
D1,5,250,40,blend,-0.02954,52,-0.0411,34,0.002451,17,0.046154,14,-0.074148,67
D1,20,60,5,500,-0.095195,424,-0.090115,279,-0.117824,144,-0.098452,125,-0.096264,550
D1,20,60,5,1000,-0.123455,424,-0.102674,279,-0.173302,144,-0.101032,125,-0.126534,550
D1,20,60,5,blend,-0.110801,424,-0.098662,279,-0.147223,144,-0.10153,125,-0.113529,550
D1,20,60,10,500,-0.078891,211,-0.048009,139,-0.173139,71,-0.139583,62,-0.104298,274
D1,20,60,10,1000,-0.12397,211,-0.078243,139,-0.238364,71,-0.187228,62,-0.151759,274
D1,20,60,10,blend,-0.100133,211,-0.057706,139,-0.208015,71,-0.175443,62,-0.129642,274
D1,20,60,20,500,-0.034253,105,-0.014943,69,-0.128011,35,-0.05228,30,-0.086475,136
D1,20,60,20,1000,-0.034439,105,0.009682,69,-0.163585,35,-0.173304,30,-0.097534,136
D1,20,60,20,blend,-0.047108,105,-0.012094,69,-0.193277,35,-0.08743,30,-0.103616,136
D1,20,60,40,500,0.036028,52,0.006875,34,0.245098,17,-0.151648,14,0.001237,67
D1,20,60,40,1000,-0.067703,52,-0.090298,34,0.112745,17,-0.323077,14,-0.088315,67
D1,20,60,40,blend,-0.029967,52,-0.052712,34,0.191176,17,-0.195604,14,-0.053276,67
D1,20,250,5,500,-0.090956,424,-0.091346,279,-0.106454,144,-0.083084,125,-0.088488,550
D1,20,250,5,1000,-0.111184,424,-0.101408,279,-0.138928,144,-0.06867,125,-0.108115,550
D1,20,250,5,blend,-0.10217,424,-0.098883,279,-0.12253,144,-0.079244,125,-0.09977,550
D1,20,250,10,500,-0.073069,211,-0.047241,139,-0.15446,71,-0.093098,62,-0.090592,274
D1,20,250,10,1000,-0.103099,211,-0.073475,139,-0.183669,71,-0.140137,62,-0.121679,274
D1,20,250,10,blend,-0.085552,211,-0.055262,139,-0.171227,71,-0.127547,62,-0.104348,274
D1,20,250,20,500,-0.031412,105,-0.013592,69,-0.101961,35,0.006452,30,-0.06472,136
D1,20,250,20,1000,-0.01555,105,0.01867,69,-0.069188,35,-0.086541,30,-0.058986,136
D1,20,250,20,blend,-0.02825,105,-0.006028,69,-0.093838,35,-0.010456,30,-0.068356,136
D1,20,250,40,500,0.02049,52,-0.01971,34,0.169118,17,-0.12967,14,0.034719,67
D1,20,250,40,1000,-0.055579,52,-0.113827,34,0.186275,17,-0.186813,14,-0.025022,67
D1,20,250,40,blend,-0.019722,52,-0.074714,34,0.183824,17,-0.156044,14,0.003552,67
D2,5,60,5,500,0.06325,424,0.077119,279,0.032815,144,-0.17208,125,0.00658,550
D2,5,60,5,1000,0.06065,424,0.070726,279,0.052122,144,-0.201591,125,-0.000692,550
D2,5,60,5,blend,0.061435,424,0.073706,279,0.043425,144,-0.183078,125,0.002382,550
D2,5,60,10,500,0.069409,211,0.073958,139,0.081154,71,-0.136713,62,0.016664,274
D2,5,60,10,1000,0.062801,211,0.043644,139,0.115627,71,-0.116819,62,-0.007958,274
D2,5,60,10,blend,0.068171,211,0.063676,139,0.11167,71,-0.134295,62,0.002864,274
D2,5,60,20,500,0.17939,105,0.284216,69,-0.045938,35,-0.109677,30,0.14026,136
D2,5,60,20,1000,0.137093,105,0.212532,69,0.048459,35,-0.157286,30,0.106899,136
D2,5,60,20,blend,0.155443,105,0.251699,69,0.041737,35,-0.137264,30,0.124126,136
D2,5,60,40,500,0.10117,52,0.10466,34,0.080882,17,-0.221978,14,0.126227,67
D2,5,60,40,1000,0.105268,52,0.107716,34,0.22549,17,-0.076923,14,0.152606,67
D2,5,60,40,blend,0.106378,52,0.113827,34,0.137255,17,-0.156044,14,0.139556,67
D2,5,250,5,500,0.057613,424,0.087776,279,-0.019508,144,-0.099656,125,0.012027,550
D2,5,250,5,1000,0.054978,424,0.085682,279,-0.016984,144,-0.128154,125,0.001832,550
D2,5,250,5,blend,0.055748,424,0.086964,279,-0.017587,144,-0.109174,125,0.006079,550
D2,5,250,10,500,0.038952,211,0.06612,139,-0.004561,71,-0.013825,62,0.004898,274
D2,5,250,10,1000,0.030499,211,0.049908,139,0.011871,71,-0.025056,62,-0.016972,274
D2,5,250,10,blend,0.038326,211,0.063957,139,0.021999,71,-0.035985,62,-0.006438,274
D2,5,250,20,500,0.141717,105,0.262185,69,-0.169468,35,0.042937,30,0.142145,136
D2,5,250,20,1000,0.10282,105,0.204275,69,-0.119608,35,-0.014461,30,0.105439,136
D2,5,250,20,blend,0.117956,105,0.239094,69,-0.127171,35,0.014461,30,0.121941,136
D2,5,250,40,500,0.004013,52,0.020932,34,-0.107843,17,-0.010989,14,0.0777,67
D2,5,250,40,1000,0.005379,52,0.0411,34,0.0,17,0.094505,14,0.096017,67
D2,5,250,40,blend,0.000939,52,0.028571,34,-0.078431,17,0.054945,14,0.083247,67
D2,20,60,5,500,0.044866,424,0.078016,279,-0.016759,144,-0.040055,125,0.045317,550
D2,20,60,5,1000,0.05248,424,0.068137,279,0.016325,144,-0.050206,125,0.042638,550
D2,20,60,5,blend,0.048306,424,0.072857,279,0.001194,144,-0.040074,125,0.043579,550
D2,20,60,10,500,0.010793,211,0.048188,139,-0.058249,71,0.02284,62,0.01892,274
D2,20,60,10,1000,0.026105,211,0.029858,139,-0.005701,71,0.055174,62,0.01978,274
D2,20,60,10,blend,0.016419,211,0.036078,139,-0.019416,71,0.019466,62,0.017057,274
D2,20,60,20,500,0.00225,105,0.083449,69,-0.10056,35,0.021135,30,0.041644,136
D2,20,60,20,1000,0.017458,105,0.068104,69,-0.058263,35,0.011346,30,0.051214,136
D2,20,60,20,blend,0.015872,105,0.071392,69,-0.035294,35,0.014461,30,0.0514,136
D2,20,60,40,500,0.013233,52,0.143163,34,-0.404412,17,0.217582,14,0.082648,67
D2,20,60,40,1000,0.057714,52,0.199389,34,-0.340686,17,0.327473,14,0.120241,67
D2,20,60,40,blend,0.029454,52,0.159358,34,-0.367647,17,0.30989,14,0.101724,67
D2,20,250,5,500,0.003504,424,0.041438,279,-0.093618,144,0.024442,125,0.016934,550
D2,20,250,5,1000,0.013831,424,0.047823,279,-0.082743,144,0.017481,125,0.016732,550
D2,20,250,5,blend,0.008449,424,0.045389,279,-0.088614,144,0.025309,125,0.016251,550
D2,20,250,10,500,-0.037171,211,0.00647,139,-0.175352,71,0.10443,62,-0.006209,274
D2,20,250,10,1000,-0.020052,211,0.016471,139,-0.144131,71,0.083478,62,-9.1e-05,274
D2,20,250,10,blend,-0.02734,211,0.01131,139,-0.143997,71,0.070585,62,-0.002634,274
D2,20,250,20,500,-0.032024,105,0.050164,69,-0.246779,35,0.148832,30,0.037598,136
D2,20,250,20,1000,-0.032988,105,0.04019,69,-0.242017,35,0.128365,30,0.023343,136
D2,20,250,20,blend,-0.031713,105,0.045707,69,-0.239216,35,0.140823,30,0.029121,136
D2,20,250,40,500,-0.056006,52,0.073491,34,-0.419118,17,0.384615,14,0.038391,67
D2,20,250,40,1000,-0.039785,52,0.120856,34,-0.370098,17,0.38022,14,0.036795,67
