variant,observed,p_naive_per_variant_UNCORRECTED,null_winner_count,is_observed_winner,machine
"('D1', 5, 60, 5)",0.101237,0.052947,0,False,abs_nonoverlap_ic
"('D1', 5, 60, 10)",0.120944,0.100899,5,False,abs_nonoverlap_ic
"('D1', 5, 60, 20)",0.138887,0.20979,15,False,abs_nonoverlap_ic
"('D1', 5, 60, 40)",0.028601,0.861139,100,False,abs_nonoverlap_ic
"('D1', 5, 250, 5)",0.092484,0.071928,0,False,abs_nonoverlap_ic
"('D1', 5, 250, 10)",0.130891,0.081918,0,False,abs_nonoverlap_ic
"('D1', 5, 250, 20)",0.162264,0.11988,31,True,abs_nonoverlap_ic
"('D1', 5, 250, 40)",0.02954,0.864136,93,False,abs_nonoverlap_ic
"('D1', 20, 60, 5)",0.110801,0.023976,0,False,abs_nonoverlap_ic
"('D1', 20, 60, 10)",0.100133,0.152847,0,False,abs_nonoverlap_ic
"('D1', 20, 60, 20)",0.047108,0.677323,12,False,abs_nonoverlap_ic
"('D1', 20, 60, 40)",0.029967,0.868132,94,False,abs_nonoverlap_ic
"('D1', 20, 250, 5)",0.10217,0.031968,0,False,abs_nonoverlap_ic
"('D1', 20, 250, 10)",0.085552,0.210789,0,False,abs_nonoverlap_ic
"('D1', 20, 250, 20)",0.02825,0.791209,16,False,abs_nonoverlap_ic
"('D1', 20, 250, 40)",0.019722,0.923077,85,False,abs_nonoverlap_ic
"('D2', 5, 60, 5)",0.061435,0.172827,0,False,abs_nonoverlap_ic
"('D2', 5, 60, 10)",0.068171,0.338661,3,False,abs_nonoverlap_ic
"('D2', 5, 60, 20)",0.155443,0.127872,11,False,abs_nonoverlap_ic
"('D2', 5, 60, 40)",0.106378,0.458541,42,False,abs_nonoverlap_ic
"('D2', 5, 250, 5)",0.055748,0.243756,0,False,abs_nonoverlap_ic
"('D2', 5, 250, 10)",0.038326,0.569431,2,False,abs_nonoverlap_ic
"('D2', 5, 250, 20)",0.117956,0.231768,3,False,abs_nonoverlap_ic
"('D2', 5, 250, 40)",0.000939,0.995005,31,False,abs_nonoverlap_ic
"('D2', 20, 60, 5)",0.048306,0.305694,0,False,abs_nonoverlap_ic
"('D2', 20, 60, 10)",0.016419,0.832168,0,False,abs_nonoverlap_ic
"('D2', 20, 60, 20)",0.015872,0.893107,21,False,abs_nonoverlap_ic
"('D2', 20, 60, 40)",0.029454,0.874126,70,False,abs_nonoverlap_ic
"('D2', 20, 250, 5)",0.008449,0.874126,0,False,abs_nonoverlap_ic
"('D2', 20, 250, 10)",0.02734,0.691309,1,False,abs_nonoverlap_ic
"('D2', 20, 250, 20)",0.031713,0.803197,4,False,abs_nonoverlap_ic
"('D2', 20, 250, 40)",0.063861,0.641359,52,False,abs_nonoverlap_ic
"('D3', 5, 60, 5)",0.041647,0.393606,0,False,abs_nonoverlap_ic
