window,factor,kou_jing,k,offset,ic,n_obs,t_stat,p_value,row,challenger,reference,diff_ic,ci_lo,ci_hi,boot_mean,boot_sd,n_boot,seed,ci_excludes_zero
full,incumbent_ew,blend,20,0,0.21453719068500174,153,2.699124023868931,0.007744811276666464,level,,,,,,,,,,
full,slope20,blend,20,0,0.19225768857562675,153,2.407413591182925,0.01727279028462958,level,,,,,,,,,,
full,fused_ew_slope20,blend,20,0,0.217522597873937,153,2.738535894501277,0.006913949220649408,level,,,,,,,,,,
2014-2020,incumbent_ew,blend,20,0,0.20074626513863209,86,1.8781019241853283,0.06383689715359067,level,,,,,,,,,,
2014-2020,slope20,blend,20,0,0.20830070465861533,86,1.9519232565349702,0.05427910357000437,level,,,,,,,,,,
2014-2020,fused_ew_slope20,blend,20,0,0.22874771804451896,86,2.1536088150050583,0.03413673775782235,level,,,,,,,,,,
2021-2023,incumbent_ew,blend,20,0,0.35751541014698907,37,2.264774916870014,0.029824719227889436,level,,,,,,,,,,
2021-2023,slope20,blend,20,0,0.37695590327169276,37,2.4077154645545287,0.02145931884853973,level,,,,,,,,,,
2021-2023,fused_ew_slope20,blend,20,0,0.3869132290184921,37,2.4823441027848756,0.017996541048263884,level,,,,,,,,,,
2024-2026,incumbent_ew,blend,20,0,0.2185483870967742,31,1.2060745939931605,0.23753664996125678,level,,,,,,,,,,
2024-2026,slope20,blend,20,0,0.08064516129032259,31,0.43570663561919454,0.666275668855815,level,,,,,,,,,,
2024-2026,fused_ew_slope20,blend,20,0,0.1810483870967742,31,0.9913584036391805,0.3297107020287146,level,,,,,,,,,,
full,,blend,20,0,,153,,0.9081091890810918,diff,fused_ew_slope20,incumbent_ew,0.002985407188935252,-0.04702326446256633,0.05327908500544678,0.0033172277792879444,0.025416610501650956,10000.0,0.0,False
full,,blend,20,0,,153,,0.6702329767023297,diff,slope20,incumbent_ew,-0.022279502109374988,-0.12436135038179508,0.0828377937144328,-0.021418365270892917,0.052570301326726854,10000.0,0.0,False
2014-2020,,blend,20,0,,86,,0.43625637436256376,diff,fused_ew_slope20,incumbent_ew,0.028001452905886876,-0.04066693924088549,0.10129149010234811,0.027738772544629444,0.03638163908139258,10000.0,0.0,False
2014-2020,,blend,20,0,,86,,0.9156084391560844,diff,slope20,incumbent_ew,0.007554439519983247,-0.1293754895706044,0.14552098013775422,0.0072311417009298835,0.07093345468089209,10000.0,0.0,False
2021-2023,,blend,20,0,,37,,0.48725127487251274,diff,fused_ew_slope20,incumbent_ew,0.029397818871503056,-0.05827107348623688,0.1246753016597499,0.028646762364077746,0.04534074391297423,10000.0,0.0,False
2021-2023,,blend,20,0,,37,,0.8065193480651934,diff,slope20,incumbent_ew,0.019440493124703695,-0.1356674488925872,0.1897365968362475,0.017446834216153777,0.08243940452520063,10000.0,0.0,False
2024-2026,,blend,20,0,,31,,0.3501649835016498,diff,fused_ew_slope20,incumbent_ew,-0.037500000000000006,-0.13794707770134187,0.03655862508664711,-0.03799935363704826,0.04348736468612157,10000.0,0.0,False
2024-2026,,blend,20,0,,31,,0.18988101189881013,diff,slope20,incumbent_ew,-0.13790322580645162,-0.36665808448076914,0.06286789130158457,-0.13726172708882833,0.108157995455044,10000.0,0.0,False
