kou_jing,window,mapping,challenger,reference,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,n_obs,ci_excludes_zero
500,full,longflat,fused_ew_slope20,incumbent_ew,-0.15394762847755095,-0.3628290681289777,0.044325579603187205,0.1371862813718628,-0.15631643106982482,0.10297068691530731,20,10000,0,3065,False
500,full,longflat,slope20,incumbent_ew,-0.03234539721603458,-0.3775956495588826,0.3158924421685229,0.8505149485051495,-0.035202227819251905,0.17885817023614428,20,10000,0,3065,False
500,2014-2020,longflat,fused_ew_slope20,incumbent_ew,-0.13285059537044397,-0.4357572919680241,0.15506920481009054,0.37396260373962603,-0.13955154691675342,0.15002864068048072,20,10000,0,1707,False
500,2014-2020,longflat,slope20,incumbent_ew,-0.0522403765556223,-0.5880732689220087,0.4567509619796614,0.8451154884511549,-0.06499309777165392,0.2659013525845274,20,10000,0,1707,False
500,2021-2023,longflat,fused_ew_slope20,incumbent_ew,-0.15094275820646175,-0.6577366931725751,0.2858422340021897,0.5090490950904909,-0.15685412360135792,0.23816610239291772,20,10000,0,727,False
500,2021-2023,longflat,slope20,incumbent_ew,0.47617415260152074,-0.1879659888369161,1.1635001982297237,0.1787821217878212,0.46995621318111624,0.3491550123649987,20,10000,0,727,False
500,2024-2026,longflat,fused_ew_slope20,incumbent_ew,-0.22635212701997132,-0.5816373370455464,0.019070155517163265,0.12208779122087791,-0.2440403159099201,0.15063765687291886,20,10000,0,631,False
500,2024-2026,longflat,slope20,incumbent_ew,-0.35872720413299475,-0.8137794007217207,0.08732116853671135,0.11398860113988601,-0.33227682419943005,0.22766928970859185,20,10000,0,631,False
1000,full,longflat,fused_ew_slope20,incumbent_ew,-0.1950237769944989,-0.41496275829033,0.01377270075135752,0.0736926307369263,-0.19749062657173386,0.10808650524648258,20,10000,0,3065,False
1000,full,longflat,slope20,incumbent_ew,-0.09490240605846245,-0.4630023715606577,0.26061462444017613,0.6023397660233977,-0.09817405124979804,0.1856395399661531,20,10000,0,3065,False
1000,2014-2020,longflat,fused_ew_slope20,incumbent_ew,-0.17849282466894212,-0.48755795121089857,0.11817008475251134,0.24017598240175983,-0.18495507264006428,0.15337811225340708,20,10000,0,1707,False
1000,2014-2020,longflat,slope20,incumbent_ew,-0.09244449179594039,-0.6453293749023551,0.42692262289390315,0.7330266973302669,-0.10659263542467881,0.2742795102844025,20,10000,0,1707,False
1000,2021-2023,longflat,fused_ew_slope20,incumbent_ew,-0.186953140051757,-0.7084639481661049,0.278924013971543,0.44465553444655537,-0.19359768456529347,0.2490335612528903,20,10000,0,727,False
1000,2021-2023,longflat,slope20,incumbent_ew,0.3172994854295712,-0.3692174060158553,1.0236201822426005,0.36546345365463456,0.3106015816800857,0.3554645288507838,20,10000,0,727,False
1000,2024-2026,longflat,fused_ew_slope20,incumbent_ew,-0.24891778719083568,-0.6781529747047949,0.06224636865527482,0.17248275172482752,-0.2687015994013088,0.1885904180613862,20,10000,0,631,False
1000,2024-2026,longflat,slope20,incumbent_ew,-0.41468763196590297,-0.9913678859508821,0.1541271618463499,0.15678432156784322,-0.3849687658049517,0.2921958668150912,20,10000,0,631,False
blend,full,longflat,fused_ew_slope20,incumbent_ew,-0.1751723618975538,-0.39055291483513654,0.029282431477055032,0.0988901109889011,-0.17762679755091154,0.10546656815091875,20,10000,0,3065,False
blend,full,longflat,slope20,incumbent_ew,-0.06381766233280461,-0.4168551409535307,0.28551834293107786,0.7167283271672833,-0.06686846779619292,0.18163315038868433,20,10000,0,3065,False
blend,2014-2020,longflat,fused_ew_slope20,incumbent_ew,-0.15482772322848426,-0.46155700986950327,0.1385151861483448,0.30656934306569344,-0.1615377057527622,0.15212114869007157,20,10000,0,1707,False
blend,2014-2020,longflat,slope20,incumbent_ew,-0.0705147405263038,-0.6153632126068472,0.44256381522999766,0.7976202379762024,-0.0840440995066192,0.2698429059594304,20,10000,0,1707,False
blend,2021-2023,longflat,fused_ew_slope20,incumbent_ew,-0.1728914870877879,-0.6912609022173525,0.2782277184974798,0.46895310468953105,-0.17921824736210878,0.24394249547786112,20,10000,0,727,False
blend,2021-2023,longflat,slope20,incumbent_ew,0.3965844970756809,-0.2750367441777653,1.0922812975771319,0.2646735326467353,0.38986820844012315,0.35070324816636056,20,10000,0,727,False
blend,2024-2026,longflat,fused_ew_slope20,incumbent_ew,-0.238083712311568,-0.6263698040427791,0.04026422359679726,0.14588541145885411,-0.25707133304360114,0.16838119235509982,20,10000,0,631,False
blend,2024-2026,longflat,slope20,incumbent_ew,-0.3879890703814579,-0.9026137785161163,0.11954872159264263,0.13308669133086692,-0.35963973089261164,0.2593895905654321,20,10000,0,631,False
