gate,window,metric,incumbent,fused,delta,threshold,pass,value
0_rank_ic,2014-2020,rank_ic,0.20074626513863209,0.22874771804451896,0.028001452905886876,0.0,True,
0_rank_ic,2021-2023,rank_ic,0.35751541014698907,0.3869132290184921,0.029397818871503056,0.0,True,
0_rank_ic,train+val,verdict,,,,,False,
1_sharpe_not_worse,2014-2020,sharpe,1.7053473108535933,1.550519587625109,-0.15482772322848426,0.0,False,
1_sharpe_not_worse,2021-2023,sharpe,1.000930606530241,0.8280391194424531,-0.1728914870877879,0.0,False,
2_worst_tv_lift,train+val,worst_sharpe,1.000930606530241,0.8280391194424531,-0.1728914870877879,0.1,False,
3_turnover_not_up,2014-2020,turnover,11.338605741066198,9.903339191564148,-1.4352665495020496,0.0,True,
3_turnover_not_up,2021-2023,turnover,8.42503438789546,9.773039889958733,1.3480055020632733,0.0,False,
3_turnover_not_up,full,turnover,10.551386623164763,9.752039151712887,-0.7993474714518758,0.0,True,
OVERALL,blend/lf,verdict,,,,,False,
META,-,corr_slope20_vs_incumbent,,,,,,0.8190495323437496
META,-,corr_fused_vs_incumbent,,,,,,0.9582593003659079
META,-,max_abs_diff_incumbent_vs_production_csv,,,,,,4.9966071478557694e-05
META,-,sample_start_yyyymmdd,,,,,,20140102.0
META,-,sample_end_yyyymmdd,,,,,,20260811.0
META,-,n_days_sample,,,,,,3065.0
META,-,cost_bps,,,,,,3.0
META,-,k_forward_days,,,,,,20.0
META,-,nonoverlap_offset,,,,,,0.0
META,-,n_boot,,,,,,10000.0
META,-,sharpe_bootstrap_block,,,,,,20.0
META,-,seed,,,,,,0.0
META,-,divergence_n_days_total,,,,,,3065.0
META,-,divergence_n_days_divergent,,,,,,568.0
META,-,divergence_divergent_share,,,,,,0.18531810766721044
META,-,divergence_available_return,,,,,,0.7292824636383799
META,-,divergence_capture_incumbent,,,,,,0.3832081901264931
META,-,divergence_capture_slope20,,,,,,0.34607427351188685
META,-,divergence_capture_fused,,,,,,0.0832378674899576
META,-,divergence_capture_ratio_fused,,,,,,0.11413666396787474
META,-,divergence_random_expectation,,,,,,0.36464123181918995
META,-,divergence_random_p_two_sided,,,,,,0.109
META,-,divergence_random_p_left,,,,,,0.0545
META,-,divergence_random_ci_lo,,,,,,0.023710516215012658
META,-,divergence_random_ci_hi,,,,,,0.7155918753571049
META,-,divergence_follows_incumbent_days,,,,,,328.0
META,-,divergence_follows_slope20_days,,,,,,240.0
META,-,divergence_follows_equals_larger_abs,,,,,,1.0
META,-,divergence_correct_choice_days,,,,,,260.0
META,-,divergence_n_decided,,,,,,568.0
META,-,divergence_correct_choice_rate,,,,,,0.45774647887323944
META,-,divergence_correct_binomial_p,,,,,,0.04850539913684232
META,-,divergence_median_abs_incumbent_divergent,,,,,,0.17579243104571463
META,-,divergence_median_abs_slope20_divergent,,,,,,0.12697770009115356
META,-,divergence_median_abs_incumbent_all,,,,,,0.36978963523194863
META,-,divergence_median_abs_slope20_all,,,,,,0.29330956455481993
META,-,divergence_n_boot,,,,,,10000.0
META,-,divergence_seed,,,,,,0.0
