metric,value
n_days_dividend_leg,3065
first_date,2014-01-02
last_date,2026-08-11
corr_vs_incumbent_aggregate,-0.05309257556698537
corr_vs_pair_300,-0.027444358422340127
corr_vs_pair_500,-0.024274810420675617
corr_vs_pair_1000,-0.09794746501100088
corr_vs_pair_2000,-0.03700751830951626
max_abs_corr_vs_incumbent_family,0.09794746501100088
threshold,0.9
same_source_verdict,False
daily_return_corr_between_two_legs,0.9982676097686517
level_ratio_first,1.2602135579945934
level_ratio_last,2.175228123191658
implied_annual_drift_of_ratio,0.0442555164697489
relative_return_mean_daily,0.0001778453631315108
relative_return_annualized,0.04357211396722015
relative_return_std_daily,0.0007613783620121509
relative_return_share_negative_days,0.375
relative_return_share_abs_gt_50bp,0.0019582245430809398
