window,pair_set,k,offset,is_gated,ic,n_obs,t_stat,p_value,row,challenger,reference,alpha,bonferroni_m,diff_ic,ci_lo,ci_hi,boot_mean,boot_sd,n_boot,seed,ci_excludes_zero
selection_2014_2023,A_four_pairs_incumbent,20,0,True,0.198156,122,2.214602,0.028676,level,,,,,,,,,,,,
selection_2014_2023,B_500_1000_2000,20,0,True,0.216905,122,2.434027,0.016405,level,,,,,,,,,,,,
selection_2014_2023,C_1000_only,20,0,True,0.172665,122,1.920293,0.057194,level,,,,,,,,,,,,
selection_2014_2023,D_four_plus_dividend,20,0,True,0.130223,122,1.438767,0.15282,level,,,,,,,,,,,,
selection_2014_2023,D_rev_dividend_reversed,20,0,False,0.240572,122,2.715072,0.007604,level,,,,,,,,,,,,
train_2014_2020,A_four_pairs_incumbent,20,0,True,0.200746,86,1.878102,0.063837,level,,,,,,,,,,,,
train_2014_2020,B_500_1000_2000,20,0,True,0.22788,86,2.144989,0.034842,level,,,,,,,,,,,,
train_2014_2020,C_1000_only,20,0,True,0.177405,86,1.652154,0.102237,level,,,,,,,,,,,,
train_2014_2020,D_four_plus_dividend,20,0,True,0.15397,86,1.428191,0.156944,level,,,,,,,,,,,,
train_2014_2020,D_rev_dividend_reversed,20,0,False,0.219125,86,2.058334,0.042657,level,,,,,,,,,,,,
val_2021_2023,A_four_pairs_incumbent,20,0,True,0.357515,37,2.264775,0.029825,level,,,,,,,,,,,,
val_2021_2023,B_500_1000_2000,20,0,True,0.363442,37,2.307982,0.02703,level,,,,,,,,,,,,
val_2021_2023,C_1000_only,20,0,True,0.345187,37,2.1759,0.036401,level,,,,,,,,,,,,
val_2021_2023,D_four_plus_dividend,20,0,True,0.256994,37,1.573236,0.124661,level,,,,,,,,,,,,
val_2021_2023,D_rev_dividend_reversed,20,0,False,0.454955,37,3.022466,0.004667,level,,,,,,,,,,,,
holdout_2024_2026,A_four_pairs_incumbent,20,0,True,0.218548,31,1.206075,0.237537,level,,,,,,,,,,,,
holdout_2024_2026,B_500_1000_2000,20,0,True,0.218548,31,1.206075,0.237537,level,,,,,,,,,,,,
holdout_2024_2026,C_1000_only,20,0,True,0.259274,31,1.445671,0.158991,level,,,,,,,,,,,,
holdout_2024_2026,D_four_plus_dividend,20,0,True,0.308871,31,1.748832,0.090899,level,,,,,,,,,,,,
holdout_2024_2026,D_rev_dividend_reversed,20,0,False,0.160484,31,0.875581,0.388453,level,,,,,,,,,,,,
full_2014_2026,A_four_pairs_incumbent,20,0,True,0.214537,153,2.699124,0.007745,level,,,,,,,,,,,,
full_2014_2026,B_500_1000_2000,20,0,True,0.235502,153,2.977647,0.003385,level,,,,,,,,,,,,
full_2014_2026,C_1000_only,20,0,True,0.201326,153,2.525646,0.01258,level,,,,,,,,,,,,
full_2014_2026,D_four_plus_dividend,20,0,True,0.185514,153,2.319905,0.021686,level,,,,,,,,,,,,
full_2014_2026,D_rev_dividend_reversed,20,0,False,0.232915,153,2.943055,0.003763,level,,,,,,,,,,,,
selection_2014_2023,,20,0,True,,122,,0.336966,diff,B_500_1000_2000,A_four_pairs_incumbent,0.016667,3.0,0.01875,-0.026932,0.06529,0.018567,0.019515,10000.0,0.0,False
selection_2014_2023,,20,0,True,,122,,0.531447,diff,C_1000_only,A_four_pairs_incumbent,0.016667,3.0,-0.025491,-0.124506,0.072672,-0.024825,0.040589,10000.0,0.0,False
selection_2014_2023,,20,0,True,,122,,0.019998,diff,D_four_plus_dividend,A_four_pairs_incumbent,0.016667,3.0,-0.067933,-0.137934,0.001834,-0.067256,0.028789,10000.0,0.0,False
selection_2014_2023,,20,0,False,,122,,0.126187,diff,D_rev_dividend_reversed,A_four_pairs_incumbent,0.016667,3.0,0.042416,-0.02411,0.110392,0.041989,0.027693,10000.0,0.0,False
train_2014_2020,,20,0,True,,86,,0.30277,diff,B_500_1000_2000,A_four_pairs_incumbent,0.016667,3.0,0.027133,-0.034664,0.092197,0.02729,0.026413,10000.0,0.0,False
train_2014_2020,,20,0,True,,86,,0.661234,diff,C_1000_only,A_four_pairs_incumbent,0.016667,3.0,-0.023341,-0.157895,0.108962,-0.023815,0.054425,10000.0,0.0,False
train_2014_2020,,20,0,True,,86,,0.190981,diff,D_four_plus_dividend,A_four_pairs_incumbent,0.016667,3.0,-0.046776,-0.135172,0.034822,-0.04616,0.035683,10000.0,0.0,False
train_2014_2020,,20,0,False,,86,,0.605339,diff,D_rev_dividend_reversed,A_four_pairs_incumbent,0.016667,3.0,0.018378,-0.070078,0.105576,0.017868,0.036092,10000.0,0.0,False
val_2021_2023,,20,0,True,,37,,0.829517,diff,B_500_1000_2000,A_four_pairs_incumbent,0.016667,3.0,0.005927,-0.085756,0.090617,0.0054,0.032591,10000.0,0.0,False
val_2021_2023,,20,0,True,,37,,0.80172,diff,C_1000_only,A_four_pairs_incumbent,0.016667,3.0,-0.012328,-0.144082,0.14691,-0.012664,0.055025,10000.0,0.0,False
val_2021_2023,,20,0,True,,37,,0.065193,diff,D_four_plus_dividend,A_four_pairs_incumbent,0.016667,3.0,-0.100522,-0.24499,0.022983,-0.099016,0.055085,10000.0,0.0,False
val_2021_2023,,20,0,False,,37,,0.074693,diff,D_rev_dividend_reversed,A_four_pairs_incumbent,0.016667,3.0,0.09744,-0.025432,0.250427,0.096319,0.054715,10000.0,0.0,False
holdout_2024_2026,,20,0,True,,31,,1.0,diff,B_500_1000_2000,A_four_pairs_incumbent,0.016667,3.0,0.0,-0.140141,0.107086,-2e-06,0.046661,10000.0,0.0,False
holdout_2024_2026,,20,0,True,,31,,0.379962,diff,C_1000_only,A_four_pairs_incumbent,0.016667,3.0,0.040726,-0.064875,0.184586,0.039672,0.049127,10000.0,0.0,False
holdout_2024_2026,,20,0,True,,31,,0.351365,diff,D_four_plus_dividend,A_four_pairs_incumbent,0.016667,3.0,0.090323,-0.130975,0.360929,0.08548,0.100052,10000.0,0.0,False
holdout_2024_2026,,20,0,False,,31,,0.238276,diff,D_rev_dividend_reversed,A_four_pairs_incumbent,0.016667,3.0,-0.058065,-0.205119,0.060283,-0.05517,0.051925,10000.0,0.0,False
full_2014_2026,,20,0,True,,153,,0.19978,diff,B_500_1000_2000,A_four_pairs_incumbent,0.016667,3.0,0.020965,-0.017037,0.059516,0.020821,0.016221,10000.0,0.0,False
full_2014_2026,,20,0,True,,153,,0.710229,diff,C_1000_only,A_four_pairs_incumbent,0.016667,3.0,-0.013212,-0.099661,0.070908,-0.013147,0.03561,10000.0,0.0,False
full_2014_2026,,20,0,True,,153,,0.255674,diff,D_four_plus_dividend,A_four_pairs_incumbent,0.016667,3.0,-0.029023,-0.090107,0.032639,-0.028455,0.025627,10000.0,0.0,False
full_2014_2026,,20,0,False,,153,,0.465553,diff,D_rev_dividend_reversed,A_four_pairs_incumbent,0.016667,3.0,0.018378,-0.043314,0.079572,0.017767,0.025402,10000.0,0.0,False
