pair_set,mapping,kou_jing,carry_source,n_pairs,is_incumbent,is_gated,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,sharpe_ex_top1_selection_2014_2023,sharpe_ex_top2_selection_2014_2023,ex_top1_year_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,sharpe_ex_top1_train_2014_2020,sharpe_ex_top2_train_2014_2020,ex_top1_year_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,sharpe_ex_top1_val_2021_2023,sharpe_ex_top2_val_2021_2023,ex_top1_year_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,sharpe_ex_top1_holdout_2024_2026,sharpe_ex_top2_holdout_2024_2026,ex_top1_year_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,sharpe_ex_top1_full_2014_2026,sharpe_ex_top2_full_2014_2026,ex_top1_year_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
A_four_pairs_incumbent,longflat,500,500,4,True,True,1.702445,0.258065,-0.13144,1.963364,10.468365,0.561588,0.48562,0.0,1.392517,1.21334,2015,2434,1.939869,0.321438,-0.119815,2.682796,11.338606,0.567023,0.471588,0.0,1.560841,1.331982,2015,1707,0.928439,0.102698,-0.13144,0.781326,8.425034,0.548718,0.518569,0.0,0.690413,0.381148,2021,727,1.856479,0.328352,-0.162926,2.015348,10.871632,0.552553,0.505547,0.0,1.094832,0.750625,2025,631,1.734757,0.272535,-0.166643,1.635438,10.551387,0.559668,0.489723,0.0,1.508393,1.316901,2015,3065,0.928439
A_four_pairs_incumbent,longflat,1000,1000,4,True,True,1.36407,0.224504,-0.173372,1.294931,10.468365,0.553485,0.48562,0.0,1.076038,0.943497,2015,2434,1.465116,0.260674,-0.173372,1.50356,11.338606,0.55516,0.471588,0.0,1.077145,0.8773,2015,1707,1.035772,0.131754,-0.131123,1.004808,8.425034,0.548718,0.518569,0.0,0.953883,0.926672,2022,727,1.838521,0.352946,-0.175256,2.013894,10.871632,0.576577,0.505547,0.0,1.165654,1.908183,2025,631,1.471126,0.250947,-0.175256,1.431891,10.551387,0.558392,0.489723,0.0,1.273556,1.082429,2015,3065,1.035772
A_four_pairs_incumbent,longflat,blend,blend,4,True,True,1.538854,0.241284,-0.134819,1.789693,10.468365,0.555916,0.48562,0.0,1.236474,1.080898,2015,2434,1.705347,0.291056,-0.134819,2.15887,11.338606,0.563464,0.471588,0.0,1.316893,1.1023,2015,1707,1.000931,0.117226,-0.131245,0.893182,8.425034,0.538462,0.518569,0.0,0.975508,0.681589,2022,727,1.85889,0.340649,-0.166667,2.043892,10.871632,0.576577,0.505547,0.0,1.138206,0.838125,2025,631,1.609892,0.261741,-0.166667,1.570444,10.551387,0.560306,0.489723,0.0,1.395684,1.202934,2015,3065,1.000931
A_four_pairs_incumbent,symmetric,500,500,4,True,True,1.191437,0.28849,-0.286696,1.006255,21.037387,0.528404,0.48562,0.498357,1.147724,0.994703,2015,2434,1.228893,0.328181,-0.286696,1.144698,22.820738,0.524295,0.471588,0.505565,1.159963,0.937284,2015,1707,1.113472,0.188729,-0.16177,1.166653,16.850069,0.53719,0.518569,0.481431,0.564111,0.282977,2022,727,1.548656,0.396137,-0.24524,1.615306,21.743265,0.544444,0.505547,0.494453,0.935946,0.574934,2025,631,1.269295,0.310957,-0.286696,1.08462,21.182708,0.531901,0.489723,0.497553,1.248759,1.099896,2015,3065,1.113472
A_four_pairs_incumbent,symmetric,1000,1000,4,True,True,1.486985,0.389471,-0.298576,1.304432,21.037387,0.530075,0.48562,0.498357,1.43947,1.265643,2015,2434,1.540135,0.438113,-0.298576,1.467344,22.820738,0.531494,0.471588,0.505565,1.471158,1.217346,2015,1707,1.345354,0.267438,-0.141744,1.886765,16.850069,0.526171,0.518569,0.481431,0.776154,0.226215,2022,727,1.597804,0.448855,-0.259435,1.730128,21.743265,0.539683,0.505547,0.494453,1.124536,0.807044,2025,631,1.512381,0.402145,-0.298576,1.346879,21.182708,0.532231,0.489723,0.497553,1.477223,1.356672,2015,3065,1.345354
A_four_pairs_incumbent,symmetric,blend,blend,4,True,True,1.356146,0.338981,-0.292555,1.15869,21.037387,0.527151,0.48562,0.498357,1.310217,1.146349,2015,2434,1.399169,0.383147,-0.292555,1.309657,22.820738,0.527295,0.471588,0.505565,1.328366,1.089264,2015,1707,1.256076,0.228084,-0.150351,1.51701,16.850069,0.526171,0.518569,0.481431,0.691245,0.257325,2022,727,1.589646,0.422496,-0.250186,1.688726,21.743265,0.539683,0.505547,0.494453,1.04513,0.706833,2025,631,1.40783,0.356551,-0.292555,1.218748,21.182708,0.529917,0.489723,0.497553,1.379549,1.251427,2015,3065,1.256076
B_500_1000_2000,longflat,500,500,3,False,True,1.371578,0.225631,-0.170056,1.326807,10.870994,0.553772,0.489729,0.0,1.054184,0.921712,2015,2434,1.483025,0.269945,-0.170056,1.587393,11.625659,0.55477,0.474517,0.0,1.062967,0.871656,2015,1707,1.022581,0.115016,-0.13144,0.875043,9.099037,0.550505,0.525447,0.0,0.91644,0.29664,2022,727,2.031246,0.353757,-0.129444,2.732908,10.871632,0.559633,0.496038,0.0,1.278283,0.823684,2025,631,1.513188,0.252009,-0.170056,1.481919,10.871126,0.55499,0.491028,0.0,1.299728,1.089888,2015,3065,1.022581
B_500_1000_2000,longflat,1000,1000,3,False,True,1.021684,0.18079,-0.229125,0.789045,10.870994,0.544944,0.489729,0.0,0.716836,0.622307,2015,2434,0.991156,0.19162,-0.223798,0.85622,11.625659,0.540636,0.474517,0.0,0.546196,0.387864,2015,1707,1.133765,0.147539,-0.131123,1.125192,9.099037,0.55303,0.525447,0.0,0.908289,0.84492,2022,727,1.915482,0.368052,-0.159455,2.308182,10.871632,0.584098,0.496038,0.0,1.169935,0.793336,2025,631,1.217093,0.219342,-0.229125,0.957303,10.871126,0.553083,0.491028,0.0,1.021637,0.799126,2015,3065,0.991156
B_500_1000_2000,longflat,blend,blend,3,False,True,1.199805,0.203211,-0.182872,1.111215,10.870994,0.549759,0.489729,0.0,0.884047,0.777362,2015,2434,1.237812,0.230783,-0.182872,1.261988,11.625659,0.552415,0.474517,0.0,0.798706,0.624016,2015,1707,1.09847,0.131277,-0.131245,1.000246,9.099037,0.542929,0.525447,0.0,0.92867,0.597647,2022,727,1.98411,0.360905,-0.142043,2.540812,10.871632,0.584098,0.496038,0.0,1.229357,0.811899,2025,631,1.369879,0.235676,-0.182872,1.288743,10.871126,0.556898,0.491028,0.0,1.162224,0.944232,2015,3065,1.09847
B_500_1000_2000,symmetric,500,500,3,False,True,0.922451,0.223622,-0.364524,0.613464,21.842646,0.521303,0.489729,0.494248,0.785842,0.591065,2015,2434,0.841829,0.225195,-0.364524,0.617777,23.394845,0.512298,0.474517,0.502636,0.606139,0.331027,2015,1707,1.259962,0.213366,-0.140064,1.523341,18.198074,0.541322,0.525447,0.474553,0.505769,0.280277,2022,727,1.749761,0.446949,-0.264538,1.689542,21.743265,0.550794,0.496038,0.503962,1.172451,0.687024,2025,631,1.100827,0.269904,-0.364524,0.740429,21.822186,0.527603,0.491028,0.496248,1.03309,0.856343,2015,3065,0.841829
