metric,value
n_days_aligned_panel,3065
n_days_factor_overlap,3065
first_date,2014-01-02
last_date,2026-08-11
corr_vs_incumbent_aggregate,0.5575117727724157
corr_vs_pair_300,0.4636170618324563
corr_vs_pair_500,0.5273878874344128
corr_vs_pair_1000,0.48661429455198624
corr_vs_pair_2000,0.49223314207565255
max_abs_corr_vs_incumbent_family,0.5575117727724157
threshold,0.9
same_source_verdict,False
daily_return_corr_between_two_legs,0.8484389229395035
level_ratio_first,0.9777022004515116
level_ratio_last,1.1860120506745941
implied_annual_drift_of_ratio,0.015440934950941676
relative_return_mean_daily,5.6162415312093075e-05
relative_return_annualized,0.013759791751462804
relative_return_std_daily,0.007291279720789294
relative_return_share_negative_days,0.4804177545691906
relative_return_share_abs_gt_50bp,0.36357702349869453
