pair_set,mapping,kou_jing,carry_source,n_pairs,is_incumbent,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,sharpe_ex_top1_selection_2014_2023,sharpe_ex_top2_selection_2014_2023,ex_top1_year_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,sharpe_ex_top1_train_2014_2020,sharpe_ex_top2_train_2014_2020,ex_top1_year_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,sharpe_ex_top1_val_2021_2023,sharpe_ex_top2_val_2021_2023,ex_top1_year_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,sharpe_ex_top1_holdout_2024_2026,sharpe_ex_top2_holdout_2024_2026,ex_top1_year_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,sharpe_ex_top1_full_2014_2026,sharpe_ex_top2_full_2014_2026,ex_top1_year_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
A_four_pairs_incumbent,longflat,500,500,4,True,1.702445,0.258065,-0.13144,1.963364,10.468365,0.561588,0.48562,0.0,1.392517,1.21334,2015,2434,1.939869,0.321438,-0.119815,2.682796,11.338606,0.567023,0.471588,0.0,1.560841,1.331982,2015,1707,0.928439,0.102698,-0.13144,0.781326,8.425034,0.548718,0.518569,0.0,0.690413,0.381148,2021,727,1.856479,0.328352,-0.162926,2.015348,10.871632,0.552553,0.505547,0.0,1.094832,0.750625,2025,631,1.734757,0.272535,-0.166643,1.635438,10.551387,0.559668,0.489723,0.0,1.508393,1.316901,2015,3065,0.928439
A_four_pairs_incumbent,longflat,1000,1000,4,True,1.36407,0.224504,-0.173372,1.294931,10.468365,0.553485,0.48562,0.0,1.076038,0.943497,2015,2434,1.465116,0.260674,-0.173372,1.50356,11.338606,0.55516,0.471588,0.0,1.077145,0.8773,2015,1707,1.035772,0.131754,-0.131123,1.004808,8.425034,0.548718,0.518569,0.0,0.953883,0.926672,2022,727,1.838521,0.352946,-0.175256,2.013894,10.871632,0.576577,0.505547,0.0,1.165654,1.908183,2025,631,1.471126,0.250947,-0.175256,1.431891,10.551387,0.558392,0.489723,0.0,1.273556,1.082429,2015,3065,1.035772
A_four_pairs_incumbent,longflat,blend,blend,4,True,1.538854,0.241284,-0.134819,1.789693,10.468365,0.555916,0.48562,0.0,1.236474,1.080898,2015,2434,1.705347,0.291056,-0.134819,2.15887,11.338606,0.563464,0.471588,0.0,1.316893,1.1023,2015,1707,1.000931,0.117226,-0.131245,0.893182,8.425034,0.538462,0.518569,0.0,0.975508,0.681589,2022,727,1.85889,0.340649,-0.166667,2.043892,10.871632,0.576577,0.505547,0.0,1.138206,0.838125,2025,631,1.609892,0.261741,-0.166667,1.570444,10.551387,0.560306,0.489723,0.0,1.395684,1.202934,2015,3065,1.000931
A_four_pairs_incumbent,symmetric,500,500,4,True,1.191437,0.28849,-0.286696,1.006255,21.037387,0.528404,0.48562,0.498357,1.147724,0.994703,2015,2434,1.228893,0.328181,-0.286696,1.144698,22.820738,0.524295,0.471588,0.505565,1.159963,0.937284,2015,1707,1.113472,0.188729,-0.16177,1.166653,16.850069,0.53719,0.518569,0.481431,0.564111,0.282977,2022,727,1.548656,0.396137,-0.24524,1.615306,21.743265,0.544444,0.505547,0.494453,0.935946,0.574934,2025,631,1.269295,0.310957,-0.286696,1.08462,21.182708,0.531901,0.489723,0.497553,1.248759,1.099896,2015,3065,1.113472
A_four_pairs_incumbent,symmetric,1000,1000,4,True,1.486985,0.389471,-0.298576,1.304432,21.037387,0.530075,0.48562,0.498357,1.43947,1.265643,2015,2434,1.540135,0.438113,-0.298576,1.467344,22.820738,0.531494,0.471588,0.505565,1.471158,1.217346,2015,1707,1.345354,0.267438,-0.141744,1.886765,16.850069,0.526171,0.518569,0.481431,0.776154,0.226215,2022,727,1.597804,0.448855,-0.259435,1.730128,21.743265,0.539683,0.505547,0.494453,1.124536,0.807044,2025,631,1.512381,0.402145,-0.298576,1.346879,21.182708,0.532231,0.489723,0.497553,1.477223,1.356672,2015,3065,1.345354
A_four_pairs_incumbent,symmetric,blend,blend,4,True,1.356146,0.338981,-0.292555,1.15869,21.037387,0.527151,0.48562,0.498357,1.310217,1.146349,2015,2434,1.399169,0.383147,-0.292555,1.309657,22.820738,0.527295,0.471588,0.505565,1.328366,1.089264,2015,1707,1.256076,0.228084,-0.150351,1.51701,16.850069,0.526171,0.518569,0.481431,0.691245,0.257325,2022,727,1.589646,0.422496,-0.250186,1.688726,21.743265,0.539683,0.505547,0.494453,1.04513,0.706833,2025,631,1.40783,0.356551,-0.292555,1.218748,21.182708,0.529917,0.489723,0.497553,1.379549,1.251427,2015,3065,1.256076
E_four_plus_dividend_leg,longflat,500,500,5,False,1.469634,0.246102,-0.225228,1.092679,10.26705,0.558272,0.483155,0.0,1.169015,0.988907,2015,2434,1.607434,0.298893,-0.225228,1.32707,11.338606,0.561446,0.463972,0.0,1.218092,0.968409,2015,1707,1.032991,0.115582,-0.13144,0.87935,7.751032,0.550505,0.528198,0.0,0.79841,0.443393,2021,727,1.647985,0.292036,-0.167528,1.7432,9.318542,0.544379,0.51664,0.0,0.808458,0.613202,2025,631,1.507847,0.255558,-0.225228,1.134666,10.071778,0.555272,0.490049,0.0,1.287752,1.091885,2015,3065,1.032991
E_four_plus_dividend_leg,longflat,1000,1000,5,False,1.153579,0.205588,-0.27304,0.752961,10.26705,0.550937,0.483155,0.0,0.883613,0.74563,2015,2434,1.165184,0.227539,-0.27304,0.833355,11.338606,0.550602,0.463972,0.0,0.780939,0.557322,2015,1707,1.133372,0.146225,-0.131123,1.115176,7.751032,0.550505,0.528198,0.0,1.08662,1.012536,2022,727,1.58423,0.307785,-0.179038,1.7191,9.318542,0.568047,0.51664,0.0,0.806609,1.154306,2025,631,1.247764,0.226628,-0.27304,0.830017,10.071778,0.554633,0.490049,0.0,1.060898,0.861979,2015,3065,1.133372
E_four_plus_dividend_leg,longflat,blend,blend,5,False,1.317052,0.225845,-0.246998,0.914361,10.26705,0.554197,0.483155,0.0,1.027279,0.868301,2015,2434,1.389911,0.263216,-0.246998,1.065662,11.338606,0.560241,0.463972,0.0,0.996749,0.759762,2015,1707,1.103176,0.130904,-0.131245,0.997399,7.751032,0.540404,0.528198,0.0,1.091345,0.756566,2022,727,1.625816,0.29991,-0.17087,1.755199,9.318542,0.573964,0.51664,0.0,0.812724,1.219369,2025,631,1.383917,0.241093,-0.246998,0.976094,10.071778,0.558466,0.490049,0.0,1.177335,0.978485,2015,3065,1.103176
E_four_plus_dividend_leg,symmetric,500,500,5,False,1.09211,0.264564,-0.362079,0.73068,20.634758,0.524645,0.483155,0.500822,0.973243,0.828304,2015,2434,1.059209,0.283091,-0.362079,0.781847,22.820738,0.518296,0.463972,0.513181,0.862401,0.673523,2015,1707,1.266372,0.214498,-0.143374,1.496071,15.502063,0.538567,0.528198,0.471802,0.673736,0.414085,2022,727,1.26246,0.323505,-0.291329,1.110447,18.637084,0.533333,0.51664,0.48336,0.539007,0.371786,2025,631,1.129887,0.277004,-0.362079,0.765036,20.223491,0.526612,0.490049,0.497227,1.046094,0.883561,2015,3065,1.059209
