kind,left,right,pearson,spearman,n_obs
b_signal_vs_pair,signal_B_size_zw250,pair_300,-0.016633,-0.010047,1450
b_signal_vs_pair,signal_B_size_zw250,pair_500,-0.046636,-0.041898,1450
b_signal_vs_pair,signal_B_size_zw250,pair_1000,-0.057968,-0.050623,1450
b_signal_vs_pair,signal_B_size_zw250,pair_2000,-0.053753,-0.06204,1450
b_signal_vs_production,signal_B_size_zw250,equal_weight_factor,-0.046775,-0.042007,1450
b_signal_vs_pair,signal_B_size_zw500,pair_300,-0.010395,-0.020226,1450
b_signal_vs_pair,signal_B_size_zw500,pair_500,-0.022592,-0.042536,1450
b_signal_vs_pair,signal_B_size_zw500,pair_1000,-0.054796,-0.060923,1450
b_signal_vs_pair,signal_B_size_zw500,pair_2000,-0.058199,-0.080225,1450
b_signal_vs_production,signal_B_size_zw500,equal_weight_factor,-0.03658,-0.054287,1450
b_signal_vs_pair,signal_B_gv_zw250,pair_300,-0.019523,-0.031075,1450
b_signal_vs_pair,signal_B_gv_zw250,pair_500,-0.061776,-0.067448,1450
b_signal_vs_pair,signal_B_gv_zw250,pair_1000,-0.006609,-0.009579,1450
b_signal_vs_pair,signal_B_gv_zw250,pair_2000,-0.066387,-0.079134,1450
b_signal_vs_production,signal_B_gv_zw250,equal_weight_factor,-0.048867,-0.056104,1450
b_signal_vs_pair,signal_B_gv_zw500,pair_300,0.01577,-0.015699,1450
b_signal_vs_pair,signal_B_gv_zw500,pair_500,-0.047942,-0.088395,1450
b_signal_vs_pair,signal_B_gv_zw500,pair_1000,0.021421,-0.008538,1450
b_signal_vs_pair,signal_B_gv_zw500,pair_2000,-0.054617,-0.081871,1450
b_signal_vs_production,signal_B_gv_zw500,equal_weight_factor,-0.023214,-0.058332,1450
b_level_overlap,beta_s_size_w240,beta_s_gv_w240,-0.113993,0.032553,1450
b_size_vs_a_signal,signal_B_size_zw250,signal_A1,-0.097336,-0.1725,1385
b_size_vs_a_signal,signal_B_size_zw250,signal_A2,0.512151,0.531518,1385
b_size_vs_a_signal,signal_B_size_zw500,signal_A1,0.076882,-0.072694,1385
b_size_vs_a_signal,signal_B_size_zw500,signal_A2,0.598182,0.53157,1385
b_gv_vs_a_signal,signal_B_gv_zw250,signal_A1,-0.026771,-0.150078,1385
b_gv_vs_a_signal,signal_B_gv_zw250,signal_A2,-0.07007,-0.131737,1385
b_gv_vs_a_signal,signal_B_gv_zw500,signal_A1,0.269774,0.232246,1385
b_gv_vs_a_signal,signal_B_gv_zw500,signal_A2,0.116783,0.0417,1385
a_quarterly_overlap_raw,A1_raw_median,A2_raw_ratio,0.661777,0.690592,41
a_quarterly_overlap_pct,A1_pct,A2_pct,0.500789,0.386726,33
