family,mode,zw,k,kou_jing,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026,ic_half1,n_half1,ic_half2,n_half2,family_group
size,240,250,5,500,-0.04789,289,0.089841,143,-0.150831,144,0.129593,125,-0.001735,415,0.101566,144,-0.171589,144,B
size,240,250,5,1000,-0.052715,289,0.063032,143,-0.169728,144,0.11398,125,-0.008551,415,0.074034,144,-0.17861,144,B
size,240,250,5,blend,-0.053198,289,0.074116,143,-0.158655,144,0.117377,125,-0.006279,415,0.085346,144,-0.174276,144,B
size,240,250,10,500,-0.081984,144,0.106606,71,-0.132575,71,0.174979,62,-0.021227,207,0.106606,71,-0.2597,71,B
size,240,250,10,1000,-0.072308,144,0.100652,71,-0.177327,71,0.116409,62,-0.0365,207,0.100652,71,-0.263696,71,B
size,240,250,10,blend,-0.080468,144,0.094882,71,-0.149353,71,0.143034,62,-0.033557,207,0.094882,71,-0.263008,71,B
size,240,250,20,500,-0.133714,71,0.036142,35,-0.427993,35,0.267399,30,-0.026621,103,0.036142,35,-0.36291,35,B
size,240,250,20,1000,-0.140123,71,-0.023394,35,-0.389877,35,0.183627,30,-0.052813,103,-0.023394,35,-0.324864,35,B
size,240,250,20,blend,-0.140056,71,0.00056,35,-0.400988,35,0.175808,30,-0.040448,103,0.00056,35,-0.367122,35,B
size,240,250,40,500,-0.167192,35,-0.083333,17,-0.541999,17,0.128179,14,-0.071218,51,-0.083333,17,-0.488318,17,B
size,240,250,40,1000,-0.170836,35,-0.112745,17,-0.496628,17,0.02431,14,-0.089464,51,-0.112745,17,-0.472328,17,B
size,240,250,40,blend,-0.175601,35,-0.093137,17,-0.5187,17,0.159118,14,-0.076153,51,-0.093137,17,-0.440347,17,B
size,240,500,5,500,-0.067013,289,0.042251,143,-0.122905,144,-0.023611,125,-0.053732,415,0.054989,144,-0.137495,144,B
size,240,500,5,1000,-0.075833,289,0.017343,143,-0.149492,144,-0.057279,125,-0.067592,415,0.029211,144,-0.144397,144,B
size,240,500,5,blend,-0.075586,289,0.027833,143,-0.134592,144,-0.041735,125,-0.063699,415,0.039985,144,-0.143826,144,B
size,240,500,10,500,-0.094436,144,0.042094,71,-0.12477,71,-0.017126,62,-0.078429,207,0.042094,71,-0.220328,71,B
size,240,500,10,1000,-0.084175,144,0.041138,71,-0.17585,71,-0.077343,62,-0.094514,207,0.041138,71,-0.240967,71,B
size,240,500,10,blend,-0.093863,144,0.031612,71,-0.150419,71,-0.050722,62,-0.090848,207,0.031612,71,-0.231973,71,B
size,240,500,20,500,-0.137482,71,-0.007283,35,-0.301445,35,0.058987,30,-0.114827,103,-0.007283,35,-0.325503,35,B
size,240,500,20,1000,-0.153415,71,-0.071429,35,-0.264413,35,-0.012243,30,-0.145417,103,-0.071429,35,-0.302223,35,B
size,240,500,20,blend,-0.146874,71,-0.046499,35,-0.277178,35,-0.008013,30,-0.135598,103,-0.046499,35,-0.33518,35,B
size,240,500,40,500,-0.191917,35,-0.166667,17,-0.42402,17,-0.022002,14,-0.154629,51,-0.166667,17,-0.375691,17,B
size,240,500,40,1000,-0.207747,35,-0.198529,17,-0.384804,17,-0.110011,14,-0.185175,51,-0.198529,17,-0.35482,17,B
size,240,500,40,blend,-0.202704,35,-0.17402,17,-0.414216,17,0.0022,14,-0.167164,51,-0.17402,17,-0.326581,17,B
gv,240,250,5,500,0.05547,289,0.12167,143,0.031497,144,-0.000393,125,0.055445,415,0.113351,144,-0.027348,144,B
gv,240,250,5,1000,0.032452,289,0.114801,143,-0.00378,144,-0.01987,125,0.039747,415,0.106453,144,-0.069176,144,B
gv,240,250,5,blend,0.045829,289,0.120352,143,0.014251,144,-0.015823,125,0.047648,415,0.112091,144,-0.050464,144,B
gv,240,250,10,500,0.07695,144,0.181216,71,0.035546,71,-0.016147,62,0.090195,207,0.181216,71,-0.060169,71,B
gv,240,250,10,1000,0.053341,144,0.18509,71,-0.028622,71,-0.026652,62,0.06583,207,0.18509,71,-0.091128,71,B
gv,240,250,10,blend,0.059347,144,0.183061,71,-0.008605,71,-0.018364,62,0.07192,207,0.183061,71,-0.084735,71,B
gv,240,250,20,500,0.088654,71,0.19113,35,-0.069993,35,0.054974,30,0.131857,103,0.19113,35,-0.08502,35,B
gv,240,250,20,1000,0.059752,71,0.167029,35,-0.065496,35,-0.062542,30,0.091601,103,0.167029,35,-0.099354,35,B
gv,240,250,20,blend,0.069045,71,0.177958,35,-0.067745,35,-0.037837,30,0.113105,103,0.177958,35,-0.105959,35,B
gv,240,250,40,500,-0.005605,35,0.098099,17,-0.062692,17,0.044004,14,0.103424,51,0.098099,17,-0.271333,17,B
gv,240,250,40,1000,-0.008407,35,0.098099,17,-0.108175,17,-0.149615,14,0.103786,51,0.098099,17,-0.252916,17,B
gv,240,250,40,blend,-0.014152,35,0.088289,17,-0.084819,17,0.046205,14,0.120307,51,0.088289,17,-0.191529,17,B
gv,240,500,5,500,0.065531,289,0.102815,143,0.031135,144,0.027037,125,0.064699,415,0.105546,144,-0.010288,144,B
gv,240,500,5,1000,0.040473,289,0.095672,143,0.002309,144,0.010429,125,0.045981,415,0.09764,144,-0.047039,144,B
gv,240,500,5,blend,0.052056,289,0.10145,143,0.013736,144,0.009458,125,0.053473,415,0.103672,144,-0.036143,144,B
gv,240,500,10,500,0.132049,144,0.176959,71,0.069998,71,0.017203,62,0.120135,207,0.176959,71,0.006004,71,B
gv,240,500,10,1000,0.106184,144,0.18345,71,-0.000771,71,-0.000252,62,0.092137,207,0.18345,71,-0.056431,71,B
gv,240,500,10,blend,0.111831,144,0.180162,71,0.008989,71,0.013097,62,0.10102,207,0.180162,71,-0.034798,71,B
gv,240,500,20,500,0.141435,71,0.199944,35,0.012049,35,0.041611,30,0.164193,103,0.199944,35,0.014148,35,B
gv,240,500,20,1000,0.098757,71,0.163514,35,0.049597,35,-0.086782,30,0.116007,103,0.163514,35,-0.057011,35,B
gv,240,500,20,blend,0.118863,71,0.183691,35,0.014431,35,-0.06097,30,0.145564,103,0.183691,35,-0.03628,35,B
gv,240,500,40,500,0.118776,35,0.129902,17,0.117719,17,0.110011,14,0.172776,51,0.129902,17,0.055181,17,B
gv,240,500,40,1000,0.037538,35,0.083333,17,0.064991,17,-0.088009,14,0.124853,51,0.083333,17,0.045371,17,B
gv,240,500,40,blend,0.071434,35,0.098039,17,0.110362,17,0.10341,14,0.16644,51,0.098039,17,0.132434,17,B
A1,expanding,annP95,20,500,0.038118,68,0.127548,31,-0.026577,35,0.048597,30,0.033958,99,0.118394,33,-0.007909,33,A
A1,expanding,annP95,20,1000,-0.035823,68,0.100085,31,-0.061637,35,0.067721,30,-0.008124,99,0.054734,33,-0.017333,33,A
A1,expanding,annP95,20,blend,-0.015396,68,0.108629,31,-0.06503,35,0.044997,30,0.002731,99,0.074606,33,0.000673,33,A
