variant,observed,p_naive_per_variant_UNCORRECTED,null_winner_count,is_observed_winner,machine,family_group
"('size', 240, 250, 5)",0.053198,0.392607,2,False,abs_nonoverlap_ic,B
"('size', 240, 250, 10)",0.080468,0.413586,13,False,abs_nonoverlap_ic,B
"('size', 240, 250, 20)",0.140056,0.24975,47,False,abs_nonoverlap_ic,B
"('size', 240, 250, 40)",0.175601,0.264735,250,False,abs_nonoverlap_ic,B
"('size', 240, 500, 5)",0.075586,0.120879,0,False,abs_nonoverlap_ic,B
"('size', 240, 500, 10)",0.093863,0.297702,6,False,abs_nonoverlap_ic,B
"('size', 240, 500, 20)",0.146874,0.234765,16,False,abs_nonoverlap_ic,B
"('size', 240, 500, 40)",0.202704,0.208791,256,True,abs_nonoverlap_ic,B
"('gv', 240, 250, 5)",0.045829,0.207792,0,False,abs_nonoverlap_ic,B
"('gv', 240, 250, 10)",0.059347,0.244755,0,False,abs_nonoverlap_ic,B
"('gv', 240, 250, 20)",0.069045,0.372627,12,False,abs_nonoverlap_ic,B
"('gv', 240, 250, 40)",0.014152,0.929071,142,False,abs_nonoverlap_ic,B
"('gv', 240, 500, 5)",0.052056,0.217782,0,False,abs_nonoverlap_ic,B
"('gv', 240, 500, 10)",0.111831,0.090909,6,False,abs_nonoverlap_ic,B
"('gv', 240, 500, 20)",0.118863,0.174825,34,False,abs_nonoverlap_ic,B
"('gv', 240, 500, 40)",0.071434,0.603397,216,False,abs_nonoverlap_ic,B
"('size', 240, 250, 5)",0.047652,0.451548,0,False,abs_partial_ic_vs_equal_weight,B
"('size', 240, 250, 10)",0.07152,0.445554,12,False,abs_partial_ic_vs_equal_weight,B
"('size', 240, 250, 20)",0.141473,0.245754,42,False,abs_partial_ic_vs_equal_weight,B
"('size', 240, 250, 40)",0.174045,0.295704,255,False,abs_partial_ic_vs_equal_weight,B
"('size', 240, 500, 5)",0.067927,0.152847,0,False,abs_partial_ic_vs_equal_weight,B
"('size', 240, 500, 10)",0.083459,0.32967,2,False,abs_partial_ic_vs_equal_weight,B
"('size', 240, 500, 20)",0.147567,0.225774,17,False,abs_partial_ic_vs_equal_weight,B
"('size', 240, 500, 40)",0.199086,0.217782,270,True,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 250, 5)",0.056206,0.097902,0,False,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 250, 10)",0.068794,0.147852,0,False,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 250, 20)",0.074005,0.323676,16,False,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 250, 40)",0.02072,0.892108,134,False,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 500, 5)",0.064241,0.125874,0,False,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 500, 10)",0.124315,0.058941,5,False,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 500, 20)",0.12443,0.156843,35,False,abs_partial_ic_vs_equal_weight,B
"('gv', 240, 500, 40)",0.072015,0.59041,212,False,abs_partial_ic_vs_equal_weight,B
"('A1', 'expanding', 'annP95', 20)",0.015396,0.878122,54,False,abs_nonoverlap_ic,A
"('A1', 'expanding', 'annP95', 40)",0.013557,0.923077,82,False,abs_nonoverlap_ic,A
"('A1', 'expanding', 'annP95', 60)",0.08703,0.651349,312,False,abs_nonoverlap_ic,A
"('A2', 'expanding', 'annP95', 20)",0.13814,0.378621,79,False,abs_nonoverlap_ic,A
"('A2', 'expanding', 'annP95', 40)",0.233264,0.271728,121,True,abs_nonoverlap_ic,A
"('A2', 'expanding', 'annP95', 60)",0.229073,0.356643,352,False,abs_nonoverlap_ic,A
"('A1', 'expanding', 'annP95', 20)",0.002004,0.986014,75,False,abs_partial_ic_vs_equal_weight,A
"('A1', 'expanding', 'annP95', 40)",0.041549,0.82018,222,False,abs_partial_ic_vs_equal_weight,A
"('A1', 'expanding', 'annP95', 60)",0.209011,0.338661,205,False,abs_partial_ic_vs_equal_weight,A
"('A2', 'expanding', 'annP95', 20)",0.103412,0.578422,117,False,abs_partial_ic_vs_equal_weight,A
"('A2', 'expanding', 'annP95', 40)",0.239825,0.180819,100,False,abs_partial_ic_vs_equal_weight,A
"('A2', 'expanding', 'annP95', 60)",0.253429,0.292707,281,True,abs_partial_ic_vs_equal_weight,A
