kind,family,mode,zw,k,first_date,last_date,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026
B_w120_sensitivity,size,120,250,5,2017-07-19,2026-08-11,-0.136449,313,-0.134949,167,-0.122134,144,0.054427,125,-0.07538,439
B_w120_sensitivity,size,120,250,10,2017-07-19,2026-08-11,-0.188204,156,-0.169349,83,-0.169001,71,0.08036,62,-0.104153,219
B_w120_sensitivity,size,120,250,20,2017-07-19,2026-08-11,-0.246191,77,-0.261085,41,-0.286155,35,0.216409,30,-0.150702,109
B_w120_sensitivity,size,120,250,40,2017-07-19,2026-08-11,-0.204421,38,-0.221053,20,-0.397059,17,0.310573,14,-0.069001,54
B_w120_sensitivity,size,120,500,5,2017-07-19,2026-08-11,-0.120377,313,-0.131767,167,-0.100277,144,0.012406,125,-0.096864,439
B_w120_sensitivity,size,120,500,10,2017-07-19,2026-08-11,-0.151837,156,-0.154268,83,-0.16556,71,0.000781,62,-0.126883,219
B_w120_sensitivity,size,120,500,20,2017-07-19,2026-08-11,-0.200918,77,-0.235386,41,-0.234272,35,0.157561,30,-0.17681,109
B_w120_sensitivity,size,120,500,40,2017-07-19,2026-08-11,-0.13569,38,-0.160211,20,-0.312692,17,0.305495,14,-0.101662,54
B_w120_sensitivity,gv,120,250,5,2017-07-19,2026-08-11,0.017189,313,-0.003213,167,0.016383,144,0.035786,125,0.022762,439
B_w120_sensitivity,gv,120,250,10,2017-07-19,2026-08-11,0.022315,156,0.010518,83,0.046098,71,-0.090396,62,0.005901,219
B_w120_sensitivity,gv,120,250,20,2017-07-19,2026-08-11,0.052385,77,0.048532,41,-0.024953,35,0.010902,30,0.040905,109
B_w120_sensitivity,gv,120,250,40,2017-07-19,2026-08-11,0.137384,38,0.088755,20,0.137255,17,-0.072527,14,0.174661,54
B_w120_sensitivity,gv,120,500,5,2017-07-19,2026-08-11,0.037356,313,0.043461,167,0.020635,144,0.06117,125,0.064832,439
B_w120_sensitivity,gv,120,500,10,2017-07-19,2026-08-11,0.082892,156,0.113381,83,0.049651,71,-0.006447,62,0.097563,219
B_w120_sensitivity,gv,120,500,20,2017-07-19,2026-08-11,0.124545,77,0.171546,41,0.004342,35,0.043382,30,0.167305,109
B_w120_sensitivity,gv,120,500,40,2017-07-19,2026-08-11,0.210474,38,0.215118,20,0.156863,17,0.248352,14,0.296209,54
A_pit_plus30_sensitivity,A1,expanding,plus30,20,2018-05-02,2026-08-11,0.019357,68,-0.021923,31,-0.073648,35,0.085616,30,0.020417,99
A_pit_plus30_sensitivity,A1,expanding,plus30,40,2018-05-02,2026-08-11,0.038097,33,-0.08492,15,-0.054121,17,0.196688,14,0.000205,49
A_pit_plus30_sensitivity,A1,expanding,plus30,60,2018-05-02,2026-08-11,0.232401,22,0.166667,9,0.263636,11,-0.3,9,0.037611,32
A_pit_plus30_sensitivity,A2,expanding,plus30,20,2018-05-02,2026-08-11,-0.215581,68,-0.051762,31,-0.118694,35,-0.015245,30,-0.098488,99
A_pit_plus30_sensitivity,A2,expanding,plus30,40,2018-05-02,2026-08-11,-0.276084,33,-0.192103,15,-0.335187,17,0.225474,14,-0.181028,49
A_pit_plus30_sensitivity,A2,expanding,plus30,60,2018-05-02,2026-08-11,-0.153237,22,-0.05021,9,-0.154898,11,-0.406838,9,-0.130931,32
