kind,left,right,pearson,spearman,n_obs
level_vs_breadth,X1,breadth_pct_above_ma20,-0.017118,-0.055367,2434
level_vs_breadth,X1,breadth_pct_above_ma60,0.055951,0.042791,2434
level_vs_breadth,X1,breadth_hi_lo_diff20,-0.05917,-0.123413,2434
level_vs_breadth,X1,breadth_hi_lo_diff60,-0.012033,-0.040858,2434
level_vs_production,X1,equal_weight_factor,-0.024263,-0.040054,2434
level_vs_abs_production,X1,abs_equal_weight_factor,-0.018345,0.036416,2434
level_vs_universe_size,X1,n_universe,0.154001,0.187747,2434
level_vs_universe_size,X1,n_full_corr_subset,0.142647,0.168141,2434
level_vs_breadth,X2,breadth_pct_above_ma20,0.005221,-0.013402,2434
level_vs_breadth,X2,breadth_pct_above_ma60,-0.17407,-0.179187,2434
level_vs_breadth,X2,breadth_hi_lo_diff20,0.02454,0.064463,2434
level_vs_breadth,X2,breadth_hi_lo_diff60,-0.044585,-0.0269,2434
level_vs_production,X2,equal_weight_factor,0.075325,0.083607,2434
level_vs_abs_production,X2,abs_equal_weight_factor,-0.156446,-0.120503,2434
level_vs_universe_size,X2,n_universe,-0.549758,-0.534426,2434
level_vs_universe_size,X2,n_full_corr_subset,-0.537014,-0.533235,2434
family_overlap_level,X1,X2,-0.14909,-0.166156,2434
family_overlap_signal,signal_X1_lb5zw250,signal_X2_lb5zw250,-0.03562,-0.054163,2434
winner_signal_vs_breadth_signal,signal_X2_lb5zw250,signal_breadth_pct_above_ma20_lb5zw250,-0.100285,-0.093783,2434
winner_signal_vs_breadth_signal,signal_X2_lb5zw250,signal_breadth_pct_above_ma60_lb5zw250,-0.264426,-0.251648,2434
winner_signal_vs_breadth_signal,signal_X2_lb5zw250,signal_breadth_hi_lo_diff20_lb5zw250,-0.056424,-0.038342,2434
winner_signal_vs_breadth_signal,signal_X2_lb5zw250,signal_breadth_hi_lo_diff60_lb5zw250,-0.150983,-0.135373,2434
winner_signal_vs_production,signal_X2_lb5zw250,equal_weight_factor,0.083701,0.074525,2434
