family,lb,zw,k,kou_jing,ic_selection_2014_2023,n_selection_2014_2023,ic_train_2014_2020,n_train_2014_2020,ic_val_2021_2023,n_val_2021_2023,ic_holdout_2024_2026,n_holdout_2024_2026,ic_full_2014_2026,n_full_2014_2026
X1,5,60,5,500,0.083824,485,0.11364,340,-0.018905,144,0.145788,125,0.086857,612
X1,5,60,5,1000,0.078024,485,0.105289,340,0.001559,144,0.201751,125,0.088624,612
X1,5,60,5,blend,0.081146,485,0.110518,340,-0.017189,144,0.171386,125,0.087314,612
X1,5,60,10,500,0.101207,242,0.097864,169,0.044467,71,0.234419,62,0.091662,305
X1,5,60,10,1000,0.103687,242,0.104251,169,0.085077,71,0.264234,62,0.106552,305
X1,5,60,10,blend,0.104444,242,0.099746,169,0.049732,71,0.250233,62,0.100176,305
X1,5,60,20,500,0.077158,120,0.114002,84,0.169748,35,0.207564,30,0.103107,152
X1,5,60,20,1000,0.079429,120,0.12929,84,0.208403,35,0.249833,30,0.105977,152
X1,5,60,20,blend,0.079929,120,0.120826,84,0.165266,35,0.226251,30,0.10716,152
X1,5,60,40,500,0.055348,59,0.019164,41,0.164216,17,0.525275,14,0.03394,75
X1,5,60,40,1000,0.05301,59,0.013763,41,0.134804,17,0.498901,14,0.014708,75
X1,5,60,40,blend,0.057569,59,0.019861,41,0.171569,17,0.494505,14,0.02623,75
X1,5,250,5,500,0.076536,485,0.087273,340,0.031617,144,0.095201,125,0.074434,612
X1,5,250,5,1000,0.056962,485,0.066729,340,0.03634,144,0.147828,125,0.060962,612
X1,5,250,5,blend,0.06527,485,0.075422,340,0.027751,144,0.118495,125,0.066264,612
X1,5,250,10,500,0.09106,242,0.067058,169,0.034842,71,0.168895,62,0.069205,305
X1,5,250,10,1000,0.086601,242,0.080757,169,0.0833,71,0.214726,62,0.078672,305
X1,5,250,10,blend,0.092648,242,0.073669,169,0.054661,71,0.198459,62,0.07601,305
X1,5,250,20,500,0.079547,120,0.038149,84,0.198319,35,0.000667,30,0.060638,152
X1,5,250,20,1000,0.057817,120,0.027154,84,0.166387,35,0.082091,30,0.048319,152
X1,5,250,20,blend,0.0664,120,0.025635,84,0.148739,35,0.050945,30,0.05446,152
X1,5,250,40,500,0.02104,59,-0.156794,41,-0.034314,17,0.265934,14,-0.027568,75
X1,5,250,40,1000,0.041262,59,-0.139024,41,-0.080882,17,0.279121,14,-0.02074,75
X1,5,250,40,blend,0.032028,59,-0.150697,41,-0.04902,17,0.217582,14,-0.023983,75
X1,20,60,5,500,0.041684,485,0.039355,340,0.034652,144,0.096123,125,0.048338,612
X1,20,60,5,1000,0.023282,485,0.021252,340,0.041994,144,0.100117,125,0.039163,612
X1,20,60,5,blend,0.030751,485,0.029484,340,0.032296,144,0.089886,125,0.043428,612
X1,20,60,10,500,0.010675,242,-0.003533,169,0.011301,71,0.113243,62,0.018844,305
X1,20,60,10,1000,0.000839,242,-0.004251,169,0.01992,71,0.147793,62,0.020086,305
X1,20,60,10,blend,0.005263,242,-0.008988,169,-0.006673,71,0.150261,62,0.0181,305
X1,20,60,20,500,-0.057421,120,-0.05287,84,0.070868,35,-0.062069,30,-0.032371,152
X1,20,60,20,1000,-0.030849,120,-0.032115,84,0.145658,35,-0.024694,30,-0.025998,152
X1,20,60,20,blend,-0.047982,120,-0.047484,84,0.092437,35,-0.072747,30,-0.027611,152
X1,20,60,40,500,-0.069433,59,-0.227526,41,-0.07598,17,0.235165,14,-0.047539,75
X1,20,60,40,1000,-0.099825,59,-0.282753,41,-0.017157,17,0.142857,14,-0.09889,75
X1,20,60,40,blend,-0.101636,59,-0.281533,41,-0.044118,17,0.191209,14,-0.08606,75
X1,20,250,5,500,0.03602,485,0.026907,340,0.01614,144,-0.022568,125,0.03145,612
