variant,observed,p_naive_per_variant_UNCORRECTED,null_winner_count,is_observed_winner,machine
"('X1', 5, 60, 5)",0.081146,0.058941,0,False,abs_nonoverlap_ic
"('X1', 5, 60, 10)",0.104444,0.086913,3,False,abs_nonoverlap_ic
"('X1', 5, 60, 20)",0.079929,0.326673,14,False,abs_nonoverlap_ic
"('X1', 5, 60, 40)",0.057569,0.668332,88,False,abs_nonoverlap_ic
"('X1', 5, 250, 5)",0.06527,0.21978,0,False,abs_nonoverlap_ic
"('X1', 5, 250, 10)",0.092648,0.245754,4,False,abs_nonoverlap_ic
"('X1', 5, 250, 20)",0.0664,0.577423,36,False,abs_nonoverlap_ic
"('X1', 5, 250, 40)",0.032028,0.861139,105,False,abs_nonoverlap_ic
"('X1', 20, 60, 5)",0.030751,0.450549,0,False,abs_nonoverlap_ic
"('X1', 20, 60, 10)",0.005263,0.918082,1,False,abs_nonoverlap_ic
"('X1', 20, 60, 20)",0.047982,0.532468,30,False,abs_nonoverlap_ic
"('X1', 20, 60, 40)",0.101636,0.436563,71,False,abs_nonoverlap_ic
"('X1', 20, 250, 5)",0.027582,0.655345,0,False,abs_nonoverlap_ic
"('X1', 20, 250, 10)",0.051305,0.572428,9,False,abs_nonoverlap_ic
"('X1', 20, 250, 20)",0.004396,0.973027,39,False,abs_nonoverlap_ic
"('X1', 20, 250, 40)",0.007539,0.946054,149,False,abs_nonoverlap_ic
"('X2', 5, 60, 5)",0.008049,0.852148,0,False,abs_nonoverlap_ic
"('X2', 5, 60, 10)",0.010298,0.891109,4,False,abs_nonoverlap_ic
"('X2', 5, 60, 20)",0.111536,0.252747,42,False,abs_nonoverlap_ic
"('X2', 5, 60, 40)",0.074284,0.564436,83,False,abs_nonoverlap_ic
"('X2', 5, 250, 5)",0.019278,0.639361,0,False,abs_nonoverlap_ic
"('X2', 5, 250, 10)",0.000606,0.989011,2,False,abs_nonoverlap_ic
"('X2', 5, 250, 20)",0.112036,0.258741,5,False,abs_nonoverlap_ic
"('X2', 5, 250, 40)",0.144711,0.25974,76,True,abs_nonoverlap_ic
"('X2', 20, 60, 5)",0.014945,0.719281,0,False,abs_nonoverlap_ic
"('X2', 20, 60, 10)",0.05063,0.424575,0,False,abs_nonoverlap_ic
"('X2', 20, 60, 20)",0.109792,0.28971,18,False,abs_nonoverlap_ic
"('X2', 20, 60, 40)",0.065985,0.632368,126,False,abs_nonoverlap_ic
"('X2', 20, 250, 5)",0.00923,0.795205,0,False,abs_nonoverlap_ic
"('X2', 20, 250, 10)",0.008368,0.87013,0,False,abs_nonoverlap_ic
"('X2', 20, 250, 20)",0.089833,0.324675,11,False,abs_nonoverlap_ic
"('X2', 20, 250, 40)",0.1346,0.285714,84,False,abs_nonoverlap_ic
"('X1', 5, 60, 5)",0.093684,0.028971,0,False,abs_partial_ic_vs_equal_weight
"('X1', 5, 60, 10)",0.122821,0.036963,3,False,abs_partial_ic_vs_equal_weight
