gate,metric,value,threshold,pass
1_permutation_significant,p_selected,0.8391608391608392,0.05,False
1_permutation_significant,p_naive_UNCORRECTED(对照·不入闸),0.2597402597402597,,
1b_partial_ic_same_sign,partial_ic_signed_at_winner,-0.1628580844561957,0.0,True
1b_partial_ic_same_sign,p_selected_at_winner,0.7442557442557443,0.05,False
2_stable_halves,ic_train_2014_2020,-0.1383275261324042,0.0,True
2_stable_halves,ic_val_2021_2023,0.022058823529411766,0.0,False
3_net_positive,net_sharpe_selection_2014_2023,0.2121995620760416,0.0,True
OVERALL,STOP(任一关不过),0.0,,False
META,verdict,STOP,,
META,winner_family,X2,,
META,winner_lb,5,,
META,winner_zw,250,,
META,winner_k,40,,
META,winner_abs_ic,0.14471069549970778,,
META,winner_ic_signed_selection,-0.1447106954997078,,
META,p_selected_ic,0.8391608391608392,,
META,p_naive_ic_UNCORRECTED,0.2597402597402597,,
META,p_min_p_ic,0.5374625374625375,,
META,selection_inflation_ic,3.2307692307692313,,
META,partial_ic_signed_at_winner,-0.1628580844561957,,
META,p_selected_partial_at_winner,0.7442557442557443,,
META,p_selected_partial_own_winner,0.7442557442557443,,
META,partial_machine_own_winner,"('X2', 5, 250, 40)",,
META,null_selected_p95_ic,0.3443921683226183,,
META,n_distinct_null_winners_ic,22,,
META,winner_ic_selection_2014_2023,-0.1447106954997078,,
META,winner_ic_train_2014_2020,-0.1383275261324042,,
META,winner_ic_val_2021_2023,0.022058823529411766,,
META,winner_ic_holdout_2024_2026,-0.07252747252747253,,
META,winner_ic_full_2014_2026,-0.2492460881934566,,
META,winner_net_sharpe_selection_2014_2023,0.2121995620760416,,
META,winner_net_sharpe_train_2014_2020,0.19625349657541316,,
META,winner_net_sharpe_val_2021_2023,0.006058706017210177,,
META,winner_net_sharpe_holdout_2024_2026,0.42154047151341517,,
META,winner_net_sharpe_full_2014_2026,0.5664401706192983,,
META,n_perm,1000,,
META,seed,0,,
META,cost_bps,3.0,,
META,n_obs_selection,2434,,
META,sample_first_date,2014-01-02,,
META,sample_last_date,2023-12-29,,
META,min_shift,80,,
META,max_shift,2354,,
META,n_variants,32,,
META,sql_start,2012-01-01,,
META,corr_window,60,,
META,universe,suffix .SH/.SZ + close NOT NULL + pre_close>0 + volume>0（无 .BJ/.HK、无市值/流动性/ST/次新筛选）,,
META,x2_min,0.06447555719771735,,
META,x2_max,0.7719291391930344,,
META,n_universe_first,2228,,
META,n_universe_last,5200,,
META,vectorized_vs_house_ic_max_abs_diff,2.7755575615628914e-17,,
META,db_host,settings.yaml default,,
META,holdout_policy,2024-2026 只报告不选择、不进任何闸门（勘误 §3 / 议程 §7.3）,,
