variant,family,length,skip,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26,worst_tv,corr_vs_incumbent,turnover
0,classic,5,0,10,0,0.23509267002757617,0.28701121056449697,-0.37206143600889174,0.23509267002757617,0.10682735689911661,108.1373822669698
1,classic,5,0,10,5,0.2867102690381465,0.44310802970178004,0.09117612707965043,0.2867102690381465,-0.011931297263514863,61.50860669048393
2,classic,5,0,15,0,0.3721289624454816,0.24454865113565094,-0.9494150108959725,0.24454865113565094,0.05974787741063176,101.61253653783696
3,classic,5,0,15,5,0.21051599274478147,1.2715173122201937,0.23736768259341684,0.21051599274478147,-0.08397203080650552,53.39233517375771
4,classic,5,0,20,0,0.12173859791812212,0.3568546199900712,-0.5167858741309526,0.12173859791812212,-0.011401497933292395,96.20168886001949
5,classic,5,0,20,5,0.24882128190108216,0.7525232627812509,0.5222486053234311,0.24882128190108216,-0.20770719958623057,53.55147775251705
6,classic,5,0,25,0,0.30203501239806646,0.5657271390586249,-0.6890933148969023,0.30203501239806646,-0.13004294899428984,95.72426112374147
7,classic,5,0,25,5,0.21140261373302166,0.20444903001103476,0.6939897876142285,0.20444903001103476,-0.3478629019238105,50.68691133484898
8,classic,5,0,30,0,0.12367314752629655,0.4653231788556272,-0.5322091626337819,0.12367314752629655,-0.22037517232844808,93.49626502111074
9,classic,5,0,30,5,0.07943073214643559,0.09733659903333501,0.40892466587497717,0.07943073214643559,-0.44268919863404693,50.68691133484898
10,classic,10,0,10,0,-0.04858538317804344,-0.2117620401276205,-0.0800719661190736,-0.2117620401276205,0.013406275791845362,84.74342318934718
11,classic,10,0,10,5,-0.013826288443370709,0.7427882715782852,0.6790881205368904,-0.013826288443370709,-0.11477620781725388,46.86748944462488
12,classic,10,0,15,0,0.05261766917484726,0.5120991582318336,-0.08230854321560727,0.05261766917484726,-0.07879248700437048,76.94543683013966
13,classic,10,0,15,5,-0.008159053598431608,0.5129107580111392,0.09017871511953411,-0.008159053598431608,-0.24238928366583526,38.43293277037999
14,classic,10,0,20,0,-0.2892683564399485,0.5471871672995365,0.07204743305291185,-0.2892683564399485,-0.21847584152858768,71.69373173108153
15,classic,10,0,20,5,0.05455074393047704,0.3545831486234866,-0.47385559344654093,0.05455074393047704,-0.4073060173706545,35.727508931471256
16,classic,10,0,25,0,-0.35592745971928413,-0.0689994228660186,0.23235181755655787,-0.35592745971928413,-0.3648741448326176,63.41831763559597
17,classic,10,0,25,5,-0.35919658843294244,-0.22167664855338629,-0.3626618504895654,-0.35919658843294244,-0.5486825400712734,35.09093861643391
18,classic,10,0,30,0,-0.5270930031689341,-0.28010765547577443,0.19574399658079464,-0.5270930031689341,-0.4715723081245285,60.553751217927896
19,classic,10,0,30,5,-0.7601895220974751,-0.6377282432703304,-0.4580808634218242,-0.7601895220974751,-0.6448435350180081,32.86294251380318
20,slope,5,0,10,0,0.27601426793450273,-0.45939505904037886,-0.26040598596314213,-0.45939505904037886,0.12998336918411943,101.45339395907763
21,slope,5,0,10,5,0.2699813556200366,0.9390287657332294,0.008445279632624089,0.2699813556200366,0.009636478172575822,64.21403052939266
22,slope,5,0,15,0,0.38827017637131506,-0.339186571812924,-0.43969137463288765,-0.339186571812924,0.09368696028377405,95.56511854498214
23,slope,5,0,15,5,0.0067794157805905,0.824051615638457,0.3389887858611427,0.0067794157805905,-0.0515750456419491,58.48489769405651
24,slope,5,0,20,0,0.5888151989532929,-0.019354824205798638,-0.3414532491358592,-0.019354824205798638,0.03846787483366364,93.65540759987009
25,slope,5,0,20,5,0.06407254834122633,0.774080348847724,0.6200697960996183,0.06407254834122633,-0.16042942865177792,56.734329327703804
26,slope,5,0,25,0,0.33337681250576723,0.17169746915017614,-0.3201659380077556,0.17169746915017614,-0.06605132867538274,93.81455017862942
27,slope,5,0,25,5,0.06740488747991782,0.622552160626981,0.8191873516333741,0.06740488747991782,-0.29614133765214895,53.23319259499838
28,slope,5,0,30,0,0.3754072425685559,-0.325507676470371,0.03745871186884664,-0.325507676470371,-0.14908250053164485,89.83598570964598
29,slope,5,0,30,5,-0.0981613841932643,0.30162886586806303,0.34575835650938563,-0.0981613841932643,-0.3896500551400439,55.142903540110424
30,slope,10,0,10,0,0.43392872447972497,0.6665851139975293,0.45334301938972316,0.43392872447972497,0.02080162051420564,59.75803832413121
31,slope,10,0,10,5,-0.127172547095288,0.5740902205725686,0.4426432574943525,-0.127172547095288,-0.07996246251862321,52.43747970120169
