family,param,z_window,k,sharpe_full,ann_full,short_days,short_share,turnover,sharpe_2014-2019,sharpe_2020-2026
B1,5,20.0,5,-0.4944990030291239,-0.07626284012576634,1292,0.41961675868788567,26.9746670997077,-0.6228438185938745,-0.3576739236568783
B1,5,20.0,10,-0.5829307512072659,-0.11399766428983159,2037,0.6615784345566742,19.017538161740823,-0.6982218948901568,-0.4612887417194658
B1,5,20.0,20,-0.6800577812257912,-0.16315836915035878,2854,0.926924326079896,6.365703150373498,-0.731125959138206,-0.6302882426152784
B1,5,60.0,5,-0.8460804262432744,-0.12409403293595873,1117,0.36278012341669374,21.64339071126989,-0.8945814630509411,-0.8010562158182426
B1,5,60.0,10,-0.7746009029987753,-0.14411868071676046,1722,0.5592724910685287,15.595972718415068,-0.7979735753586525,-0.7596830594850756
B1,5,60.0,20,-0.8224708785425879,-0.18442808788549347,2434,0.7905164014290355,6.683988307892173,-0.8118188935748166,-0.8423060269267317
B1,10,20.0,5,-0.8687479753930348,-0.13899730476231803,1304,0.42351412796362453,18.380967846703474,-0.8501606913728607,-0.9004171040429819
B1,10,20.0,10,-0.8001037739919138,-0.1529829912100493,1856,0.6027931146476129,16.471256901591424,-0.705730434454882,-0.9115488258045178
B1,10,20.0,20,-0.7833656972583406,-0.181532956399265,2610,0.8476778174732056,8.11627151672621,-0.8537367089631016,-0.71346171290318
B1,10,60.0,5,-0.8631545952499007,-0.12104139191971335,1008,0.32737901916206563,14.32283208834037,-1.026267082497602,-0.6972498213649287
B1,10,60.0,10,-0.7749399486596759,-0.13309273721230397,1421,0.46151347840207857,11.696979538811304,-0.8495472724885842,-0.7013993554611758
B1,10,60.0,20,-0.8067098845807716,-0.1667935866503751,1991,0.6466385189996752,6.604417018512504,-0.8564565319208016,-0.7595384932358893
B1,20,20.0,5,-0.8484076524463902,-0.13821254779714556,1341,0.43553101656381943,14.561545956479376,-0.9587586455788604,-0.7346601510706539
B1,20,20.0,10,-0.6335468894989896,-0.12149706250859504,1752,0.5690159142578759,11.856122117570639,-0.8620118197675488,-0.39056300306102526
B1,20,20.0,20,-0.5547520115694277,-0.12501115396377988,2410,0.7827216628775576,9.548554725560246,-0.4589776114575203,-0.6702926482821241
B1,20,60.0,5,-1.0873417273713624,-0.15094532905914754,1008,0.32737901916206563,10.58298148749594,-1.2325533972216711,-0.9551626717086141
B1,20,60.0,10,-1.0291528740092912,-0.1632615474344576,1301,0.42253978564468986,8.514127963624553,-1.16343601548004,-0.9028101473087621
B1,20,60.0,20,-0.9292855812880018,-0.17073883285774843,1775,0.5764858720363755,7.161416044170185,-1.0089273012101705,-0.8519910637859116
B2,60,,5,-0.46291539403324833,-0.08951127270838309,1605,0.5212731406300747,11.060409223773952,-0.28135527681268335,-0.6946884942335818
B2,60,,10,-0.5140418127886021,-0.10150664823395565,1765,0.5732380643065931,9.309840857421241,-0.31636910576287364,-0.7653347130947291
B2,60,,20,-0.5203043382313035,-0.10678926141195914,2007,0.651835011367327,6.683988307892173,-0.47555125135768106,-0.5838729273169714
B2,120,,5,-0.5038734892546981,-0.0951770920359158,1591,0.5167262098083794,8.19584280610588,-0.4297071742725509,-0.6103415079432284
B2,120,,10,-0.5513226376094901,-0.10564813392704131,1699,0.5518025332900293,6.763559597271841,-0.43497045535667145,-0.7083769180941947
B2,120,,20,-0.5977576587314335,-0.11827683734429852,1870,0.6073400454693082,4.535563494641117,-0.5070093638090482,-0.7200898789784632
B2,250,,5,-0.5441847592530693,-0.09313947830660162,1401,0.4550178629425138,6.445274439753167,-0.5233460922577967,-0.5787121389684681
B2,250,,10,-0.5178875655842188,-0.09039736635994054,1512,0.4910685287430984,4.694706073400455,-0.4353064205940892,-0.6250667970324663
B2,250,,20,-0.5469676281239592,-0.0982797001727372,1670,0.5423838908736602,3.10328028580708,-0.48237614873134893,-0.6301769515731618
