signal,seg,window,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,n_obs
mixed,long,2021-2023,0.29123993870026976,-0.08104499804141947,0.7548874811399873,0.1601839816018398,0.2985512644528518,0.20973393716364572,20,10000,0,727
mixed,long,full,-0.2729215229591342,-0.557879535514958,0.020340530218412724,0.065993400659934,-0.2649381706309063,0.14608049840099047,20,10000,0,3036
mixed,full,2021-2023,0.4376964256339291,-0.08079179254544681,1.065771649038979,0.12958704129587043,0.4477388843802426,0.291311038750788,20,10000,0,727
mixed,full,full,-0.3593878143071836,-0.7133238522603801,-0.005966191637032381,0.04609539046095391,-0.3604658739528231,0.18058046353854085,20,10000,0,3036
rotation,long,2021-2023,0.0229355673790701,-0.4342423258912674,0.49977449547162855,0.9199080091990801,0.018164360709131997,0.23670873654336735,20,10000,0,727
rotation,long,full,-0.26630753048449796,-0.636028787951524,0.09244862387514488,0.1436856314368563,-0.2682348592654577,0.1849675816696873,20,10000,0,3036
rotation,full,2021-2023,0.11451784955561539,-0.5289845439467414,0.8248247217043172,0.7404259574042595,0.11645101042921165,0.3452531399721645,20,10000,0,727
rotation,full,full,-0.39341484676882454,-0.9874404339490712,0.11718921163339696,0.15648435156484353,-0.40604108071111117,0.28098227446603397,20,10000,0,3036
E50,long,2021-2023,0.14391595338148577,-0.1328937594974615,0.4881694808586789,0.35896410358964104,0.14688540974667438,0.1587532066058348,20,10000,0,727
E50,long,full,-0.17064128977154502,-0.3823428942188608,0.06158155233858571,0.12918708129187081,-0.16129278098253538,0.1120643849908434,20,10000,0,3036
E50,full,2021-2023,0.20693126456475452,-0.15916176271311375,0.640713653220448,0.3153684631536846,0.20970549252159998,0.20516900703226695,20,10000,0,727
E50,full,full,-0.215401370692206,-0.4875383456077801,0.06102042609261243,0.11488851114888511,-0.21132661161718033,0.13667221433110005,20,10000,0,3036
E5,long,2021-2023,0.06143805928005963,-0.16488304133862292,0.33653265832212326,0.6078392160783922,0.0635650229810784,0.12592972017654777,20,10000,0,727
E5,long,full,-0.17480159627699532,-0.3443957175759803,0.014036430175076454,0.05749425057494251,-0.1658713674015554,0.09097830554503254,20,10000,0,3036
E5,full,2021-2023,0.10008355516486755,-0.19228519465944469,0.45566298264207505,0.5277472252774722,0.10151527132909818,0.16406491822970415,20,10000,0,727
E5,full,full,-0.2362080526402066,-0.4424416187550116,-0.03213861685668191,0.0244975502449755,-0.23315760269604224,0.10441394932906692,20,10000,0,3036
