signal,kou_jing,window,seg,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
ew,500,full,full,0.31163963274831147,1.2820301243906607,-0.286696363703148,1.087002390692999,21.22364953886693,0.5317089452603472,3036
ew,500,full,long,0.2781785068491316,1.7666316710719212,-0.16664338782248356,1.6693041979286962,10.571475625823453,0.5603833865814697,3036
ew,500,full,short,0.03346112589917981,0.1804943751669087,-0.4737341494588305,0.07063270810728775,10.652173913043478,0.46025641025641023,3036
ew,500,2014-2020,full,0.32991677130728875,1.2356334370288111,-0.286696363703148,1.1507532465563188,22.8207381370826,0.5242951409718056,1707
ew,500,2014-2020,long,0.321438294919314,1.9398692976438199,-0.11981468370513504,2.682795505352052,11.338605741066198,0.5670225385527876,1707
ew,500,2014-2020,short,0.008478476387974705,0.04048863599945982,-0.4737341494588305,0.017897118874921892,11.482132396016404,0.4401330376940133,1707
ew,500,2021-2023,full,0.18872927829949793,1.1134717589937406,-0.1617698783048075,1.1666527803395723,16.85006877579092,0.5371900826446281,727
ew,500,2021-2023,long,0.1026975020373748,0.9284390166181534,-0.1314400358158464,0.7813258829391888,8.42503438789546,0.5487179487179488,727
ew,500,2021-2023,short,0.0860317762621231,0.6682301251911124,-0.17309038856381131,0.49703381554549303,8.42503438789546,0.4903047091412742,727
ew,500,2024-2026,full,0.3987625809928111,1.6134270377654265,-0.2452397508542189,1.6260111976294283,21.976744186046513,0.5440931780366056,602
ew,500,2024-2026,long,0.35950260655378036,2.0048040429433613,-0.16292553423965028,2.2065455131482405,10.988372093023257,0.5558912386706949,602
ew,500,2024-2026,short,0.03925997443903072,0.23040816191177324,-0.22010099394936466,0.1783725449602589,10.988372093023257,0.4831081081081081,602
ew,1000,full,full,0.4009200287719046,1.5170846835698173,-0.29857551233971247,1.3427759886609416,21.22364953886693,0.5327102803738317,3036
ew,1000,full,long,0.25567698625223345,1.4936124303156857,-0.17525563798797328,1.4588802345393248,10.571475625823453,0.5591054313099042,3036
ew,1000,full,short,0.14524304251967113,0.7187319355503113,-0.42809264260097746,0.33927946445706914,10.652173913043478,0.46474358974358976,3036
ew,1000,2014-2020,full,0.43986939595262875,1.546595012960378,-0.29857551233971247,1.4732266303612847,22.8207381370826,0.531493701259748,1707
ew,1000,2014-2020,long,0.26067444164770603,1.4651155757263699,-0.17337154308540537,1.5035595635166839,11.338605741066198,0.5551601423487544,1707
ew,1000,2014-2020,short,0.1791949543049227,0.8045236597867859,-0.42809264260097746,0.4185891941897941,11.482132396016404,0.46452328159645234,1707
ew,1000,2021-2023,full,0.2674380279961728,1.3453539435549038,-0.1417441896340964,1.8867653671487135,16.85006877579092,0.5261707988980716,727
ew,1000,2021-2023,long,0.131753523975514,1.0357723597638406,-0.13112304389356433,1.0048083087703594,8.42503438789546,0.5487179487179488,727
ew,1000,2021-2023,short,0.1356845040206588,0.8852486884158863,-0.1743209474658245,0.77836029457825,8.42503438789546,0.4709141274238227,727
ew,1000,2024-2026,full,0.4399471026748746,1.606138365936062,-0.25943482258268524,1.6957904813824973,21.976744186046513,0.5424292845257903,602
ew,1000,2024-2026,long,0.3817143722993536,1.9520927210356027,-0.1752556379879726,2.178043323921766,10.988372093023257,0.5800604229607251,602
ew,1000,2024-2026,short,0.05823273037552099,0.30287313821751083,-0.28734283216822154,0.20265941536147078,10.988372093023257,0.4560810810810811,602
ew,blend,full,full,0.35627983076010794,1.4165703438939936,-0.2925550608889208,1.217821457873814,21.22364953886693,0.5300400534045394,3036
ew,blend,full,long,0.26692774655068247,1.6369665241107185,-0.166666862423816,1.6015645981977733,10.571475625823453,0.5610223642172524,3036
ew,blend,full,short,0.08935208420942543,0.46540288986127465,-0.45114102091081476,0.19805799088948128,10.652173913043478,0.4564102564102564,3036
ew,blend,2014-2020,full,0.3848930836299588,1.4058156112534208,-0.2925550608889208,1.3156261336258253,22.8207381370826,0.5272945410917816,1707
ew,blend,2014-2020,long,0.29105636828351,1.7053473108535933,-0.1348188666457083,2.1588697155300944,11.338605741066198,0.5634638196915777,1707
ew,blend,2014-2020,short,0.0938367153464487,0.43729034646767795,-0.45114102091081476,0.20799863235003654,11.482132396016404,0.4501108647450111,1707
ew,blend,2021-2023,full,0.22808365314783535,1.2560757952402728,-0.15035075042658586,1.5170104073355148,16.85006877579092,0.5261707988980716,727
ew,blend,2021-2023,long,0.11722551300644438,1.000930606530241,-0.1312448943202561,0.8931815108967024,8.42503438789546,0.5384615384615384,727
ew,blend,2021-2023,short,0.11085814014139095,0.7964677798930749,-0.16343883344326526,0.6782851896692794,8.42503438789546,0.47645429362880887,727
ew,blend,2024-2026,full,0.4193548418338428,1.625397210393118,-0.2501863622216788,1.676169868373047,21.976744186046513,0.540765391014975,602
ew,blend,2024-2026,long,0.370608489426567,1.9896910755523474,-0.16666686242381534,2.2236483247890675,10.988372093023257,0.5800604229607251,602
ew,blend,2024-2026,short,0.04874635240727586,0.27246318105523004,-0.2540436926466262,0.1918817660829779,10.988372093023257,0.44932432432432434,602
mixed,500,full,full,0.22895934830596928,0.9353789717373876,-0.34639726709159757,0.6609733102929641,19.367588932806324,0.5189456342668863,3036
mixed,500,full,long,0.23940366918846315,1.497381482049631,-0.15335650654599575,1.561092349979031,9.683794466403162,0.5510597302504817,3036
mixed,500,full,short,-0.01044432088249385,-0.056369292686624,-0.5357551980597138,-0.01949457685211251,9.683794466403162,0.45056320400500627,3036
mixed,500,2014-2020,full,0.18101827627959652,0.671100797575238,-0.34639726709159757,0.5225742044660242,19.519625073227882,0.5023446658851114,1707
mixed,500,2014-2020,long,0.25155159259919135,1.4616026786383687,-0.14367439487487033,1.750844977062712,9.759812536613941,0.5492957746478874,1707
mixed,500,2014-2020,short,-0.07053331631959481,-0.34022284446663864,-0.5092203713012927,-0.13851236182745336,9.759812536613941,0.4240780911062907,1707
mixed,500,2021-2023,full,0.26122440830985194,1.5448749533882173,-0.14233716829880716,1.8352508443997273,16.85006877579092,0.5495867768595041,727
mixed,500,2021-2023,long,0.1389450670425518,1.2178276486335564,-0.13144003581584618,1.0570985178155348,8.42503438789546,0.5597014925373134,727
mixed,500,2021-2023,short,0.12227934126730017,0.9751194144263785,-0.1375693826877592,0.888855782284327,8.42503438789546,0.501432664756447,727
mixed,500,2024-2026,full,0.3164509994775163,1.2781049067573134,-0.2614111777826328,1.2105488455457323,21.976744186046513,0.5274542429284526,602
mixed,500,2024-2026,long,0.31834681579613294,1.8672523314177178,-0.14886798042265525,2.1384505579527953,10.988372093023257,0.543046357615894,602
mixed,500,2024-2026,short,-0.0018958163186166479,-0.01055968773859744,-0.2216091035695139,-0.008554776352055284,10.988372093023257,0.46932515337423314,602
mixed,1000,full,full,0.30666381877168225,1.1518865470713404,-0.3730246147570728,0.8221007586091681,19.367588932806324,0.5219110378912686,3036
mixed,1000,full,long,0.21281146551230395,1.2215133597993368,-0.19440186701160878,1.0946986712817723,9.683794466403162,0.5491329479768786,3036
mixed,1000,full,short,0.09385235325937828,0.46529040652109976,-0.37746777130595144,0.24863673244121157,9.683794466403162,0.4574468085106383,3036
mixed,1000,2014-2020,full,0.28207193584590634,0.9807123747609716,-0.3730246147570728,0.7561751280933614,19.519625073227882,0.5093786635404455,1707
