universe,signal,target,window,ic_monthly_pearson,ic_monthly_spearman,n_months,ic_d5_spearman,ic_d10_spearman,ic_d20_spearman
U2,v1_mixed,pair_blend(锚),full,0.09610368588262347,0.1196764300635584,150,0.1185223840959107,0.13293366753950783,0.07739201041115833
U2,v1_mixed,宽基blend,full,0.15343174897748532,0.2117043643287294,157,0.138944682026342,0.17148138485812012,0.19597142535234457
U2,v1_mixed,宽基blend,2014-19,0.07621803214742572,0.09591674148636174,78,0.11043522299962895,0.13379913121703468,0.15444869005520984
U2,v1_mixed,宽基blend,2020-26,0.2495484209100335,0.3271285676348967,78,0.16652208969468268,0.20784207298937032,0.24181511536060402
U2,v1_mixed,宽基500,full,0.13588899724167505,0.1809425759276602,157,0.13142809610274775,0.16312524170950676,0.1869358183334043
U2,v1_mixed,宽基500,2014-19,0.07052415057765604,0.06518797658038164,78,0.10263899762800315,0.12474742207320894,0.14434850932114146
U2,v1_mixed,宽基500,2020-26,0.21357165798564504,0.28061811606115405,78,0.16184166050285614,0.2017733054708113,0.23411016561503128
U2,v1_mixed,宽基1000,full,0.16589174250444216,0.21501311717388474,157,0.14399269574334742,0.17811272339516385,0.19893835114422875
U2,v1_mixed,宽基1000,2014-19,0.07995476934798885,0.10360525550398968,78,0.11732961785705885,0.1431147100067298,0.16207583209418824
U2,v1_mixed,宽基1000,2020-26,0.2760048207876124,0.34027997319136555,78,0.16800641597659682,0.21093104507249724,0.23911149796144515
U2,v2_pure_style,pair_blend(锚),full,0.14423397785766293,0.1713693941952976,150,0.12112282228786114,0.13997311507015284,0.08818718238307932
U2,v2_pure_style,宽基blend,full,0.1662559180108343,0.21762414800389485,157,0.1344924655415734,0.1660436288480549,0.18683276138755422
U2,v2_pure_style,宽基blend,2014-19,0.06816738304173474,0.062001289849391114,78,0.10639286129489656,0.12389349487842656,0.13199486649293765
U2,v2_pure_style,宽基blend,2020-26,0.2876760622384685,0.3687072421249636,78,0.168762374713472,0.21892272341448377,0.2629807956577872
U2,v2_pure_style,宽基500,full,0.14819494535051916,0.18672281519979658,157,0.1299286446260997,0.15842475102033263,0.17645672747839825
U2,v2_pure_style,宽基500,2014-19,0.06183326643329619,0.022875858318896294,78,0.0991621778156669,0.11331891136693588,0.122568897640216
U2,v2_pure_style,宽基500,2020-26,0.2504795886956668,0.32411891905562795,78,0.1689571347834368,0.21607190082505795,0.25222412548660367
U2,v2_pure_style,宽基1000,full,0.17893227015264107,0.22292063334553053,157,0.13692492111869117,0.17167092460200412,0.19133310303949863
U2,v2_pure_style,宽基1000,2014-19,0.07256606636181774,0.07689778575854524,78,0.11242385285858147,0.1339944307078187,0.13954492600943513
U2,v2_pure_style,宽基1000,2020-26,0.31431290848975657,0.3797341898607721,78,0.16609321460394705,0.218792843728154,0.2634690027452897
U2,rotation,pair_blend(锚),full,0.027398778093159163,0.04434152629005734,150,0.10001692698618023,0.10777668445036108,0.05506003282656137
U2,rotation,宽基blend,full,0.13844113864311466,0.19623974348637738,157,0.1371977471001045,0.1686384370263525,0.20422721837978247
U2,rotation,宽基blend,2014-19,0.11188414643773789,0.14892702234474386,78,0.11726807757440241,0.14525355866724446,0.20063103532682267
U2,rotation,宽基blend,2020-26,0.17264364078128047,0.25370831699945623,78,0.15979543384518535,0.1876173957737125,0.20235436005340277
U2,rotation,宽基500,full,0.12543083184287884,0.17001469867711907,157,0.12827802709765984,0.16223009057492202,0.19907339568158336
U2,rotation,宽基500,2014-19,0.10581925090092734,0.12859292606128048,78,0.11073375404814953,0.14195914202081455,0.19172281521296097
U2,rotation,宽基500,2020-26,0.14927020765360643,0.22146208222157587,78,0.14950226013870108,0.17871399339525204,0.20116840610858583
U2,rotation,宽基1000,full,0.14723085541854591,0.1953900731212672,157,0.14367959968438807,0.17400249854737992,0.20320200603224306
U2,rotation,宽基1000,2014-19,0.11541779056176411,0.15102618900087253,78,0.12342626116158104,0.1501414447665317,0.20608278441193215
U2,rotation,宽基1000,2020-26,0.1895778816728161,0.25899417038657546,78,0.16598946461199332,0.19369293625593753,0.1941943850853112
U0,v1_mixed,pair_blend(锚),full,0.08258262639388013,0.10510867149651096,150,0.09452763043387934,0.10735680163667904,0.05203494364191008
U0,v1_mixed,宽基blend,full,0.132276635080519,0.19562264712631558,157,0.11321225611107658,0.13926991048085582,0.15211750196355095
U0,v1_mixed,宽基blend,2014-19,0.037743549747143966,0.046523097156008546,78,0.08417013448109145,0.09292544471778232,0.09918735857733837
U0,v1_mixed,宽基blend,2020-26,0.2524549213512369,0.3440736478711162,78,0.14740916868621592,0.19131217182918764,0.2194605182801228
U0,v1_mixed,宽基500,full,0.1149763946047073,0.1665074826809891,157,0.10526089804639482,0.12949276104110086,0.14160883193086596
U0,v1_mixed,宽基500,2014-19,0.03197477854025378,0.018045245893347158,78,0.07475617898115212,0.08164796546028656,0.08505168550159496
U0,v1_mixed,宽基500,2020-26,0.21598811346289765,0.30107866816727574,78,0.14347327441124696,0.18507350714627407,0.21310511738766064
U0,v1_mixed,宽基1000,full,0.144912651575194,0.19611570401701822,157,0.11923696833753045,0.14764435289147637,0.1571623333628967
U0,v1_mixed,宽基1000,2014-19,0.04210369355598417,0.05239064732735619,78,0.09265984236981216,0.1047716695775826,0.11084011775619272
U0,v1_mixed,宽基1000,2020-26,0.2792835856066643,0.3543924430000379,78,0.14915598709464498,0.19496804191578448,0.2160927756598922
U0,v2_pure_style,pair_blend(锚),full,0.10764606424015126,0.12786523845504247,150,0.08788388967697883,0.09954777775783603,0.046347604795298376
U0,v2_pure_style,宽基blend,full,0.1134191365304858,0.17658568956642004,157,0.09694769377915981,0.11245830582885105,0.11541581131633456
U0,v2_pure_style,宽基blend,2014-19,0.020801513096812527,0.03321994461234967,78,0.0646666050452178,0.06139995432263281,0.05718315914887008
U0,v2_pure_style,宽基blend,2020-26,0.2306420266463535,0.31524172030501146,78,0.13331694952331952,0.1698844008918705,0.19680943833095343
U0,v2_pure_style,宽基500,full,0.0954430261994877,0.14920087571865367,157,0.0921241845048624,0.1039595828018114,0.1038814576170305
U0,v2_pure_style,宽基500,2014-19,0.012357036915661314,0.0005690512019625943,78,0.05626263538826179,0.04984330627532424,0.04233673925390224
U0,v2_pure_style,宽基500,2020-26,0.19614952211376888,0.2802893309222423,78,0.1342502378824176,0.16666735650555856,0.18916364263471036
U0,v2_pure_style,宽基1000,full,0.12698839830712763,0.17939828453413875,157,0.10057631911220032,0.1199345849070921,0.12229650749639298
U0,v2_pure_style,宽基1000,2014-19,0.027685115016972555,0.045966691536311784,78,0.07199511549598414,0.07353208396423491,0.07031514715451705
U0,v2_pure_style,宽基1000,2020-26,0.25621490627087035,0.32497881864970474,78,0.13163612605220776,0.17134555995808512,0.19570650806379347
U0,rotation,pair_blend(锚),full,0.06347680213026206,0.07624694430863595,150,0.09804745398868105,0.10824523333956729,0.06475712109167035
U0,rotation,宽基blend,full,0.1582334886388339,0.20370071756833022,157,0.13102703912658006,0.16500937765758097,0.19487416710171168
U0,rotation,宽基blend,2014-19,0.09896498688851318,0.11703486387030688,78,0.11093343464692339,0.12765534273056203,0.1626185470757935
U0,rotation,宽基blend,2020-26,0.2341558662616713,0.29020346741865727,78,0.1548672265816742,0.20300678778956063,0.23006441769399696
U0,rotation,宽基500,full,0.14359177696170047,0.17476851134030846,157,0.1205952161026593,0.15592440983354472,0.1865905643434871
U0,rotation,宽基500,2014-19,0.09504936061873077,0.09824352862327546,78,0.10274787231576105,0.12096308155720133,0.15082231321664205
U0,rotation,宽基500,2020-26,0.2029339757424939,0.2519885178113026,78,0.14337031033320105,0.19251762396543826,0.22528873294350385
U0,rotation,宽基1000,full,0.1680808639748801,0.20289136003076177,157,0.1389558122304173,0.17271854782203183,0.19710221241168246
U0,rotation,宽基1000,2014-19,0.1008575475855903,0.11771772531266202,78,0.11841468898575233,0.1358248583083141,0.17149544207496242
U0,rotation,宽基1000,2020-26,0.25669085840953815,0.3019132765968208,78,0.16251793942055842,0.21007219171613295,0.22462802638221807
-,ew_生产锚,宽基blend,full,0.19122552438342535,0.2723693704072676,151,0.16242190335451598,0.20620913892338114,0.23264953309922226
-,ew_生产锚,宽基blend,2014-19,0.11174733487013194,0.14564295178022832,71,0.15104453104419038,0.16738952509390298,0.16862085350420145
-,ew_生产锚,宽基blend,2020-26,0.2716710745106062,0.35686682611923093,79,0.17944739766153894,0.25198488131995606,0.3068122809633959
-,ew_生产锚,宽基500,full,0.17843797798697197,0.2426916789546947,151,0.15705833465750818,0.20137880722276583,0.22593243001545188
-,ew_生产锚,宽基500,2014-19,0.11137504721321015,0.11720518454337969,71,0.14452209224186136,0.16095533732589148,0.16262170192647793
-,ew_生产锚,宽基500,2020-26,0.24451702271916279,0.3157395066970999,79,0.17660207113075843,0.2493650908559058,0.2988277172849805
-,ew_生产锚,宽基1000,full,0.19904622834499572,0.26767956667840076,151,0.16487643309018757,0.20902605173527544,0.23390328332362909
-,ew_生产锚,宽基1000,2014-19,0.1104475256325939,0.1389694663083735,71,0.1550922290548282,0.1746210384613544,0.17417703893207268
-,ew_生产锚,宽基1000,2020-26,0.29021206803095523,0.359885344975901,79,0.17876301876887712,0.2509693404627482,0.305183611100251
