axis,row,target,k,window,partial_ic,partial_p,ic,ic_p,n_windows
lowvol,primary,blend,20,full,0.01410241366493348,0.8680659670164917,-0.16834591683928762,0.044977511244377814,132
lowvol,ref_k,blend,5,full,0.023352110558913026,,,,533
lowvol,ref_k,blend,10,full,-0.04777051524756595,,,,266
lowvol,ref_target,500,20,full,0.018883330840603077,,,,132
lowvol,ref_target,1000,20,full,0.014864520233321011,,,,132
lowvol,ref_half,blend,20,h1,-0.0671755766068613,,,,64
lowvol,ref_half,blend,20,h2,0.05628520704185132,,,,67
momentum,primary,blend,20,full,0.07293543578803127,0.3633183408295852,0.11306371410831033,0.1629185407296352,132
momentum,ref_k,blend,5,full,0.025574660262214874,,,,533
momentum,ref_k,blend,10,full,0.06462796791336052,,,,266
momentum,ref_target,500,20,full,0.09347547820851371,,,,132
momentum,ref_target,1000,20,full,0.05309863274683011,,,,132
momentum,ref_half,blend,20,h1,-0.12740623433003842,,,,64
momentum,ref_half,blend,20,h2,0.03828751030887115,,,,67
liquidity,primary,blend,20,full,-0.020369243202698117,0.8220889555222389,0.12950488643538058,0.14742628685657172,132
liquidity,ref_k,blend,5,full,-0.04959591095989217,,,,533
liquidity,ref_k,blend,10,full,-0.001331182205823489,,,,266
liquidity,ref_target,500,20,full,-0.02214934832718549,,,,132
liquidity,ref_target,1000,20,full,-0.03308808535407898,,,,132
liquidity,ref_half,blend,20,h1,0.07257419714475306,,,,64
liquidity,ref_half,blend,20,h2,-0.12276798849771797,,,,67
dividend,primary,blend,20,full,0.15979760180919136,0.06296851574212893,-0.03989501860132635,0.6636681659170415,132
dividend,ref_k,blend,5,full,0.022027372747337695,,,,533
dividend,ref_k,blend,10,full,0.017994066659938482,,,,266
dividend,ref_target,500,20,full,0.18554314244840703,,,,132
dividend,ref_target,1000,20,full,0.14566019209828646,,,,132
dividend,ref_half,blend,20,h1,-0.00607130893800943,,,,64
dividend,ref_half,blend,20,h2,0.21749440714958554,,,,67
ew_anchor,magnitude,blend,20,full,,,0.20098824437916438,,132
