axis,row,target,k,window,partial_ic,partial_p,ic,ic_p,n_windows
dividend,primary,blend,20,full,0.15715418152500354,0.06496751624187906,-0.03957673503675913,0.670664667666167,132
dividend,ref_k,blend,5,full,0.027682435697458832,,,,534
dividend,ref_k,blend,10,full,0.024901032448432073,,,,266
dividend,ref_target,500,20,full,0.18180369928658519,,,,132
dividend,ref_target,1000,20,full,0.14435846481798525,,,,132
dividend,ref_half,blend,20,h1,-0.00607130893800943,,,,64
dividend,ref_half,blend,20,h2,0.2229086478291245,,,,67
liquidity,primary,blend,20,full,-0.018691553321423245,0.809095452273863,0.13091368254084204,0.14192903548225888,132
liquidity,ref_k,blend,5,full,-0.04881164054910775,,,,534
liquidity,ref_k,blend,10,full,-0.0020051686355061016,,,,266
liquidity,ref_target,500,20,full,-0.02012040579047401,,,,132
liquidity,ref_target,1000,20,full,-0.03180445046390513,,,,132
liquidity,ref_half,blend,20,h1,0.07257419714475306,,,,64
liquidity,ref_half,blend,20,h2,-0.1122132128902544,,,,67
lowvol,primary,blend,20,full,0.007467087327359657,0.9320339830084957,-0.1719096492097697,0.04597701149425287,132
lowvol,ref_k,blend,5,full,0.022073445093314697,,,,534
lowvol,ref_k,blend,10,full,-0.050302973824953495,,,,266
lowvol,ref_target,500,20,full,0.012004851724628925,,,,132
lowvol,ref_target,1000,20,full,0.008415236362246633,,,,132
lowvol,ref_half,blend,20,h1,-0.0671755766068613,,,,64
lowvol,ref_half,blend,20,h2,0.05517341890674229,,,,67
momentum,primary,blend,20,full,0.07380408192657648,0.3798100949525237,0.11420640428274013,0.16941529235382308,132
momentum,ref_k,blend,5,full,0.025435864011272357,,,,534
momentum,ref_k,blend,10,full,0.0644873550428651,,,,266
momentum,ref_target,500,20,full,0.0941912612161954,,,,132
momentum,ref_target,1000,20,full,0.054298879379068854,,,,132
momentum,ref_half,blend,20,h1,-0.12740623433003842,,,,64
momentum,ref_half,blend,20,h2,0.040442806865283336,,,,67
ew_anchor,magnitude,blend,20,full,,,0.20098824437916438,,132
