date,symbol,open,close,oi
2014-01-02,000852.SH,,4539.5000,1.0
2014-01-02,000905.SH,,3847.8790,1.0
2014-01-03,000852.SH,,4531.7470,1.0
2014-01-03,000905.SH,,3816.3160,1.0
2014-01-06,000852.SH,,4411.2700,1.0
2014-01-06,000905.SH,,3710.8980,1.0
2014-01-07,000852.SH,,4458.5570,1.0
2014-01-07,000905.SH,,3733.6620,1.0
2014-01-08,000852.SH,,4504.6730,1.0
2014-01-08,000905.SH,,3738.2050,1.0
2014-01-09,000852.SH,,4431.8000,1.0
2014-01-09,000905.SH,,3696.0230,1.0
2014-01-10,000852.SH,,4354.8440,1.0
2014-01-10,000905.SH,,3628.6340,1.0
2014-01-13,000852.SH,,4346.7130,1.0
2014-01-13,000905.SH,,3612.0200,1.0
2014-01-14,000852.SH,,4447.6990,1.0
2014-01-14,000905.SH,,3683.5340,1.0
2014-01-15,000852.SH,,4494.0950,1.0
2014-01-15,000905.SH,,3708.1420,1.0
2014-01-16,000852.SH,,4485.2690,1.0
2014-01-16,000905.SH,,3714.3140,1.0
2014-01-17,000852.SH,,4445.2000,1.0
2014-01-17,000905.SH,,3671.9150,1.0
2014-01-20,000852.SH,,4415.0960,1.0
2014-01-20,000905.SH,,3644.1250,1.0
2014-01-21,000852.SH,,4486.8690,1.0
2014-01-21,000905.SH,,3700.1080,1.0
2014-01-22,000852.SH,,4584.0790,1.0
2014-01-22,000905.SH,,3799.0420,1.0
2014-01-23,000852.SH,,4627.3410,1.0
2014-01-23,000905.SH,,3825.4860,1.0
2014-01-24,000852.SH,,4695.2870,1.0
2014-01-24,000905.SH,,3882.6680,1.0
2014-01-27,000852.SH,,4682.0530,1.0
2014-01-27,000905.SH,,3881.9470,1.0
2014-01-28,000852.SH,,4667.7340,1.0
2014-01-28,000905.SH,,3873.8100,1.0
2014-01-29,000852.SH,,4730.8600,1.0
2014-01-29,000905.SH,,3908.4500,1.0
2014-01-30,000852.SH,,4714.6790,1.0
2014-01-30,000905.SH,,3885.4160,1.0
2014-02-07,000852.SH,,4818.2460,1.0
2014-02-07,000905.SH,,3957.6710,1.0
2014-02-10,000852.SH,,4943.3780,1.0
2014-02-10,000905.SH,,4074.6300,1.0
2014-02-11,000852.SH,,4941.8080,1.0
2014-02-11,000905.SH,,4080.3780,1.0
2014-02-12,000852.SH,,5005.0260,1.0
2014-02-12,000905.SH,,4125.4120,1.0
2014-02-13,000852.SH,,4901.6790,1.0
2014-02-13,000905.SH,,4064.4230,1.0
2014-02-14,000852.SH,,5000.5900,1.0
2014-02-14,000905.SH,,4134.1600,1.0
2014-02-17,000852.SH,,5117.3940,1.0
2014-02-17,000905.SH,,4212.7450,1.0
2014-02-18,000852.SH,,5120.2430,1.0
2014-02-18,000905.SH,,4207.6990,1.0
2014-02-19,000852.SH,,5120.1360,1.0
2014-02-19,000905.SH,,4207.9940,1.0
2014-02-20,000852.SH,,5035.1680,1.0
2014-02-20,000905.SH,,4149.0710,1.0
2014-02-21,000852.SH,,5030.7800,1.0
2014-02-21,000905.SH,,4121.9170,1.0
2014-02-24,000852.SH,,5064.4880,1.0
2014-02-24,000905.SH,,4105.7920,1.0
2014-02-25,000852.SH,,4849.3720,1.0
2014-02-25,000905.SH,,3961.4390,1.0
2014-02-26,000852.SH,,4881.7270,1.0
2014-02-26,000905.SH,,3987.4800,1.0
2014-02-27,000852.SH,,4795.5510,1.0
2014-02-27,000905.SH,,3934.7270,1.0
2014-02-28,000852.SH,,4842.5240,1.0
2014-02-28,000905.SH,,3975.9290,1.0
2014-03-03,000852.SH,,4954.1740,1.0
2014-03-03,000905.SH,,4058.7990,1.0
2014-03-04,000852.SH,,4961.9440,1.0
2014-03-04,000905.SH,,4059.5670,1.0
2014-03-05,000852.SH,,4963.6620,1.0
2014-03-05,000905.SH,,4037.7840,1.0
2014-03-06,000852.SH,,4962.3950,1.0
2014-03-06,000905.SH,,4032.7560,1.0
2014-03-07,000852.SH,,4949.8350,1.0
2014-03-07,000905.SH,,4012.4470,1.0
2014-03-10,000852.SH,,4760.6720,1.0
2014-03-10,000905.SH,,3860.2440,1.0
2014-03-11,000852.SH,,4746.7330,1.0
2014-03-11,000905.SH,,3864.2600,1.0
2014-03-12,000852.SH,,4726.8630,1.0
2014-03-12,000905.SH,,3865.6620,1.0
2014-03-13,000852.SH,,4794.0040,1.0
2014-03-13,000905.SH,,3907.1460,1.0
2014-03-14,000852.SH,,4785.0440,1.0
2014-03-14,000905.SH,,3888.9750,1.0
2014-03-17,000852.SH,,4903.1330,1.0
2014-03-17,000905.SH,,3967.1500,1.0
2014-03-18,000852.SH,,4934.4190,1.0
2014-03-18,000905.SH,,3989.2010,1.0
2014-03-19,000852.SH,,4937.7280,1.0
2014-03-19,000905.SH,,3980.6730,1.0
2014-03-20,000852.SH,,4798.3980,1.0
2014-03-20,000905.SH,,3876.5780,1.0
2014-03-21,000852.SH,,4870.0130,1.0
2014-03-21,000905.SH,,3952.3920,1.0
2014-03-24,000852.SH,,4876.4710,1.0
2014-03-24,000905.SH,,3985.8610,1.0
2014-03-25,000852.SH,,4876.2890,1.0
2014-03-25,000905.SH,,3991.1440,1.0
2014-03-26,000852.SH,,4903.9160,1.0
2014-03-26,000905.SH,,4001.5020,1.0
2014-03-27,000852.SH,,4804.2070,1.0
2014-03-27,000905.SH,,3944.0440,1.0
2014-03-28,000852.SH,,4671.7880,1.0
2014-03-28,000905.SH,,3865.2950,1.0
2014-03-31,000852.SH,,4633.2700,1.0
2014-03-31,000905.SH,,3840.5360,1.0
2014-04-01,000852.SH,,4714.9480,1.0
2014-04-01,000905.SH,,3899.4880,1.0
2014-04-02,000852.SH,,4683.7830,1.0
2014-04-02,000905.SH,,3902.0430,1.0
2014-04-03,000852.SH,,4686.9520,1.0
2014-04-03,000905.SH,,3896.2800,1.0
2014-04-04,000852.SH,,4743.6820,1.0
2014-04-04,000905.SH,,3939.2290,1.0
2014-04-08,000852.SH,,4774.5310,1.0
2014-04-08,000905.SH,,3981.6250,1.0
2014-04-09,000852.SH,,4830.5360,1.0
2014-04-09,000905.SH,,4018.5470,1.0
2014-04-10,000852.SH,,4849.6570,1.0
2014-04-10,000905.SH,,4038.8400,1.0
2014-04-11,000852.SH,,4822.7120,1.0
2014-04-11,000905.SH,,4021.1940,1.0
2014-04-14,000852.SH,,4858.1570,1.0
2014-04-14,000905.SH,,4051.3300,1.0
2014-04-15,000852.SH,,4838.6520,1.0
2014-04-15,000905.SH,,4021.9060,1.0
2014-04-16,000852.SH,,4847.6370,1.0
2014-04-16,000905.SH,,4019.8830,1.0
2014-04-17,000852.SH,,4847.6820,1.0
2014-04-17,000905.SH,,4014.9400,1.0
2014-04-18,000852.SH,,4870.3090,1.0
2014-04-18,000905.SH,,4029.2620,1.0
2014-04-21,000852.SH,,4794.8770,1.0
2014-04-21,000905.SH,,3965.3370,1.0
2014-04-22,000852.SH,,4748.0120,1.0
2014-04-22,000905.SH,,3947.1690,1.0
2014-04-23,000852.SH,,4730.8260,1.0
2014-04-23,000905.SH,,3929.1680,1.0
2014-04-24,000852.SH,,4682.8270,1.0
2014-04-24,000905.SH,,3884.8110,1.0
2014-04-25,000852.SH,,4582.6320,1.0
2014-04-25,000905.SH,,3800.6810,1.0
2014-04-28,000852.SH,,4424.4110,1.0
2014-04-28,000905.SH,,3684.5930,1.0
2014-04-29,000852.SH,,4479.2590,1.0
2014-04-29,000905.SH,,3738.9260,1.0
2014-04-30,000852.SH,,4525.3060,1.0
2014-04-30,000905.SH,,3766.1700,1.0
2014-05-05,000852.SH,,4577.4070,1.0
2014-05-05,000905.SH,,3798.2880,1.0
2014-05-06,000852.SH,,4612.1490,1.0
2014-05-06,000905.SH,,3817.9800,1.0
2014-05-07,000852.SH,,4533.0140,1.0
2014-05-07,000905.SH,,3749.9650,1.0
2014-05-08,000852.SH,,4532.2640,1.0
2014-05-08,000905.SH,,3754.0110,1.0
2014-05-09,000852.SH,,4481.8350,1.0
2014-05-09,000905.SH,,3716.0220,1.0
2014-05-12,000852.SH,,4576.4220,1.0
2014-05-12,000905.SH,,3812.7580,1.0
2014-05-13,000852.SH,,4574.8040,1.0
2014-05-13,000905.SH,,3806.8900,1.0
2014-05-14,000852.SH,,4577.6810,1.0
2014-05-14,000905.SH,,3803.8030,1.0
2014-05-15,000852.SH,,4491.7520,1.0
2014-05-15,000905.SH,,3732.3370,1.0
2014-05-16,000852.SH,,4472.1690,1.0
2014-05-16,000905.SH,,3726.6560,1.0
2014-05-19,000852.SH,,4458.3790,1.0
2014-05-19,000905.SH,,3705.3640,1.0
2014-05-20,000852.SH,,4480.0280,1.0
2014-05-20,000905.SH,,3715.7100,1.0
2014-05-21,000852.SH,,4518.6570,1.0
2014-05-21,000905.SH,,3747.3340,1.0
2014-05-22,000852.SH,,4527.5980,1.0
2014-05-22,000905.SH,,3746.1400,1.0
2014-05-23,000852.SH,,4582.4580,1.0
2014-05-23,000905.SH,,3786.5630,1.0
2014-05-26,000852.SH,,4645.0040,1.0
2014-05-26,000905.SH,,3827.4870,1.0
2014-05-27,000852.SH,,4624.3400,1.0
2014-05-27,000905.SH,,3818.3220,1.0
2014-05-28,000852.SH,,4690.6190,1.0
2014-05-28,000905.SH,,3861.5880,1.0
2014-05-29,000852.SH,,4635.0070,1.0
2014-05-29,000905.SH,,3821.8670,1.0
2014-05-30,000852.SH,,4648.2330,1.0
2014-05-30,000905.SH,,3829.2380,1.0
2014-06-03,000852.SH,,4640.2420,1.0
2014-06-03,000905.SH,,3822.7160,1.0
2014-06-04,000852.SH,,4610.7240,1.0
2014-06-04,000905.SH,,3789.2940,1.0
2014-06-05,000852.SH,,4671.3330,1.0
2014-06-05,000905.SH,,3832.0550,1.0
2014-06-06,000852.SH,,4662.3110,1.0
2014-06-06,000905.SH,,3818.3330,1.0
2014-06-09,000852.SH,,4627.4270,1.0
2014-06-09,000905.SH,,3797.4290,1.0
2014-06-10,000852.SH,,4686.0870,1.0
2014-06-10,000905.SH,,3840.0190,1.0
2014-06-11,000852.SH,,4717.9420,1.0
2014-06-11,000905.SH,,3858.0510,1.0
2014-06-12,000852.SH,,4712.0430,1.0
2014-06-12,000905.SH,,3850.1130,1.0
2014-06-13,000852.SH,,4766.5180,1.0
2014-06-13,000905.SH,,3891.5570,1.0
2014-06-16,000852.SH,,4800.5990,1.0
2014-06-16,000905.SH,,3914.9810,1.0
2014-06-17,000852.SH,,4757.4840,1.0
2014-06-17,000905.SH,,3879.3440,1.0
2014-06-18,000852.SH,,4721.7030,1.0
2014-06-18,000905.SH,,3858.0990,1.0
2014-06-19,000852.SH,,4581.9070,1.0
2014-06-19,000905.SH,,3755.6940,1.0
2014-06-20,000852.SH,,4635.0640,1.0
2014-06-20,000905.SH,,3789.3420,1.0
2014-06-23,000852.SH,,4697.4170,1.0
2014-06-23,000905.SH,,3815.8790,1.0
2014-06-24,000852.SH,,4733.7560,1.0
2014-06-24,000905.SH,,3839.2030,1.0
2014-06-25,000852.SH,,4715.8480,1.0
2014-06-25,000905.SH,,3814.0300,1.0
2014-06-26,000852.SH,,4793.3610,1.0
2014-06-26,000905.SH,,3861.9500,1.0
2014-06-27,000852.SH,,4829.4790,1.0
2014-06-27,000905.SH,,3889.3230,1.0
2014-06-30,000852.SH,,4884.3970,1.0
2014-06-30,000905.SH,,3924.9030,1.0
2014-07-01,000852.SH,,4915.7400,1.0
2014-07-01,000905.SH,,3951.7260,1.0
2014-07-02,000852.SH,,4945.5310,1.0
2014-07-02,000905.SH,,3979.3100,1.0
2014-07-03,000852.SH,,4980.7150,1.0
2014-07-03,000905.SH,,4019.6470,1.0
2014-07-04,000852.SH,,4977.5850,1.0
2014-07-04,000905.SH,,4004.5610,1.0
2014-07-07,000852.SH,,4970.8680,1.0
2014-07-07,000905.SH,,4014.4880,1.0
