date,ret,equity,gross_pnl,pre_fill_pnl,post_fill_pnl,cost,cost_return,trade_notional,turnover,net_notional,gross_notional,rolls,symbols,decision_signal
2015-04-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-05-04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-05-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-05-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-05-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-05-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-05-11,-0.0010000000000000009,0.999,0.0,0.0,0.0,0.001,0.001,1.0,1.0,1.001001001001001,1.001001001001001,0,000852.SH|000905.SH,1.0
2015-05-12,0.02396226936916146,1.0229383070997924,0.023940343350491743,0.023940343350491743,0.0,2.036250699428265e-06,2.0382889884166817e-06,0.0020362506994282647,0.0020382889884166815,1.0000019905899362,1.0000019905899362,0,000852.SH|000905.SH,1.0
2015-05-13,0.008415255057934168,1.0315465938625685,0.008608947427738559,0.008608947427738559,0.0,6.606649626181133e-07,6.458502512152596e-07,0.0006606649626181133,0.0006458502512152596,1.0000006404606117,1.0000006404606117,0,000852.SH|000905.SH,1.0
2015-05-14,0.0026556227241216757,1.0342859924382204,0.002743490510907019,0.002743490510907019,0.0,4.091935255134379e-06,3.96679634199785e-06,0.004091935255134379,0.00396679634199785,1.0000039562899286,1.0000039562899286,0,000852.SH|000905.SH,1.0
2015-05-15,-0.0036997590319217677,1.0304593834961069,-0.0038221566776608733,-0.0038221566776608733,0.0,4.4522644526580115e-06,4.3046744181097016e-06,0.004452264452658011,0.004304674418109701,1.0000043206598184,1.0000043206598184,0,000852.SH|000905.SH,1.0
2015-05-18,0.02364250535299317,1.0548220249864557,0.024368067773683423,0.024368067773683423,0.0,5.426283334670625e-06,5.2658876434901475e-06,0.005426283334670625,0.005265887643490148,1.000005144264346,1.000005144264346,0,000852.SH|000905.SH,1.0
2015-05-19,0.024946768226459026,1.081136425563957,0.02631450455522298,0.02631450455522298,0.0,1.0397772150840226e-07,9.857371105778472e-08,0.00010397772150840227,9.857371105778473e-05,1.0000000961744688,1.0000000961744688,0,000852.SH|000905.SH,1.0
2015-05-20,0.02107269883631857,1.1039188878608404,0.022787181075119557,0.022787181075119557,0.0,4.718778236180211e-06,4.364646426299751e-06,0.0047187782361802115,0.0043646464262997505,1.0000042745697062,1.0000042745697062,0,000852.SH|000905.SH,1.0
2015-05-21,0.03712318135489756,1.1448998689359953,0.040981280110585425,0.040981280110585425,0.0,2.9903543040245474e-07,2.708853283432098e-07,0.00029903543040245474,0.0002708853283432098,1.0000002611891559,1.0000002611891559,0,000852.SH|000905.SH,1.0
2015-05-22,0.012279674149010322,1.1589588662597738,0.014063851797494305,0.014063851797494305,0.0,4.854473715774596e-06,4.240085834131562e-06,0.004854473715774596,0.004240085834131562,1.00000418865057,1.00000418865057,0,000852.SH|000905.SH,1.0
2015-05-25,0.020897917953405676,1.1831786935582427,0.024226644763975562,0.024226644763975562,0.0,6.817465506830087e-06,5.882405066567731e-06,0.0068174655068300866,0.005882405066567731,1.0000057619914422,1.0000057619914422,0,000852.SH|000905.SH,1.0
2015-05-26,0.0369276529954079,1.2268707057855215,0.043696408137505416,0.043696408137505416,0.0,4.3959102264996336e-06,3.7153392386399004e-06,0.0043959102264996336,0.0037153392386399006,1.0000035830264802,1.0000035830264802,0,000852.SH|000905.SH,1.0
2015-05-27,0.012726428015626956,1.2424843875071825,0.015614659383731811,0.015614659383731811,0.0,9.776620707630395e-07,7.968745737857335e-07,0.0009776620707630395,0.0007968745737857336,1.0000007868606484,1.0000007868606484,0,000852.SH|000905.SH,1.0
2015-05-28,-0.05806598736042334,1.1703383047666671,-0.07214378681918736,-0.07214378681918736,0.0,2.2959213279038044e-06,1.847847225275925e-06,0.002295921327903804,0.001847847225275925,1.00000196175868,1.00000196175868,0,000852.SH|000905.SH,1.0
2015-05-29,0.013105098014549732,1.1856757029608163,0.015341067074026842,0.015341067074026842,0.0,3.668879877741809e-06,3.1348883163089165e-06,0.0036688798777418092,0.003134888316308917,1.0000030943367302,1.0000030943367302,0,000852.SH|000905.SH,1.0
2015-06-01,0.051643050801477575,1.2469076135228994,0.061232712554957575,0.061232712554957575,0.0,8.01992874584786e-07,6.764015426664183e-07,0.000801992874584786,0.0006764015426664182,1.0000006431854822,1.0000006431854822,0,000852.SH|000905.SH,1.0
2015-06-02,0.04034504208804157,1.2972141536703803,0.05030952252472368,0.05030952252472368,0.0,2.982377242721686e-06,2.3918189370065265e-06,0.0029823772427216857,0.002391818937006526,1.0000022990631379,1.0000022990631379,0,000852.SH|000905.SH,1.0
2015-06-03,0.007108660960284174,1.3064356092817049,0.009223384357310021,0.009223384357310021,0.0,1.928745985383444e-06,1.4868369882691973e-06,0.001928745985383444,0.0014868369882691974,1.0000014763421723,1.0000014763421723,0,000852.SH|000905.SH,1.0
2015-06-04,-0.0023349081470502853,1.3033852021339964,-0.0030490928341686614,-0.0030490928341686614,0.0,1.314313539793666e-06,1.0060300947524635e-06,0.001314313539793666,0.0010060300947524637,1.00000100838458,1.00000100838458,0,000852.SH|000905.SH,1.0
2015-06-05,0.012643087607603798,1.3198640154310308,0.01779999981329525,0.01779999981329525,0.0,0.0013211865162608314,0.0010136577537459297,1.3211865162608314,1.0136577537459297,0.0,0.0,0,,0.0
2015-06-08,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-09,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-10,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-11,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-12,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-15,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-16,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-17,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-18,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-19,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-23,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-24,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-25,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-26,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-29,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-06-30,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-07-01,0.0,1.3198640154310308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
