date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-01-02,2540.619,2319.727,4274.352,4549.976,1524.6781,1213.7665,1018.2101,1018.096
2014-01-03,2506.075,2279.053,4259.377,4482.168,1534.8024,1198.3468,1013.6578,1012.0092
2014-01-06,2449.293,2231.252,4156.244,4345.601,1498.9831,1159.3395,982.5679,976.0767
2014-01-07,2450.942,2227.226,4184.382,4368.444,1518.4669,1167.8316,991.7412,987.5524
2014-01-08,2459.667,2228.694,4198.343,4341.692,1550.2309,1165.9495,999.3754,993.6659
2014-01-09,2445.414,2218.419,4153.483,4289.621,1526.2955,1148.3514,979.2913,968.3923
2014-01-10,2437.445,2215.457,4063.843,4225.029,1496.2091,1126.8325,964.7154,951.6966
2014-01-13,2423.472,2208.252,4056.083,4200.4,1500.5828,1122.6333,970.414,957.783
2014-01-14,2436.316,2223.209,4140.801,4289.763,1538.4878,1147.2746,989.8866,980.1938
2014-01-15,2427.897,2209.462,4169.698,4299.564,1557.5911,1154.2773,997.4152,990.8268
2014-01-16,2420.976,2213.638,4173.003,4309.592,1549.4947,1160.1464,999.79,995.5912
2014-01-17,2379.306,2184.895,4126.284,4265.741,1538.8311,1144.955,994.3529,988.7263
2014-01-20,2363.743,2175.834,4088.16,4243.187,1527.6745,1140.8817,986.109,981.6422
2014-01-21,2381.471,2193.445,4141.068,4317.777,1555.0359,1161.4757,1006.0997,1001.0145
2014-01-22,2449.031,2244.408,4256.214,4445.526,1584.5619,1193.5305,1024.8354,1017.2855
2014-01-23,2435.846,2223.241,4301.092,4448.404,1608.9214,1195.1262,1037.299,1026.8759
2014-01-24,2451.295,2227.868,4376.977,4523.012,1638.2982,1211.2873,1048.1058,1037.1113
2014-01-27,2423.065,2198.684,4385.457,4498.721,1634.6106,1208.3284,1045.2227,1038.5575
2014-01-28,2430.15,2212.496,4356.075,4508.595,1625.8305,1209.9868,1042.6209,1033.2044
2014-01-29,2437.312,2221.121,4389.043,4540.955,1652.5147,1222.6066,1054.6791,1045.8232
2014-01-30,2405.584,2197.076,4357.37,4490.812,1647.9483,1219.7508,1050.0751,1039.0462
2014-02-07,2414.719,2197.135,4434.635,4553.284,1681.2109,1241.8441,1069.6255,1059.6903
2014-02-10,2470.334,2237.992,4551.115,4700.702,1716.1844,1278.5381,1100.1859,1087.8456
2014-02-11,2498.55,2267.023,4549.212,4706.037,1707.7998,1285.7938,1103.4578,1092.3866
2014-02-12,2505.862,2267.049,4594.721,4763.117,1726.2603,1302.0133,1122.3176,1113.0044
2014-02-13,2508.993,2272.803,4516.464,4699.938,1679.2951,1281.8829,1098.2915,1088.3577
2014-02-14,2519.209,2279.297,4603.72,4775.734,1712.5027,1311.5026,1129.6302,1117.9781
2014-02-17,2526.787,2284.133,4695.402,4842.211,1755.8,1335.1633,1155.2894,1144.9734
2014-02-18,2493.105,2252.06,4662.316,4835.606,1747.7161,1341.7967,1156.1672,1146.8826
2014-02-19,2535.004,2292.777,4652.451,4860.188,1754.5018,1340.5242,1153.2047,1145.5563
2014-02-20,2505.78,2277.864,4582.731,4814.151,1732.3439,1318.7966,1131.4151,1123.9897
2014-02-21,2484.589,2254.617,4548.958,4766.24,1733.1524,1306.5465,1134.1906,1123.0132
2014-02-24,2416.332,2193.385,4505.065,4707.374,1745.2138,1301.5793,1149.5907,1137.1962
2014-02-25,2354.285,2153.792,4363.425,4545.946,1670.6692,1247.6136,1103.9028,1090.2075
2014-02-26,2365.535,2157.856,4389.351,4562.157,1682.6833,1258.0297,1110.4915,1103.5483
2014-02-27,2353.453,2167.65,4309.869,4522.396,1638.2533,1246.0213,1088.375,1091.0623
2014-02-28,2378.377,2174.705,4350.376,4566.038,1654.6045,1259.0456,1102.5936,1103.3202
2014-03-03,2388.831,2177.337,4434.286,4666.337,1690.7097,1291.1846,1129.3556,1131.5853
2014-03-04,2382.757,2179.152,4414.754,4675.039,1692.2543,1289.9535,1132.6364,1132.9988
2014-03-05,2357.558,2154.499,4383.585,4647.487,1697.7452,1287.699,1130.0504,1131.8325
2014-03-06,2372.325,2174.302,4375.254,4671.289,1696.0978,1294.3872,1134.3684,1137.735
2014-03-07,2371.771,2165.456,4364.644,4627.671,1687.8269,1291.8218,1131.2849,1134.0746
2014-03-10,2304.448,2098.174,4207.979,4439.296,1620.2461,1244.0695,1086.0426,1092.8752
2014-03-11,2329.124,2106.653,4217.022,4463.539,1618.0258,1249.7012,1081.2793,1087.4871
2014-03-12,2349.253,2119.467,4228.394,4476.768,1612.2652,1244.1475,1080.2703,1082.9243
2014-03-13,2386.146,2144.175,4268.816,4516.0,1644.9452,1257.5581,1094.6178,1095.3657
2014-03-14,2365.629,2127.776,4239.191,4490.163,1646.5482,1247.9349,1094.7224,1092.364
2014-03-17,2381.162,2142.426,4317.477,4592.287,1689.7888,1273.7274,1121.141,1118.6811
2014-03-18,2368.263,2135.129,4335.64,4619.206,1702.8687,1280.3187,1130.3532,1126.8339
2014-03-19,2340.546,2124.738,4300.395,4616.897,1696.3102,1285.6527,1137.0311,1133.2337
2014-03-20,2304.302,2106.727,4199.089,4507.505,1647.4713,1252.5347,1100.9578,1097.9205
2014-03-21,2396.025,2189.11,4273.951,4618.307,1662.7819,1280.6708,1118.1424,1116.7013
2014-03-24,2404.708,2210.505,4288.893,4683.316,1645.3213,1292.6503,1115.7476,1116.0126
2014-03-25,2395.738,2205.197,4305.792,4703.896,1644.1409,1295.4647,1112.9681,1113.8353
