date,incumbent,raw,DEMA5,DEMA7,CUSUM,Hamilton
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-29,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-30,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-07,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-10,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-11,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-12,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-13,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-14,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-17,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-18,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-19,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-20,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-21,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-24,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-25,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-26,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-27,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-28,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-04,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-05,-0.1226,-0.6131,-0.3406,-0.2682,0.0,0.00811147180501079
2014-03-06,-0.2557,-0.6655,-0.5514,-0.4636,0.0,-0.19894750886537838
2014-03-07,-0.3816,-0.6296,-0.6378,-0.5704,0.0,-0.045393097815250444
2014-03-10,-0.5059,-0.6214,-0.6707,-0.6306,0.0,-0.038778673295865096
2014-03-11,-0.5906,-0.4234,-0.5699,-0.5772,0.0,-0.021450164123402088
2014-03-12,-0.5401,-0.3604,-0.4738,-0.5101,0.0,0.08232996943874332
2014-03-13,-0.4393,-0.1617,-0.3081,-0.376,0.0,0.24775900079962304
2014-03-14,-0.3447,-0.1568,-0.2155,-0.285,0.0,0.3381018682644751
2014-03-17,-0.259,-0.1927,-0.1877,-0.2416,0.0,0.2916704801797533
2014-03-18,-0.2069,-0.1628,-0.1593,-0.201,0.0,0.25754896674665173
2014-03-19,-0.1906,-0.2789,-0.2116,-0.2266,0.0,-0.007727087685616696
2014-03-20,-0.2186,-0.302,-0.2551,-0.2543,0.0,-0.1478824321906588
2014-03-21,-0.2826,-0.4765,-0.3766,-0.3493,0.0,-0.32845080232411494
2014-03-24,-0.3753,-0.6565,-0.5417,-0.4894,-0.25,-0.5701286710531593
2014-03-25,-0.4644,-0.6084,-0.6011,-0.5576,-0.25,-0.5612599095715045
2014-03-26,-0.5058,-0.4856,-0.5601,-0.5454,-0.25,-0.3836878215045411
2014-03-27,-0.4877,-0.2116,-0.3814,-0.4149,-0.25,-0.49670223800721675
2014-03-28,-0.4844,-0.4599,-0.421,-0.4375,-0.5,-0.6333022630052181
2014-03-31,-0.43,-0.3846,-0.4011,-0.4186,-0.5,-0.514878125910692
2014-04-01,-0.3594,-0.2554,-0.3187,-0.3493,-0.5,-0.32628687578878507
2014-04-02,-0.336,-0.3683,-0.3377,-0.3539,-0.75,-0.5147694269024043
2014-04-03,-0.3339,-0.2013,-0.2568,-0.2843,-0.75,-0.3943141560898088
2014-04-04,-0.2884,-0.2323,-0.2319,-0.2535,-0.75,-0.31287032517980384
2014-04-08,-0.2608,-0.2467,-0.2289,-0.2412,-0.75,-0.34851837137861497
2014-04-09,-0.2423,-0.1628,-0.1829,-0.1979,-0.75,-0.21574402248878288
