mapping,name,window,diff_sharpe,ci_lo,ci_hi,p_value,boot_mean,boot_sd,block,n_boot,seed,n_obs,p_holm_five
longflat,raw,full,-0.26627644756886126,-0.6130918646783808,0.04954923273447954,0.11744127936031984,-0.27889390665794156,0.16918214448594093,20,2000,20260914,2776,0.24987506246876562
longflat,DEMA5,full,-0.2569682762494314,-0.5995149495543192,0.03202003681432608,0.10344827586206896,-0.2610879962083812,0.16025956581705525,20,2000,20260914,2776,0.24987506246876562
longflat,DEMA7,full,-0.21553121166008937,-0.4712283390571949,0.015485256065155852,0.079960019990005,-0.2178768728267099,0.1253458660926479,20,2000,20260914,2776,0.24987506246876562
longflat,CUSUM,full,-0.7707044039971538,-1.4041331669462904,-0.21470791960966976,0.012993503248375811,-0.7880283209722695,0.30507923224468797,20,2000,20260914,2776,0.06496751624187906
longflat,Hamilton,full,-0.4522763416136686,-0.9377905203169581,0.01653543982087873,0.062468765617191405,-0.46382356753202675,0.23810819775931688,20,2000,20260914,2776,0.24987506246876562
longflat,raw,full,-0.26627644756886126,-0.646317634602961,0.005819368208933279,0.12493753123438281,-0.3158596492863637,0.1680680002408575,60,2000,20260914,2776,0.37481259370314846
longflat,DEMA5,full,-0.2569682762494314,-0.6802412285271426,0.030625116698080504,0.16041979010494753,-0.2947921740971571,0.1831771802620558,60,2000,20260914,2776,0.37481259370314846
longflat,DEMA7,full,-0.21553121166008937,-0.5667774959833346,0.023544693805455527,0.14842578710644677,-0.23517582522715216,0.1522425918516021,60,2000,20260914,2776,0.37481259370314846
longflat,CUSUM,full,-0.7707044039971538,-1.335300824897228,-0.29339150084166493,0.00399800099950025,-0.8313125426096734,0.2697400229792316,60,2000,20260914,2776,0.019990004997501247
longflat,Hamilton,full,-0.4522763416136686,-0.8730742679985198,-0.064333082648368,0.031984007996002,-0.498755208438778,0.20664555286313363,60,2000,20260914,2776,0.127936031984008
symmetric,raw,full,-0.29101098028121974,-0.7045533112887664,0.10041552830871213,0.15242378810594703,-0.3064104273535157,0.20395947919143584,20,2000,20260914,2776,0.43328335832083964
symmetric,DEMA5,full,-0.2672391117185555,-0.6752936722437529,0.09726790525103603,0.1539230384807596,-0.27210156611363084,0.19234057690810338,20,2000,20260914,2776,0.43328335832083964
symmetric,DEMA7,full,-0.22950853256280102,-0.539139210455873,0.0590866562284473,0.14442778610694654,-0.23143675350110987,0.1556222277448987,20,2000,20260914,2776,0.43328335832083964
symmetric,CUSUM,full,-0.8983341014778637,-1.7292266988809346,-0.21732756022521374,0.02448775612193903,-0.9546475847075381,0.381987029318199,20,2000,20260914,2776,0.12243878060969515
symmetric,Hamilton,full,-0.5350410396325384,-1.1466237394091643,0.01771539512026343,0.07196401799100449,-0.5482769854765894,0.29472041931452153,20,2000,20260914,2776,0.28785607196401797
symmetric,raw,full,-0.29101098028121974,-0.7737707102886876,0.02331004686450209,0.17641179410294852,-0.36751283223746406,0.2039171369046589,60,2000,20260914,2776,0.5292353823088456
symmetric,DEMA5,full,-0.2672391117185555,-0.7823327560371328,0.09762017779470689,0.23088455772113944,-0.3258231453513291,0.2198501113605089,60,2000,20260914,2776,0.5292353823088456
symmetric,DEMA7,full,-0.22950853256280102,-0.6496781809021751,0.06711947281804996,0.20189905047476261,-0.25803806255241957,0.18166770923573802,60,2000,20260914,2776,0.5292353823088456
symmetric,CUSUM,full,-0.8983341014778637,-1.5801608327094085,-0.38196384769145975,0.004997501249375313,-0.9958072209473207,0.31112599880476627,60,2000,20260914,2776,0.024987506246876564
symmetric,Hamilton,full,-0.5350410396325384,-1.0998113195910308,-0.04887276186235358,0.049475262368815595,-0.5994149338730437,0.2686498379211454,60,2000,20260914,2776,0.19790104947526238
