date,factor_value
2014-01-02,0.0
2014-01-03,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,0.0
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,0.0
2014-01-17,0.0
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,0.0
2014-01-24,0.0
2014-01-27,0.0
2014-01-28,0.0
2014-01-29,0.0
2014-01-30,0.0
2014-02-07,0.0
2014-02-10,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-14,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,0.0
2014-02-28,0.0
2014-03-03,0.0
2014-03-04,0.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-07,0.0
2014-03-10,0.0
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,0.0
2014-03-17,0.0
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,0.0
2014-03-24,0.0
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-08,0.0
2014-04-09,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-14,0.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-04-25,0.0
2014-04-28,0.0
2014-04-29,0.0
2014-04-30,0.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,0.0
2014-05-08,0.0
2014-05-09,0.0
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,0.0
2014-05-16,0.0
2014-05-19,0.0
2014-05-20,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,0.0
2014-06-20,0.0
2014-06-23,0.0
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,0.0
2014-07-04,0.0
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.0
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,0.0
2014-07-18,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0
2014-07-28,-0.5563
2014-07-29,-0.5473
2014-07-30,-0.5211
2014-07-31,-0.4856
2014-08-01,-0.4238
2014-08-04,-0.3682
2014-08-05,-0.2923
2014-08-06,-0.2168
2014-08-07,-0.1265
2014-08-08,-0.0025
2014-08-11,0.1122
2014-08-12,0.1907
2014-08-13,0.2312
2014-08-14,0.2736
2014-08-15,0.3126
2014-08-18,0.3685
2014-08-19,0.4322
2014-08-20,0.4501
2014-08-21,0.4473
2014-08-22,0.4338
2014-08-25,0.3955
2014-08-26,0.3762
2014-08-27,0.3659
2014-08-28,0.3503
2014-08-29,0.339
2014-09-01,0.298
2014-09-02,0.2519
2014-09-03,0.2164
2014-09-04,0.1897
2014-09-05,0.1809
2014-09-09,0.1606
2014-09-10,0.1319
2014-09-11,0.11
2014-09-12,0.0645
2014-09-15,0.0137
2014-09-16,-0.0314
2014-09-17,-0.0655
2014-09-18,-0.0969
2014-09-19,-0.089
2014-09-22,-0.0461
2014-09-23,-0.019
2014-09-24,-0.0051
2014-09-25,0.0174
2014-09-26,0.0217
2014-09-29,0.0249
2014-09-30,0.0508
2014-10-08,0.1134
2014-10-09,0.1734
2014-10-10,0.2247
2014-10-13,0.2431
2014-10-14,0.2385
2014-10-15,0.2426
2014-10-16,0.2414
2014-10-17,0.244
2014-10-20,0.2559
2014-10-21,0.2435
2014-10-22,0.2067
2014-10-23,0.1867
2014-10-24,0.167
2014-10-27,0.1818
2014-10-28,0.1652
2014-10-29,0.0895
2014-10-30,-0.0055
2014-10-31,-0.1346
2014-11-03,-0.2873
2014-11-04,-0.4262
2014-11-05,-0.5032
2014-11-06,-0.5646
2014-11-07,-0.5947
2014-11-10,-0.6593
2014-11-11,-0.6902
2014-11-12,-0.7213
2014-11-13,-0.7692
2014-11-14,-0.7945
2014-11-17,-0.7869
2014-11-18,-0.7767
2014-11-19,-0.7382
2014-11-20,-0.6873
2014-11-21,-0.6246
2014-11-24,-0.5623
2014-11-25,-0.4959
2014-11-26,-0.4194
2014-11-27,-0.3365
2014-11-28,-0.2667
2014-12-01,-0.2113
2014-12-02,-0.2086
2014-12-03,-0.1807
2014-12-04,-0.1504
2014-12-05,-0.0852
2014-12-08,-0.1602
2014-12-09,-0.2331
2014-12-10,-0.3175
2014-12-11,-0.4324
2014-12-12,-0.5026
2014-12-15,-0.5208
2014-12-16,-0.5767
2014-12-17,-0.5993
2014-12-18,-0.6314
2014-12-19,-0.6977
2014-12-22,-0.7891
2014-12-23,-0.8261
2014-12-24,-0.8278
2014-12-25,-0.8312
2014-12-26,-0.8376
2014-12-29,-0.8499
2014-12-30,-0.8548
2014-12-31,-0.8471
2015-01-05,-0.8523
2015-01-06,-0.8225
2015-01-07,-0.814
2015-01-08,-0.7847
2015-01-09,-0.7424
2015-01-12,-0.6532
2015-01-13,-0.5054
2015-01-14,-0.282
2015-01-15,-0.1191
2015-01-16,0.0789
2015-01-19,0.3704
2015-01-20,0.558
2015-01-21,0.6248
2015-01-22,0.7003
2015-01-23,0.7652
2015-01-26,0.7991
2015-01-27,0.8131
2015-01-28,0.8075
2015-01-29,0.7938
2015-01-30,0.7772
2015-02-02,0.7467
2015-02-03,0.7224
2015-02-04,0.6734
2015-02-05,0.6452
2015-02-06,0.6121
2015-02-09,0.5895
2015-02-10,0.5751
2015-02-11,0.5683
2015-02-12,0.5183
2015-02-13,0.4781
2015-02-16,0.5219
2015-02-17,0.571
2015-02-25,0.5899
2015-02-26,0.5861
2015-02-27,0.5752
2015-03-02,0.5625
2015-03-03,0.5411
2015-03-04,0.5282
