date,ret,equity,gross_pnl,pre_fill_pnl,post_fill_pnl,cost,cost_return,trade_notional,turnover,net_notional,gross_notional,rolls,symbols,decision_signal
2015-04-16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0
2015-04-17,-0.00029999999999996696,0.9997,0.0,0.0,0.0,0.0003,0.0003,1.0,1.0,-1.000300090027008,1.000300090027008,0,IC1505.CFE,-1.0
2015-04-20,0.017524668892766604,1.0172194114920987,0.017529839395736123,0.017529839395736123,0.0,1.04279036374417e-05,1.0431032947325898e-05,0.034759678791472334,0.03477010982441966,-1.0000102513808915,1.0000102513808915,0,IC1505.CFE,-1.0
2015-04-21,-0.06802711276197948,0.9480209118828513,-0.06915700227950858,-0.06915700227950858,0.0,4.149732973879639e-05,4.079486615176408e-05,0.13832443246265463,0.13598288717254692,-1.0000437725889995,1.0000437725889995,0,IC1505.CFE,-1.0
2015-04-22,-0.0060724178862502365,0.9422641327409946,-0.005753314703835496,-0.005753314703835496,0.0,3.464438021222947e-06,3.654389874525314e-06,0.011548126737409825,0.01218129958175105,-1.000003676716433,1.000003676716433,0,IC1505.CFE,-1.0
2015-04-23,-0.00926100367478988,0.9335378211450576,-0.008721077909859773,-0.008721077909859773,0.0,5.233686077322225e-06,5.554372596246149e-06,0.01744562025774075,0.0185145753208205,-1.0000056062924916,1.0000056062924916,0,IC1505.CFE,-1.0
2015-04-24,-0.0074570895587298125,0.9265763460063173,-0.006957299189120965,-0.006957299189120965,0.0,4.175949619295742e-06,4.473251671982193e-06,0.01391983206431914,0.01491083890660731,-1.0000045068597285,1.0000045068597285,0,IC1505.CFE,-1.0
2015-04-27,-0.0024032209446313013,0.924349578324795,-0.0022254311700353937,-0.0022254311700353937,0.0,1.3365114869070291e-06,1.442419173193438e-06,0.004455038289690097,0.0048080639106447935,-1.0000014458939759,1.0000014458939759,0,IC1505.CFE,-1.0
2015-04-28,0.023969735110581203,0.9465059928668178,0.022169715970651753,0.022169715970651753,0.0,1.3301428628944966e-05,1.4390041322949739e-05,0.04433809542981655,0.04796680440983246,-1.0000140531900794,1.0000140531900794,0,IC1505.CFE,-1.0
2015-04-29,-0.019061659102876716,0.9284640182919607,-0.018031151893292505,-0.018031151893292505,0.0,1.0822681564564185e-05,1.143435080826481e-05,0.03607560521521395,0.03811450269421603,-1.000011656543874,1.000011656543874,0,IC1505.CFE,-1.0
2015-04-30,-0.004411170041431101,0.9243684056299244,-0.00409315352311793,-0.00409315352311793,0.0,2.4591389183401378e-06,2.6486098221275905e-06,0.008197129727800458,0.008828699407091967,-1.0000026603450567,1.0000026603450567,0,IC1505.CFE,-1.0
2015-05-04,-0.0010079470685870895,0.9234366912051752,-0.0009311549940110837,-0.0009311549940110837,0.0,5.594307380821771e-07,6.052032227355768e-07,0.0018647691269405905,0.002017344075785256,-1.000000605813851,1.000000605813851,0,IC1505.CFE,-1.0
2015-05-05,0.024209172409804358,0.9457923292721006,0.022369059334696944,0.022369059334696944,0.0,1.3421267771596753e-05,1.4534042127003515e-05,0.04473755923865585,0.04844680709001172,-1.0000141905018218,1.0000141905018218,0,IC1505.CFE,-1.0
