date,ew_L20_zw40_sm5,ew_L20_zw100_sm0,slope_L20s0_zw120_sm0
2014-01-02,0.0,0.0,0.0
2014-01-03,0.0,0.0,0.0
2014-01-06,0.0,0.0,0.0
2014-01-07,0.0,0.0,0.0
2014-01-08,0.0,0.0,0.0
2014-01-09,0.0,0.0,0.0
2014-01-10,0.0,0.0,0.0
2014-01-13,0.0,0.0,0.0
2014-01-14,0.0,0.0,0.0
2014-01-15,0.0,0.0,0.0
2014-01-16,0.0,0.0,0.0
2014-01-17,0.0,0.0,0.0
2014-01-20,0.0,0.0,0.0
2014-01-21,0.0,0.0,0.0
2014-01-22,0.0,0.0,0.0
2014-01-23,0.0,0.0,0.0
2014-01-24,0.0,0.0,0.0
2014-01-27,0.0,0.0,0.0
2014-01-28,0.0,0.0,0.0
2014-01-29,0.0,0.0,0.0
2014-01-30,0.0,0.0,0.0
2014-02-07,0.0,0.0,0.0
2014-02-10,0.0,0.0,0.0
2014-02-11,0.0,0.0,0.0
2014-02-12,0.0,0.0,0.0
2014-02-13,0.0,0.0,0.0
2014-02-14,0.0,0.0,0.0
2014-02-17,0.0,0.0,0.0
2014-02-18,0.0,0.0,0.0
2014-02-19,0.0,0.0,0.0
2014-02-20,0.0,0.0,0.0
2014-02-21,0.0,0.0,0.0
2014-02-24,0.0,0.0,0.0
2014-02-25,0.0,0.0,0.0
2014-02-26,0.0,0.0,0.0
2014-02-27,0.0,0.0,0.0
2014-02-28,0.0,0.0,0.0
2014-03-03,0.0,0.0,0.0
2014-03-04,0.0,0.0,0.0
2014-03-05,-0.1226,0.0,0.0
2014-03-06,-0.2557,0.0,0.0
2014-03-07,-0.3816,0.0,0.0
2014-03-10,-0.5059,0.0,0.0
2014-03-11,-0.5906,0.0,0.0
2014-03-12,-0.5401,0.0,0.0
2014-03-13,-0.4393,0.0,0.0
2014-03-14,-0.3447,0.0,0.0
2014-03-17,-0.259,0.0,0.0
2014-03-18,-0.2069,0.0,0.0
2014-03-19,-0.1906,0.0,0.0
2014-03-20,-0.2186,0.0,0.0
2014-03-21,-0.2826,0.0,0.0
2014-03-24,-0.3753,0.0,0.0
2014-03-25,-0.4644,0.0,0.0
2014-03-26,-0.5058,0.0,0.0
2014-03-27,-0.4877,0.0,0.0
2014-03-28,-0.4844,0.0,0.0
2014-03-31,-0.43,0.0,0.0
2014-04-01,-0.3594,0.0,0.0
2014-04-02,-0.336,0.0,0.0
2014-04-03,-0.3339,0.0,0.0
2014-04-04,-0.2884,0.0,0.0
2014-04-08,-0.2608,0.0,0.0
2014-04-09,-0.2423,0.0,0.0
2014-04-10,-0.2156,0.0,0.0
2014-04-11,-0.2387,0.0,0.0
2014-04-14,-0.2795,0.0,0.0
2014-04-15,-0.2968,0.0,0.0
2014-04-16,-0.3498,0.0,0.0
2014-04-17,-0.3455,0.0,0.0
2014-04-18,-0.2901,0.0,0.0
2014-04-21,-0.1716,0.0,0.0
2014-04-22,-0.0375,0.0,0.0
2014-04-23,0.124,0.0,0.0
2014-04-24,0.215,0.0,0.0
