name,grid,family,lookback,z_window,smoothing,regime,sharpe_train,n_train,sharpe_val,n_val,sharpe_reused,n_reused,length,skip,score,old_three_window_score,rank_grid,rank_family
slope_L20s0_zw40_sm0,momentum174,slope,,40,0,old_sym,1.243420508049285,1706,1.126677167332617,727,0.9769700309065853,654,20.0,0.0,1.126677167332617,0.9769700309065853,9,5
slope_L20s0_zw40_sm5,momentum174,slope,,40,5,old_sym,1.4596186221262633,1706,1.3829417054283268,727,1.5043352047091973,654,20.0,0.0,1.3829417054283268,1.3829417054283268,2,2
slope_L20s0_zw120_sm0,momentum174,slope,,120,0,old_sym,1.398334357271783,1706,1.8720188545831093,727,1.0971290673689094,654,20.0,0.0,1.398334357271783,1.0971290673689094,1,1
slope_L20s0_zw120_sm5,momentum174,slope,,120,5,old_sym,1.4166096473673577,1706,1.3574936024337507,727,0.45345551360646047,654,20.0,0.0,1.3574936024337507,0.45345551360646047,4,3
slope_L20s0_zw250_sm0,momentum174,slope,,250,0,old_sym,1.0818188320428415,1706,1.2990474808239916,727,1.159889873726475,654,20.0,0.0,1.0818188320428415,1.0818188320428415,12,6
slope_L20s0_zw250_sm5,momentum174,slope,,250,5,old_sym,1.2672376624853103,1706,1.1933101967365296,727,0.75661449764542,654,20.0,0.0,1.1933101967365296,0.75661449764542,6,4
slope_L20s0_zw40_sm0,momentum174,slope,,40,0,fixed_sym,1.2810486308546563,1706,1.112776787974703,727,0.9769700309065853,654,20.0,0.0,1.112776787974703,0.9769700309065853,12,5
slope_L20s0_zw40_sm5,momentum174,slope,,40,5,fixed_sym,1.5176279095168763,1706,1.3672943683049794,727,1.5043352047091973,654,20.0,0.0,1.3672943683049794,1.3672943683049794,3,2
slope_L20s0_zw120_sm0,momentum174,slope,,120,0,fixed_sym,1.4514785021886099,1706,1.8404493796728476,727,1.0971290673689094,654,20.0,0.0,1.4514785021886099,1.0971290673689094,1,1
slope_L20s0_zw120_sm5,momentum174,slope,,120,5,fixed_sym,1.4669453962756853,1706,1.3265961879912167,727,0.45345551360646047,654,20.0,0.0,1.3265961879912167,0.45345551360646047,4,3
slope_L20s0_zw250_sm0,momentum174,slope,,250,0,fixed_sym,1.107045036059527,1706,1.2732189118981818,727,1.159889873726475,654,20.0,0.0,1.107045036059527,1.107045036059527,14,6
slope_L20s0_zw250_sm5,momentum174,slope,,250,5,fixed_sym,1.2969390794695754,1706,1.1691398252392766,727,0.75661449764542,654,20.0,0.0,1.1691398252392766,0.75661449764542,8,4
slope_L20s0_zw40_sm0,momentum174,slope,,40,0,spot_lf,1.2514820633716022,1706,0.6881419304837934,727,1.1717013663005438,654,20.0,0.0,0.6881419304837934,0.6881419304837934,39,5
slope_L20s0_zw40_sm5,momentum174,slope,,40,5,spot_lf,1.4677662847999406,1706,0.8904676030551502,727,1.4710052299220246,654,20.0,0.0,0.8904676030551502,0.8904676030551502,15,2
slope_L20s0_zw120_sm0,momentum174,slope,,120,0,spot_lf,1.3841953429705758,1706,1.191630213859696,727,1.188790686461239,654,20.0,0.0,1.191630213859696,1.188790686461239,3,1
slope_L20s0_zw120_sm5,momentum174,slope,,120,5,spot_lf,1.3777292693247793,1706,0.7764416103787227,727,0.7098469801948285,654,20.0,0.0,0.7764416103787227,0.7098469801948285,26,4
slope_L20s0_zw250_sm0,momentum174,slope,,250,0,spot_lf,0.9506139278590742,1706,0.7902113940909381,727,1.1978889973465925,654,20.0,0.0,0.7902113940909381,0.7902113940909381,23,3
slope_L20s0_zw250_sm5,momentum174,slope,,250,5,spot_lf,1.0643791282936335,1706,0.6603853085352531,727,0.9113566846972347,654,20.0,0.0,0.6603853085352531,0.6603853085352531,45,6
