date,symbol,open,close,oi,settle,volume
2015-04-16,IC1505.CFE,7681.0000,7707.8000,6643,7642.8000,116888
2015-04-16,IC1506.CFE,7520.0000,7652.4000,856,7597.8000,5285
2015-04-16,IC1509.CFE,7752.8000,7643.2000,215,7604.0000,743
2015-04-16,IC1512.CFE,7799.6000,7625.2000,226,7571.0000,484
2015-04-17,IC1505.CFE,7722.0000,7758.2000,9144,7803.4000,114214
2015-04-17,IC1506.CFE,7651.4000,7674.8000,1352,7719.4000,7740
2015-04-17,IC1509.CFE,7649.0000,7608.8000,298,7652.8000,571
2015-04-17,IC1512.CFE,7625.2000,7562.0000,365,7577.6000,460
2015-04-20,IC1505.CFE,7760.0000,7622.2000,10706,7621.2000,98781
2015-04-20,IC1506.CFE,7719.4000,7505.0000,1491,7510.2000,5564
2015-04-20,IC1509.CFE,7590.0000,7419.4000,343,7445.2000,454
2015-04-20,IC1512.CFE,7559.8000,7388.2000,469,7376.8000,425
2015-04-21,IC1505.CFE,7650.2000,8140.4000,16732,8055.6000,132545
2015-04-21,IC1506.CFE,7550.2000,8075.0000,1761,7963.2000,6806
2015-04-21,IC1509.CFE,7481.6000,8024.0000,401,7862.4000,610
2015-04-21,IC1512.CFE,7462.0000,7941.8000,630,7797.8000,632
2015-04-22,IC1505.CFE,8158.0000,8189.8000,14854,8197.2000,121034
2015-04-22,IC1506.CFE,8135.2000,8126.6000,1718,8135.6000,7002
2015-04-22,IC1509.CFE,8075.2000,8029.0000,423,8030.8000,702
2015-04-22,IC1512.CFE,7959.2000,7926.8000,739,7942.0000,751
2015-04-23,IC1505.CFE,8193.0000,8265.6000,14805,8266.4000,132278
2015-04-23,IC1506.CFE,8108.0000,8204.0000,1761,8194.6000,5799
2015-04-23,IC1509.CFE,8029.0000,8102.0000,464,8079.2000,461
2015-04-23,IC1512.CFE,7942.0000,8043.0000,800,8017.8000,486
2015-04-24,IC1505.CFE,8247.8000,8327.2000,14603,8307.6000,126381
2015-04-24,IC1506.CFE,8167.8000,8240.0000,2235,8220.4000,6943
2015-04-24,IC1509.CFE,8080.0000,8120.0000,384,8120.4000,595
2015-04-24,IC1512.CFE,8015.8000,8039.0000,893,8022.0000,357
2015-04-27,IC1505.CFE,8368.0000,8347.2000,15187,8361.6000,125335
2015-04-27,IC1506.CFE,8220.4000,8262.6000,2596,8282.6000,7851
2015-04-27,IC1509.CFE,8177.6000,8187.0000,608,8200.6000,1046
2015-04-27,IC1512.CFE,8039.0000,8068.2000,909,8083.8000,633
2015-04-28,IC1505.CFE,8308.0000,8147.0000,15900,8087.4000,164120
2015-04-28,IC1506.CFE,8262.0000,8054.0000,2753,8009.0000,9281
2015-04-28,IC1509.CFE,8144.2000,7993.4000,607,7943.2000,849
2015-04-28,IC1512.CFE,8074.0000,7894.2000,929,7833.0000,537
2015-04-29,IC1505.CFE,8138.0000,8302.2000,17677,8276.2000,134158
2015-04-29,IC1506.CFE,8066.6000,8209.0000,2889,8182.8000,5535
2015-04-29,IC1509.CFE,8076.6000,8118.0000,690,8105.8000,679
2015-04-29,IC1512.CFE,7900.0000,8024.0000,979,8000.6000,392
2015-04-30,IC1505.CFE,8320.0000,8338.8000,16354,8355.4000,120118
2015-04-30,IC1506.CFE,8236.8000,8234.6000,3046,8253.8000,5500
2015-04-30,IC1509.CFE,8139.4000,8154.0000,711,8174.2000,354
2015-04-30,IC1512.CFE,8056.8000,8041.0000,989,8066.2000,233
2015-05-04,IC1505.CFE,8370.2000,8347.2000,16271,8322.4000,101734
2015-05-04,IC1506.CFE,8274.8000,8226.4000,3328,8208.8000,4384
2015-05-04,IC1509.CFE,8200.0000,8140.4000,764,8122.2000,539
2015-05-04,IC1512.CFE,8060.0000,8031.2000,986,8007.2000,231
2015-05-05,IC1505.CFE,8334.8000,8145.0000,15884,8139.2000,109987
2015-05-05,IC1506.CFE,8217.2000,8019.4000,3923,8016.2000,6804
2015-05-05,IC1509.CFE,8121.8000,7935.4000,841,7932.6000,522
2015-05-05,IC1512.CFE,8012.0000,7830.6000,971,7814.2000,210
2015-05-06,IC1505.CFE,8168.0000,8040.8000,15456,8058.4000,111973
2015-05-06,IC1506.CFE,8118.2000,7933.0000,4019,7946.0000,7587
2015-05-06,IC1509.CFE,7935.4000,7835.2000,845,7850.0000,640
2015-05-06,IC1512.CFE,7830.6000,7705.0000,1005,7694.8000,448
2015-05-07,IC1505.CFE,8020.0000,7911.4000,15127,7928.6000,109599
2015-05-07,IC1506.CFE,7900.0000,7834.4000,4074,7843.8000,7818
2015-05-07,IC1509.CFE,7804.0000,7716.0000,827,7736.0000,692
2015-05-07,IC1512.CFE,7710.8000,7612.0000,910,7634.2000,393
2015-05-08,IC1505.CFE,7933.4000,8171.2000,16258,8103.0000,121062
2015-05-08,IC1506.CFE,7894.8000,8085.0000,4183,8015.6000,11857
2015-05-08,IC1509.CFE,7775.8000,7976.6000,1126,7910.6000,1654
2015-05-08,IC1512.CFE,7660.8000,7859.0000,932,7811.0000,368
2015-05-11,IC1505.CFE,8170.0000,8489.8000,16314,8442.6000,124722
2015-05-11,IC1506.CFE,8118.8000,8394.0000,5421,8330.4000,15844
2015-05-11,IC1509.CFE,7976.6000,8211.6000,1395,8173.8000,1714
2015-05-11,IC1512.CFE,7899.8000,8109.0000,983,8081.0000,343
2015-05-12,IC1505.CFE,8499.6000,8647.8000,14671,8597.6000,152019
2015-05-12,IC1506.CFE,8394.0000,8557.6000,11079,8497.6000,30321
2015-05-12,IC1509.CFE,8220.2000,8323.8000,1486,8304.4000,1296
2015-05-12,IC1512.CFE,8132.6000,8226.0000,1057,8192.4000,461
2015-05-13,IC1505.CFE,8595.0000,8695.8000,14624,8690.8000,189658
2015-05-13,IC1506.CFE,8500.0000,8571.6000,16503,8575.2000,54812
2015-05-13,IC1509.CFE,8319.6000,8367.4000,1931,8346.4000,2162
2015-05-13,IC1512.CFE,8182.2000,8203.0000,1325,8195.6000,987
2015-05-14,IC1505.CFE,8689.0000,8760.4000,8971,8754.2000,112711
2015-05-14,IC1506.CFE,8530.0000,8603.0000,23309,8593.8000,133372
2015-05-14,IC1509.CFE,8367.4000,8345.0000,2273,8329.8000,2254
2015-05-14,IC1512.CFE,8192.6000,8162.8000,1357,8138.6000,779
2015-05-15,IC1505.CFE,8754.8000,8755.2000,0,8755.3100,36739
2015-05-15,IC1506.CFE,8610.0000,8579.8000,28064,8651.4000,182662
2015-05-15,IC1509.CFE,8348.0000,8348.6000,1979,8415.0000,2397
2015-05-15,IC1512.CFE,8147.0000,8216.6000,1431,8267.0000,764
2015-05-18,IC1506.CFE,8640.6000,8798.4000,32183,8797.0000,202968
2015-05-18,IC1507.CFE,8597.6000,8705.6000,490,8705.8000,2668
2015-05-18,IC1509.CFE,8385.0000,8557.6000,2156,8561.0000,2430
2015-05-18,IC1512.CFE,8282.8000,8378.2000,1475,8380.2000,795
2015-05-19,IC1506.CFE,8805.6000,9120.8000,33556,9102.2000,228488
2015-05-19,IC1507.CFE,8705.6000,9043.6000,620,9024.4000,3071
2015-05-19,IC1509.CFE,8591.0000,8969.0000,2468,8942.6000,5180
2015-05-19,IC1512.CFE,8432.6000,8800.4000,1596,8778.6000,1037
2015-05-20,IC1506.CFE,9121.8000,9286.8000,35302,9311.4000,239847
2015-05-20,IC1507.CFE,9003.2000,9203.0000,846,9226.6000,3463
2015-05-20,IC1509.CFE,9000.8000,9156.2000,2407,9165.8000,4424
2015-05-20,IC1512.CFE,8838.0000,8990.8000,1600,9038.0000,1150
2015-05-21,IC1506.CFE,9311.4000,9734.6000,38615,9630.0000,256460
