phase,n_sessions,kind,delta,method,rep,data_seed,p_C1,p_C2,estimate_C1,estimate_C2,reject_any,reject_C2,positive_C1
A,504,iid,0.0,group_t4,0,91710000,0.4993796343046477,0.49297943011882694,-0.28217115588421865,0.5949728373559067,False,False,False
A,504,iid,0.0,group_t8,0,91710000,0.5593380825191452,0.34036811574184617,-0.28863767397259377,0.6007246683056882,False,False,False
A,504,iid,0.0,sn_if,0,91710000,0.4396312073758525,0.4396312073758525,-0.2671391172250175,0.6134621135864309,False,False,False
A,504,iid,0.0,group_t4,1,91710001,1.0,1.0,0.08224822924337687,-0.08034944423123769,False,False,False
A,504,iid,0.0,group_t8,1,91710001,1.0,1.0,0.08996085936473715,-0.03807925434406234,False,False,False
A,504,iid,0.0,sn_if,1,91710001,1.0,1.0,0.05591891305673365,-0.11088846287538952,False,False,False
A,504,iid,0.0,group_t4,2,91710002,0.6465497289025982,0.6465497289025982,-0.3674967203663088,-0.19843253713099301,False,False,False
A,504,iid,0.0,group_t8,2,91710002,0.38324833754887333,0.44827581120355064,-0.37174278791403176,-0.2048749016760168,False,False,False
A,504,iid,0.0,sn_if,2,91710002,0.503069938601228,0.6593868122637547,-0.39882089143084026,-0.22467959798623768,False,False,False
A,504,iid,0.0,group_t4,3,91710003,0.9654923171494579,0.9654923171494579,-0.3208880430117632,-0.2708891114872339,False,False,False
A,504,iid,0.0,group_t8,3,91710003,0.8095704484239441,0.8095704484239441,-0.48128385406019586,-0.32082308126271175,False,False,False
A,504,iid,0.0,sn_if,3,91710003,0.9358212835743285,0.9358212835743285,-0.3564776072974416,-0.285219518294331,False,False,False
A,504,iid,0.0,group_t4,4,91710004,0.7991126095933905,0.7991126095933905,0.4964494956139057,-0.259375121225859,False,False,False
A,504,iid,0.0,group_t8,4,91710004,0.6132864426885947,0.6132864426885947,0.4769885645959348,-0.23743482281156042,False,False,False
A,504,iid,0.0,sn_if,4,91710004,0.8714225715485691,0.8714225715485691,0.5024195352546639,-0.2197196565903723,False,False,False
A,504,iid,0.0,group_t4,5,91710005,1.0,1.0,0.48712272331274004,0.11537848049800534,False,False,False
A,504,iid,0.0,group_t8,5,91710005,0.97270684054675,0.97270684054675,0.5022169147679306,0.1338234049399442,False,False,False
A,504,iid,0.0,sn_if,5,91710005,1.0,1.0,0.4794069495417561,0.06771190064189175,False,False,False
A,504,iid,0.0,group_t4,6,91710006,1.0,1.0,-0.21691318730638035,0.2652909162428566,False,False,False
A,504,iid,0.0,group_t8,6,91710006,0.9115311531837115,0.9115311531837115,-0.1252058410023044,0.3312946146672895,False,False,False
A,504,iid,0.0,sn_if,6,91710006,1.0,1.0,-0.27735821832505286,0.304368431438372,False,False,False
A,504,iid,0.0,group_t4,7,91710007,1.0,1.0,-0.38835690262956335,-0.2856819532661432,False,False,False
A,504,iid,0.0,group_t8,7,91710007,0.7028122299391657,0.7028122299391657,-0.44028183191363535,-0.3241593654426848,False,False,False
A,504,iid,0.0,sn_if,7,91710007,0.8933421331573369,0.8933421331573369,-0.3528015403623125,-0.30582529808847236,False,False,False
A,504,iid,0.0,group_t4,8,91710008,1.0,1.0,-0.04222862332492788,-0.020222117845086873,False,False,False
A,504,iid,0.0,group_t8,8,91710008,1.0,1.0,-0.007721391798072366,0.053320875741909815,False,False,False
A,504,iid,0.0,sn_if,8,91710008,1.0,1.0,-0.1139567526610692,7.059821365362762e-05,False,False,False
A,504,iid,0.0,group_t4,9,91710009,0.0016251054692763083,0.35356255090228245,0.6235490764603919,-0.4392134473744028,True,False,True
A,504,iid,0.0,group_t8,9,91710009,0.1976181133628919,0.1976181133628919,0.5693812594632376,-0.5096961642354011,False,False,False
A,504,iid,0.0,sn_if,9,91710009,0.09107817843643128,0.250614987700246,0.6279707872242116,-0.4095816237386471,False,False,False
A,504,iid,0.0,group_t4,10,91710010,1.0,1.0,-0.12851190274113905,0.21179322252749924,False,False,False
A,504,iid,0.0,group_t8,10,91710010,1.0,1.0,-0.14496505541287935,0.21110486939076578,False,False,False
A,504,iid,0.0,sn_if,10,91710010,1.0,1.0,0.00695505352515749,0.22614065414133316,False,False,False
A,504,iid,0.0,group_t4,11,91710011,1.0,1.0,0.09381416033784135,0.01633253370802218,False,False,False
A,504,iid,0.0,group_t8,11,91710011,1.0,1.0,0.058934636221298575,0.08871065691617477,False,False,False
A,504,iid,0.0,sn_if,11,91710011,1.0,1.0,0.12507661083897426,0.04694785340448204,False,False,False
A,504,iid,0.0,group_t4,12,91710012,0.8141534445110599,0.49490754675231674,-0.06705664903492056,-0.5687750758196081,False,False,False
A,504,iid,0.0,group_t8,12,91710012,0.7973943296384414,0.25075228545938694,-0.07043171761263789,-0.6012702808739945,False,False,False
A,504,iid,0.0,sn_if,12,91710012,0.9114017719645607,0.24631507369852604,-0.05634911372718149,-0.5508516795518508,False,False,False
A,504,iid,0.0,group_t4,13,91710013,0.780531040708838,0.780531040708838,0.6153494434412821,0.3975898546571121,False,False,False
A,504,iid,0.0,group_t8,13,91710013,0.5218212382165816,0.60470103192507,0.5966259745185257,0.35607515219756203,False,False,False
A,504,iid,0.0,sn_if,13,91710013,0.8402231955360893,0.8402231955360893,0.6089882831994239,0.41829180096428725,False,False,False
A,504,iid,0.0,group_t4,14,91710014,0.2432745561079094,0.3243462098442292,-0.4904358295944736,-0.3231264312342357,False,False,False
A,504,iid,0.0,group_t8,14,91710014,0.17615043154522272,0.3648535213174313,-0.46884861807698835,-0.34257620591066723,False,False,False
A,504,iid,0.0,sn_if,14,91710014,0.12251754964900702,0.38337233255334896,-0.481759109409192,-0.3618794380100922,False,False,False
A,504,iid,0.0,group_t4,15,91710015,0.9440138662282243,0.7735061262038206,-0.0191361952956585,0.6619452668687893,False,False,False
A,504,iid,0.0,group_t8,15,91710015,0.9038440138089849,0.3209144112077581,0.06125214214747039,0.7161070168406807,False,False,False
A,504,iid,0.0,sn_if,15,91710015,0.9085218295634088,0.23287534249315014,-0.03348366535469849,0.6197963602699342,False,False,False
A,504,iid,0.0,group_t4,16,91710016,0.5987148601023539,0.2991210866790806,0.34412689483467546,-0.6296351023461348,False,False,False
A,504,iid,0.0,group_t8,16,91710016,0.6285369171443617,0.22649996913856604,0.310843041770704,-0.6745924709453937,False,False,False
A,504,iid,0.0,sn_if,16,91710016,0.6339073218535629,0.6339073218535629,0.3470583220205363,-0.7434059297280349,False,False,False
A,504,iid,0.0,group_t4,17,91710017,0.04359689888199183,0.3352253653383065,-0.6603274826614497,-0.20963715701476823,True,False,False
A,504,iid,0.0,group_t8,17,91710017,0.21921626290710047,0.8723509760146989,-0.6753416014584498,-0.07556192087302682,False,False,False
A,504,iid,0.0,sn_if,17,91710017,0.23455530889382212,0.39637207255854884,-0.6307498753440077,-0.2159302615581592,False,False,False
A,504,iid,0.0,group_t4,18,91710018,0.02624044954482264,0.2973740014448529,-0.6428361355391423,0.6126499227437738,True,False,False
A,504,iid,0.0,group_t8,18,91710018,0.3858039894605441,0.3858039894605441,-0.5677226592543598,0.5886252847478324,False,False,False
A,504,iid,0.0,sn_if,18,91710018,0.3233135337293254,0.3233135337293254,-0.6102236154057975,0.6140823622243672,False,False,False
A,504,iid,0.0,group_t4,19,91710019,0.7699873528539464,0.1958039876836989,0.1815945528300945,1.3870200807104438,False,False,False
A,504,iid,0.0,group_t8,19,91710019,0.6567713897684324,0.11035125019542534,0.23936641116786334,1.3481507524563794,False,False,False
A,504,iid,0.0,sn_if,19,91710019,0.8412631747365052,0.3283134337313254,0.09675354551485732,1.3497197687874933,False,False,False
A,504,iid,0.0,group_t4,20,91710020,1.0,1.0,-0.03152499545704588,-0.0767457087221122,False,False,False
A,504,iid,0.0,group_t8,20,91710020,1.0,1.0,-0.010767650063901499,-0.035392551517188786,False,False,False
A,504,iid,0.0,sn_if,20,91710020,1.0,1.0,-0.06007436000319191,-0.1302420087057297,False,False,False
A,504,iid,0.0,group_t4,21,91710021,0.4131152368120708,0.6100264205514998,0.5445706166558335,-0.2632298032003245,False,False,False
A,504,iid,0.0,group_t8,21,91710021,0.5994270361353946,0.5994270361353946,0.6596640355371801,-0.2848811710892093,False,False,False
A,504,iid,0.0,sn_if,21,91710021,0.5515889682206356,0.5515889682206356,0.5355635688310834,-0.2960914320028077,False,False,False
A,504,iid,0.0,group_t4,22,91710022,1.0,1.0,0.15449260266118672,0.3664530249674836,False,False,False
A,504,iid,0.0,group_t8,22,91710022,1.0,1.0,0.1511643034453352,0.3360721440908199,False,False,False
A,504,iid,0.0,sn_if,22,91710022,0.7650246995060099,0.6916261674766505,0.1900145920458536,0.3118986453080741,False,False,False
A,504,iid,0.0,group_t4,23,91710023,0.7829557157529959,0.7829557157529959,-0.24628343025616728,0.19740045576258813,False,False,False
A,504,iid,0.0,group_t8,23,91710023,1.0,1.0,-0.22405768984441463,0.19543895862465413,False,False,False
A,504,iid,0.0,sn_if,23,91710023,0.7276254474910502,0.7276254474910502,-0.257153758979596,0.24081169992223483,False,False,False
A,504,iid,0.0,group_t4,24,91710024,0.5433967876033958,0.5433967876033958,-0.33245279298292396,-0.32266199050505656,False,False,False
A,504,iid,0.0,group_t8,24,91710024,0.6457782518140119,0.6457782518140119,-0.2753008270459706,-0.33550302610314464,False,False,False
A,504,iid,0.0,sn_if,24,91710024,0.5117897642047159,0.5117897642047159,-0.41583870712378523,-0.24609784680621383,False,False,False
A,504,iid,0.0,group_t4,25,91710025,1.0,1.0,-0.17190012516842412,0.49146359037270737,False,False,False
A,504,iid,0.0,group_t8,25,91710025,0.659824777618936,0.659824777618936,-0.17792245566222714,0.52098134352463,False,False,False
A,504,iid,0.0,sn_if,25,91710025,0.7405851882962341,0.738585228295434,-0.13211245913251063,0.43819301867784427,False,False,False
A,504,iid,0.0,group_t4,26,91710026,0.8185596163389744,0.5463220826980306,-0.045544504612037615,0.4139717165493712,False,False,False
A,504,iid,0.0,group_t8,26,91710026,0.9311520578608271,0.5079540572341765,-0.060997101572828005,0.3402689487307693,False,False,False
A,504,iid,0.0,sn_if,26,91710026,0.9042819143617128,0.37527249455010897,-0.056147079500955974,0.4063519834761729,False,False,False
