phase,n_sessions,kind,delta,method,metric,replications,count,rate,upper95,ci_lo,ci_hi,null_C2_rate
A,504,iid,0.0,group_t4,reject_any,400,19,0.0475,0.06892162748402886,0.028836930380423283,0.07318536540137065,0.0175
A,504,iid,0.0,group_t8,reject_any,400,25,0.0625,0.08620109193220246,0.040851457009555066,0.0908823695513088,0.0275
A,504,iid,0.0,sn_if,reject_any,400,20,0.05,0.07182859004603483,0.030805241143265938,0.07616697275514255,0.0175
A,504,cluster_t5,0.0,group_t4,reject_any,400,11,0.0275,0.045108576139418405,0.013806130234203186,0.04867154890808907,0.01
A,504,cluster_t5,0.0,group_t8,reject_any,400,20,0.05,0.07182859004603483,0.030805241143265938,0.07616697275514255,0.0225
A,504,cluster_t5,0.0,sn_if,reject_any,400,19,0.0475,0.06892162748402886,0.028836930380423283,0.07318536540137065,0.025
A,504,ar03,0.0,group_t4,reject_any,400,18,0.045,0.06600205423607253,0.026884625615141773,0.0701887954953422,0.025
A,504,ar03,0.0,group_t8,reject_any,400,23,0.0575,0.0804818997406526,0.0367955195092716,0.08503159529781051,0.0275
A,504,ar03,0.0,sn_if,reject_any,400,21,0.0525,0.0747237973537661,0.03278842457715371,0.07913463048694427,0.0275
A,504,slow_regime,0.0,group_t4,reject_any,400,29,0.0725,0.09753873038048778,0.04908910142887542,0.10246429058218622,0.03
A,504,slow_regime,0.0,group_t8,reject_any,400,47,0.1175,0.14737151198602633,0.087624683185143,0.15317324684908087,0.05
A,504,slow_regime,0.0,sn_if,reject_any,400,52,0.13,0.16096352571182765,0.09863575712886828,0.16696142880796078,0.0625
A,504,vol_break,0.0,group_t4,reject_any,400,23,0.0575,0.0804818997406526,0.0367955195092716,0.08503159529781051,0.03
A,504,vol_break,0.0,group_t8,reject_any,400,27,0.0675,0.0918855539227842,0.04495080119225324,0.09669190685305208,0.0275
A,504,vol_break,0.0,sn_if,reject_any,400,35,0.0875,0.1143372138216818,0.06170354576324976,0.11959014333036548,0.0325
A,504,slower_regime,0.0,group_t4,reject_any,400,59,0.1475,0.179855214953343,0.11421808448897146,0.18610184321336726,0.0875
A,504,slower_regime,0.0,group_t8,reject_any,400,161,0.4025,0.4445236559082769,0.3540694390623993,0.45238422437042664,0.235
A,504,slower_regime,0.0,sn_if,reject_any,400,108,0.27,0.30896185873822823,0.2270846958816272,0.3163559990683485,0.1525
A,504,iid,0.4,group_t4,positive_C1,400,24,0.06,0.08334607872125388,0.03881774910442581,0.08796242340489667,0.02
A,504,iid,0.4,group_t8,positive_C1,400,31,0.0775,0.10316350051877568,0.0532626584386512,0.10820293468811418,0.005
A,504,iid,0.4,sn_if,positive_C1,400,30,0.075,0.10035450478085203,0.051171679604668785,0.1053376386138461,0.015
A,504,cluster_t5,0.4,group_t4,positive_C1,400,31,0.0775,0.10316350051877568,0.0532626584386512,0.10820293468811418,0.0325
A,504,cluster_t5,0.4,group_t8,positive_C1,400,35,0.0875,0.1143372138216818,0.06170354576324976,0.11959014333036548,0.0325
A,504,cluster_t5,0.4,sn_if,positive_C1,400,35,0.0875,0.1143372138216818,0.06170354576324976,0.11959014333036548,0.045
A,504,slow_regime,0.4,group_t4,positive_C1,400,11,0.0275,0.045108576139418405,0.013806130234203186,0.04867154890808907,0.05
A,504,slow_regime,0.4,group_t8,positive_C1,400,17,0.0425,0.06306890007654116,0.024949619202114758,0.06717611443869687,0.065
A,504,slow_regime,0.4,sn_if,positive_C1,400,15,0.0375,0.05715725044398865,0.02113767478434893,0.06109697662390072,0.0675
A,2016,iid,0.0,group_t4,reject_any,400,16,0.04,0.06012105707642948,0.023033395740548884,0.06414601093905078,0.015
A,2016,iid,0.0,group_t8,reject_any,400,15,0.0375,0.05715725044398865,0.02113767478434893,0.06109697662390072,0.0275
A,2016,iid,0.0,sn_if,reject_any,400,21,0.0525,0.0747237973537661,0.03278842457715371,0.07913463048694427,0.045
A,2016,cluster_t5,0.0,group_t4,reject_any,400,23,0.0575,0.0804818997406526,0.0367955195092716,0.08503159529781051,0.025
A,2016,cluster_t5,0.0,group_t8,reject_any,400,21,0.0525,0.0747237973537661,0.03278842457715371,0.07913463048694427,0.0275
A,2016,cluster_t5,0.0,sn_if,reject_any,400,25,0.0625,0.08620109193220246,0.040851457009555066,0.0908823695513088,0.0375
A,2016,ar03,0.0,group_t4,reject_any,400,22,0.055,0.07760800826856465,0.03478548020372222,0.08208923736452577,0.015
A,2016,ar03,0.0,group_t8,reject_any,400,15,0.0375,0.05715725044398865,0.02113767478434893,0.06109697662390072,0.0175
A,2016,ar03,0.0,sn_if,reject_any,400,19,0.0475,0.06892162748402886,0.028836930380423283,0.07318536540137065,0.0225
A,2016,slow_regime,0.0,group_t4,reject_any,400,28,0.07,0.09471586126127723,0.047015328400178955,0.0995825157700608,0.03
A,2016,slow_regime,0.0,group_t8,reject_any,400,27,0.0675,0.0918855539227842,0.04495080119225324,0.09669190685305208,0.0375
A,2016,slow_regime,0.0,sn_if,reject_any,400,30,0.075,0.10035450478085203,0.051171679604668785,0.1053376386138461,0.0275
A,2016,vol_break,0.0,group_t4,reject_any,400,8,0.02,0.03579661761364029,0.00867317036911831,0.03902627671162005,0.0175
A,2016,vol_break,0.0,group_t8,reject_any,400,17,0.0425,0.06306890007654116,0.024949619202114758,0.06717611443869687,0.0275
A,2016,vol_break,0.0,sn_if,reject_any,400,24,0.06,0.08334607872125388,0.03881774910442581,0.08796242340489667,0.0425
A,2016,slower_regime,0.0,group_t4,reject_any,400,36,0.09,0.11711628460691767,0.06383147319268319,0.12241988689032243,0.0525
A,2016,slower_regime,0.0,group_t8,reject_any,400,44,0.11,0.1391719294967207,0.08107216254106347,0.1448475860499374,0.0625
A,2016,slower_regime,0.0,sn_if,reject_any,400,51,0.1275,0.1582520758003935,0.09642507330436255,0.16421205843734557,0.0675
A,2016,iid,0.4,group_t4,positive_C1,400,59,0.1475,0.179855214953343,0.11421808448897146,0.18610184321336726,0.03
A,2016,iid,0.4,group_t8,positive_C1,400,103,0.2575,0.2959838356606342,0.2153315913618115,0.3032980624101119,0.0425
A,2016,iid,0.4,sn_if,positive_C1,400,93,0.2325,0.2699117698227521,0.19196471880938654,0.2770441599578932,0.04
A,2016,cluster_t5,0.4,group_t4,positive_C1,400,61,0.1525,0.18522643518005724,0.11870223230902688,0.19153913512115653,0.025
A,2016,cluster_t5,0.4,group_t8,positive_C1,400,94,0.235,0.27252626797382024,0.19429264288866133,0.27967822473994747,0.025
A,2016,cluster_t5,0.4,sn_if,positive_C1,400,89,0.2225,0.2594367396574494,0.1826735143818694,0.26648763251911106,0.0325
A,2016,slow_regime,0.4,group_t4,positive_C1,400,7,0.0175,0.032617976451330515,0.0070641282207539085,0.035722873593619225,0.02
A,2016,slow_regime,0.4,group_t8,positive_C1,400,7,0.0175,0.032617976451330515,0.0070641282207539085,0.035722873593619225,0.0325
A,2016,slow_regime,0.4,sn_if,positive_C1,400,11,0.0275,0.045108576139418405,0.013806130234203186,0.04867154890808907,0.03
A,8064,iid,0.0,group_t4,reject_any,400,23,0.0575,0.0804818997406526,0.0367955195092716,0.08503159529781051,0.0325
A,8064,iid,0.0,group_t8,reject_any,400,20,0.05,0.07182859004603483,0.030805241143265938,0.07616697275514255,0.03
A,8064,iid,0.0,sn_if,reject_any,400,13,0.0325,0.05117557532347004,0.017416146084212134,0.05493481675069276,0.02
A,8064,cluster_t5,0.0,group_t4,reject_any,400,27,0.0675,0.0918855539227842,0.04495080119225324,0.09669190685305208,0.0325
A,8064,cluster_t5,0.0,group_t8,reject_any,400,26,0.065,0.08904743394633821,0.04289600138479843,0.0937920198964955,0.0275
A,8064,cluster_t5,0.0,sn_if,reject_any,400,25,0.0625,0.08620109193220246,0.040851457009555066,0.0908823695513088,0.025
A,8064,ar03,0.0,group_t4,reject_any,400,30,0.075,0.10035450478085203,0.051171679604668785,0.1053376386138461,0.04
A,8064,ar03,0.0,group_t8,reject_any,400,26,0.065,0.08904743394633821,0.04289600138479843,0.0937920198964955,0.0325
A,8064,ar03,0.0,sn_if,reject_any,400,22,0.055,0.07760800826856465,0.03478548020372222,0.08208923736452577,0.03
A,8064,slow_regime,0.0,group_t4,reject_any,400,20,0.05,0.07182859004603483,0.030805241143265938,0.07616697275514255,0.0275
A,8064,slow_regime,0.0,group_t8,reject_any,400,12,0.03,0.04815392102222603,0.015595552999894341,0.05181721543058358,0.02
A,8064,slow_regime,0.0,sn_if,reject_any,400,15,0.0375,0.05715725044398865,0.02113767478434893,0.06109697662390072,0.0225
A,8064,vol_break,0.0,group_t4,reject_any,400,20,0.05,0.07182859004603483,0.030805241143265938,0.07616697275514255,0.0325
A,8064,vol_break,0.0,group_t8,reject_any,400,25,0.0625,0.08620109193220246,0.040851457009555066,0.0908823695513088,0.0425
A,8064,vol_break,0.0,sn_if,reject_any,400,44,0.11,0.1391719294967207,0.08107216254106347,0.1448475860499374,0.065
A,8064,slower_regime,0.0,group_t4,reject_any,400,20,0.05,0.07182859004603483,0.030805241143265938,0.07616697275514255,0.0375
A,8064,slower_regime,0.0,group_t8,reject_any,400,30,0.075,0.10035450478085203,0.051171679604668785,0.1053376386138461,0.0525
A,8064,slower_regime,0.0,sn_if,reject_any,400,32,0.08,0.10596600919330118,0.05536166558497644,0.11106052465964121,0.045
A,8064,iid,0.4,group_t4,positive_C1,400,172,0.43,0.4722538320882776,0.38090910264868966,0.4801342354372686,0.025
A,8064,iid,0.4,group_t8,positive_C1,400,314,0.785,0.8183847819041814,0.7414517139179753,0.8242726847695605,0.04
A,8064,iid,0.4,sn_if,positive_C1,400,258,0.645,0.6847079580789575,0.5959184462373538,0.6919179646932168,0.0375
A,8064,cluster_t5,0.4,group_t4,positive_C1,400,189,0.4725,0.5148597031353447,0.42268647834984957,0.5227232951175593,0.035
A,8064,cluster_t5,0.4,group_t8,positive_C1,400,315,0.7875,0.8207277769606083,0.7441024798147433,0.826583715308564,0.02
A,8064,cluster_t5,0.4,sn_if,positive_C1,400,271,0.6775,0.7161203888755578,0.6292537905732669,0.7230956084675008,0.0375
