kind,delta,rep,data_seed,rule,p_C1,p_C2,reject_any,reject_C2,positive_C1
iid,0.0,0,2026091402,block20,0.004,0.9,True,False,True
iid,0.0,0,2026091402,block60,0.004,0.936,True,False,True
iid,0.0,0,2026091402,both_blocks,0.004,0.936,True,False,True
iid,0.0,1,2026091403,block20,1.0,1.0,False,False,False
iid,0.0,1,2026091403,block60,1.0,1.0,False,False,False
iid,0.0,1,2026091403,both_blocks,1.0,1.0,False,False,False
iid,0.0,2,2026091404,block20,0.488,0.488,False,False,False
iid,0.0,2,2026091404,block60,0.362,0.34,False,False,False
iid,0.0,2,2026091404,both_blocks,0.488,0.488,False,False,False
iid,0.0,3,2026091405,block20,0.62,0.444,False,False,False
iid,0.0,3,2026091405,block60,0.568,0.376,False,False,False
iid,0.0,3,2026091405,both_blocks,0.62,0.444,False,False,False
iid,0.0,4,2026091406,block20,0.624,0.658,False,False,False
iid,0.0,4,2026091406,block60,0.464,0.658,False,False,False
iid,0.0,4,2026091406,both_blocks,0.624,0.658,False,False,False
iid,0.0,5,2026091407,block20,0.42,0.764,False,False,False
iid,0.0,5,2026091407,block60,0.308,0.736,False,False,False
iid,0.0,5,2026091407,both_blocks,0.42,0.764,False,False,False
iid,0.0,6,2026091408,block20,0.788,0.788,False,False,False
iid,0.0,6,2026091408,block60,0.768,0.768,False,False,False
iid,0.0,6,2026091408,both_blocks,0.788,0.788,False,False,False
iid,0.0,7,2026091409,block20,1.0,1.0,False,False,False
iid,0.0,7,2026091409,block60,0.936,0.824,False,False,False
iid,0.0,7,2026091409,both_blocks,1.0,1.0,False,False,False
iid,0.0,8,2026091410,block20,0.596,0.596,False,False,False
iid,0.0,8,2026091410,block60,0.548,0.548,False,False,False
iid,0.0,8,2026091410,both_blocks,0.596,0.596,False,False,False
iid,0.0,9,2026091411,block20,0.982,0.04,True,True,False
iid,0.0,9,2026091411,block60,0.972,0.052,False,False,False
iid,0.0,9,2026091411,both_blocks,0.982,0.052,False,False,False
iid,0.0,10,2026091412,block20,0.844,0.48,False,False,False
iid,0.0,10,2026091412,block60,0.87,0.38,False,False,False
iid,0.0,10,2026091412,both_blocks,0.87,0.48,False,False,False
iid,0.0,11,2026091413,block20,1.0,1.0,False,False,False
iid,0.0,11,2026091413,block60,1.0,1.0,False,False,False
iid,0.0,11,2026091413,both_blocks,1.0,1.0,False,False,False
iid,0.0,12,2026091414,block20,0.516,0.516,False,False,False
iid,0.0,12,2026091414,block60,0.388,0.388,False,False,False
iid,0.0,12,2026091414,both_blocks,0.596,0.596,False,False,False
iid,0.0,13,2026091415,block20,0.89,0.1,False,False,False
iid,0.0,13,2026091415,block60,0.866,0.144,False,False,False
