kind,delta,rule,metric,n,count,rate,ci_lo,ci_hi,upper_onesided95,null_C2_reject_rate
iid,0.0,block20,reject_any,400,21,0.0525,0.03278842457715371,0.07913463048694427,0.0747237973537661,0.0225
iid,0.0,block60,reject_any,400,42,0.105,0.07672858733080384,0.13927305343181176,0.13368527298073765,0.055
iid,0.0,both_blocks,reject_any,400,19,0.0475,0.028836930380423283,0.07318536540137065,0.06892162748402886,0.02
cluster_t5,0.0,block20,reject_any,400,14,0.035,0.01926446658587992,0.05802726168241613,0.05417600089375991,0.0175
cluster_t5,0.0,block60,reject_any,400,30,0.075,0.051171679604668785,0.1053376386138461,0.10035450478085203,0.045
cluster_t5,0.0,both_blocks,reject_any,400,13,0.0325,0.017416146084212134,0.05493481675069276,0.05117557532347004,0.0175
ar03,0.0,block20,reject_any,400,30,0.075,0.051171679604668785,0.1053376386138461,0.10035450478085203,0.04
ar03,0.0,block60,reject_any,400,45,0.1125,0.08325152768686332,0.1476274860998423,0.1419090605319636,0.045
ar03,0.0,both_blocks,reject_any,400,28,0.07,0.047015328400178955,0.0995825157700608,0.09471586126127723,0.0375
slow_regime,0.0,block20,reject_any,400,166,0.415,0.36625019614017085,0.4650169077671521,0.45714428362293147,0.2575
slow_regime,0.0,block60,reject_any,400,94,0.235,0.19429264288866133,0.27967822473994747,0.27252626797382024,0.1375
slow_regime,0.0,both_blocks,reject_any,400,94,0.235,0.19429264288866133,0.27967822473994747,0.27252626797382024,0.1375
vol_break,0.0,block20,reject_any,400,20,0.05,0.030805241143265938,0.07616697275514255,0.07182859004603483,0.03
vol_break,0.0,block60,reject_any,400,32,0.08,0.05536166558497644,0.11106052465964121,0.10596600919330118,0.0375
vol_break,0.0,both_blocks,reject_any,400,14,0.035,0.01926446658587992,0.05802726168241613,0.05417600089375991,0.0175
iid,0.2,block20,positive_C1,400,13,0.0325,0.017416146084212134,0.05493481675069276,0.05117557532347004,0.03
iid,0.2,block60,positive_C1,400,24,0.06,0.03881774910442581,0.08796242340489667,0.08334607872125388,0.0475
iid,0.2,both_blocks,positive_C1,400,13,0.0325,0.017416146084212134,0.05493481675069276,0.05117557532347004,0.03
iid,0.4,block20,positive_C1,400,40,0.1,0.07240629419404179,0.13367785829068946,0.1281812320507177,0.0375
iid,0.4,block60,positive_C1,400,48,0.12,0.08981820473352149,0.1559393632449834,0.15009704775184407,0.065
iid,0.4,both_blocks,positive_C1,400,33,0.0825,0.05746835736279322,0.11391072846740881,0.10876230052642044,0.0325
iid,0.6,block20,positive_C1,400,76,0.19,0.15272113146045965,0.23193784398353853,0.2251902331006394,0.045
iid,0.6,block60,positive_C1,400,91,0.2275,0.18731497085334023,0.2717699960005598,0.2646777010318737,0.0725
iid,0.6,both_blocks,positive_C1,400,69,0.1725,0.13676558500065306,0.21316385723663298,0.20660667035453542,0.04
cluster_t5,0.2,block20,positive_C1,400,16,0.04,0.023033395740548884,0.06414601093905078,0.06012105707642948,0.0375
cluster_t5,0.2,block60,positive_C1,400,21,0.0525,0.03278842457715371,0.07913463048694427,0.0747237973537661,0.055
cluster_t5,0.2,both_blocks,positive_C1,400,10,0.025,0.01205212011318594,0.045494279298780006,0.04203654501425724,0.0375
cluster_t5,0.4,block20,positive_C1,400,44,0.11,0.08107216254106347,0.1448475860499374,0.1391719294967207,0.0325
cluster_t5,0.4,block60,positive_C1,400,52,0.13,0.09863575712886828,0.16696142880796078,0.16096352571182765,0.05
cluster_t5,0.4,both_blocks,positive_C1,400,39,0.0975,0.07025356901811508,0.13087209543263603,0.12542234127630272,0.0275
cluster_t5,0.6,block20,positive_C1,400,81,0.2025,0.1641947725604529,0.2452721286199188,0.23840055729950146,0.05
cluster_t5,0.6,block60,positive_C1,400,97,0.2425,0.20128834688699077,0.28756861188218524,0.28035983748878424,0.0725
cluster_t5,0.6,both_blocks,positive_C1,400,68,0.17,0.13449719089488998,0.210471061555629,0.20394279718675687,0.0425
