line,family,rep_form,rep_k,orig_gate0_p,V0_maxT,V0_minP,V1_obs,V1_maxT,V1_minP,V3_obs,V3_maxT,V3_minP,status
basis_term,T1,T1_lb5zw60,40,0.1028971028971029,0.1028971028971029,0.37362637362637363,0.21133603238866397,0.14685314685314685,0.4355644355644356,0.2653458340684657,0.16483516483516483,0.44955044955044954,no_flip
basis_term,T2,T2_lb5zw60,40,0.1618381618381618,0.16183816183816183,0.37962037962037964,0.1402834008097166,0.4305694305694306,0.7472527472527473,0.23980016065155854,0.2807192807192807,0.5354645354645354,no_flip
basis_term,T3,T3_lb20zw250,40,0.8261738261738262,0.8261738261738262,0.997002997002997,0.2074604109712328,0.15984015984015984,0.3036963036963037,0.09663648307162462,0.987012987012987,1.0,no_flip
consensus,R1,R1_lb20zw60,40,1.0,1.0,1.0,0.12967032967032965,0.9300699300699301,0.967032967032967,0.035023557356188124,1.0,1.0,no_flip
consensus,R2,R2_lb20zw250,20,1.0,1.0,1.0,0.07635467980295566,0.989010989010989,0.977022977022977,0.11310618769760654,1.0,1.0,no_flip
consensus,R3,R3_lb20zw60,5,1.0,1.0,1.0,0.040705866413765064,1.0,0.995004995004995,0.026080538529513867,1.0,1.0,no_flip
consensus,R4,R4_lb20zw250,40,0.989010989010989,0.989010989010989,1.0,0.2774405379175659,0.43156843156843155,0.6363636363636364,0.21258688970965234,0.9330669330669331,0.999000999000999,no_flip
incumbent_ew,EW,EW_lb20zw40,20,0.29270729270729273,0.34565434565434566,0.15484515484515485,0.16234683360690152,0.3096903096903097,0.13086913086913088,0.0,1.0,1.0,no_flip
money_flow,F1,F1_lb5zw250,20,0.2207792207792207,0.22077922077922077,0.1028971028971029,0.26322930800542743,0.058941058941058944,0.07092907092907093,0.2778919967075555,0.16383616383616384,0.03996003996003996,no_flip
money_flow,F2,F2_lb5zw60,40,1.0,1.0,1.0,0.13736631016042783,0.5374625374625375,0.8991008991008991,0.045992395608936316,1.0,1.0,no_flip
new_high,N1,N1_lb20zw60,40,0.8421578421578422,0.8471528471528471,0.973026973026973,0.07348178137651823,0.8801198801198801,0.995004995004995,0.11584019899577418,0.9090909090909091,0.985014985014985,no_flip
new_high,N2,N2_lb5zw60,20,1.0,1.0,1.0,0.08792599805258032,0.8161838161838162,0.8051948051948052,0.0075476424430112755,1.0,1.0,no_flip
option,O1,O1_lb5zw250,20,,1.0,1.0,0.08004277535191275,0.998001998001998,1.0,0.07456163318364385,1.0,1.0,no_flip
option,O2,O2_lb5zw60,40,0.2547452547452547,0.2727272727272727,0.7552447552447552,0.3220779220779221,0.23476523476523475,0.46853146853146854,0.3511073656158633,0.2937062937062937,0.7402597402597403,no_flip
option,O3,O3_lb20zw250,5,,1.0,1.0,0.05067356372441118,1.0,1.0,0.036241490246688816,1.0,1.0,no_flip
option,O4,O4_lb5zw250,20,,1.0,0.994005994005994,-inf,1.0,1.0,0.170753733455521,0.998001998001998,0.995004995004995,no_flip
option,O5,O5_lb5zw60,40,,1.0,1.0,0.15844155844155844,0.922077922077922,0.998001998001998,0.02403444247755599,1.0,1.0,no_flip
