family,form,k,kou_jing,ic,n_windows,ic_2020-2022,ic_2023-2026
O1,O1_lb5zw60,5,500,0.01526615617147874,323,-0.03312180044827364,0.03473035439137134
O1,O1_lb5zw60,5,1000,0.013697127640569797,323,-0.006144013590435225,0.006911732335461149
O1,O1_lb5zw60,5,blend,0.015504394956584977,323,-0.018309441874015345,0.023568126788465774
O1,O1_lb5zw60,10,500,0.05680148380912344,161,-0.08616468341857188,0.07654735000364511
O1,O1_lb5zw60,10,1000,0.07517361361505114,161,-0.031393594270059666,0.041372020121017705
O1,O1_lb5zw60,10,blend,0.07248781470462125,161,-0.059500252387912234,0.050867536633374635
O1,O1_lb5zw60,20,500,-0.00879048752058883,80,0.028853561244509385,0.23950468136514647
O1,O1_lb5zw60,20,1000,0.016819132789393294,80,0.01596750476637898,0.20582905466626397
O1,O1_lb5zw60,20,blend,-0.00805208656885937,80,0.022410533005444183,0.23814557535487768
O1,O1_lb5zw60,40,500,0.0910931174089069,39,0.08088235294117649,0.014285714285714285
O1,O1_lb5zw60,40,1000,0.2382591093117409,39,0.12500000000000003,-0.02077922077922078
O1,O1_lb5zw60,40,blend,0.15,39,0.08578431372549021,0.02727272727272727
O1,O1_lb5zw250,5,500,0.03770934057921966,323,0.08282325259808879,0.029775478758529608
O1,O1_lb5zw250,5,1000,0.04235893091788098,323,0.09194802176134556,0.026220559101915036
O1,O1_lb5zw250,5,blend,0.03958358851840384,323,0.09005385401538225,0.030600924499229586
O1,O1_lb5zw250,10,500,0.09922821333770099,161,0.08815176411347117,0.054640227454982856
O1,O1_lb5zw250,10,1000,0.11183966257934112,161,0.08480011605018498,0.02595319676314063
O1,O1_lb5zw250,10,blend,0.11609964509124834,161,0.07517267799084758,0.015947364584092728
O1,O1_lb5zw250,20,500,0.09952231173315412,80,0.18340260519557075,0.220628209000302
O1,O1_lb5zw250,20,1000,0.09917010348117881,80,0.1540982138743767,0.23467230443974632
O1,O1_lb5zw250,20,blend,0.08870951839751239,80,0.15509885162680767,0.25868317728782847
O1,O1_lb5zw250,40,500,0.19640081615391505,39,0.27057218876286493,0.0038961038961038965
O1,O1_lb5zw250,40,1000,0.24922726179985705,39,0.29186722213772,-0.0012987012987012987
O1,O1_lb5zw250,40,blend,0.2056277001343003,39,0.29311987115977034,0.016883116883116882
O1,O1_lb20zw60,5,500,-0.017451614204658076,323,-0.010081247029644453,0.005450143077261721
O1,O1_lb20zw60,5,1000,-0.01686652253959149,323,0.008185988666615204,-0.006304204270305966
O1,O1_lb20zw60,5,blend,-0.01688219145819339,323,0.0025725670251086326,0.0020162887959498128
O1,O1_lb20zw60,10,500,0.009354286783328029,161,-0.0674828116147009,0.06956696070569365
O1,O1_lb20zw60,10,1000,0.02245833992554316,161,-0.01475767252011352,0.04086170445432674
O1,O1_lb20zw60,10,blend,0.02397377464267008,161,-0.050779809535117876,0.04120799008529562
O1,O1_lb20zw60,20,500,-0.04971899741645043,80,-0.07479515390566996,0.07520386590154032
O1,O1_lb20zw60,20,1000,-0.025023587808609537,80,-0.052384620900225776,0.05919661733615222
O1,O1_lb20zw60,20,blend,-0.045980110057693306,80,-0.058827649139290984,0.08396254907882815
O1,O1_lb20zw60,40,500,0.008502024291497975,39,0.014705882352941176,0.03766233766233767
O1,O1_lb20zw60,40,1000,0.18441295546558706,39,0.05392156862745098,0.033766233766233764
O1,O1_lb20zw60,40,blend,0.08340080971659919,39,0.019607843137254905,0.07012987012987014
O1,O1_lb20zw250,5,500,0.0316389033540394,323,0.09128045561520066,0.01802773497688752
O1,O1_lb20zw250,5,1000,0.03436323367599401,323,0.08935557163551901,0.025560202509355052
O1,O1_lb20zw250,5,blend,0.03196887658276901,323,0.09350226318749276,0.023255558001320713
O1,O1_lb20zw250,10,500,0.06291899119767229,161,0.11434933979181022,0.06552088649121528
O1,O1_lb20zw250,10,1000,0.07966944981700727,161,0.08179047289131573,0.04547277101407012
O1,O1_lb20zw250,10,blend,0.08039528862228154,161,0.07678010104160728,0.029033316322811104
O1,O1_lb20zw250,20,500,0.08280416003939318,80,0.11707461703442902,0.07626094835397161
O1,O1_lb20zw250,20,1000,0.1087266873847753,80,0.1006355682444909,0.11688311688311687
O1,O1_lb20zw250,20,blend,0.09295949797134768,80,0.09363110397747378,0.12111144669284205
O1,O1_lb20zw250,40,500,0.07594435276163261,39,0.18539205526344446,0.033766233766233764
O1,O1_lb20zw250,40,1000,0.1439799478257921,39,0.21670828081470198,0.07662337662337662
O1,O1_lb20zw250,40,blend,0.09166047382712399,39,0.2179609298367523,0.07142857142857142
O2,O2_lb5zw60,5,500,0.044440706609581805,319,0.04565053015925468,0.05075500770416025
O2,O2_lb5zw60,5,1000,0.04151767148782526,319,0.07521364496554184,0.023819062293638563
O2,O2_lb5zw60,5,blend,0.04620480470001082,319,0.06580643713438636,0.042170372000880474
O2,O2_lb5zw60,10,500,0.10769506352799336,159,0.07918453179252546,0.09491871400451993
O2,O2_lb5zw60,10,1000,0.10838769388140157,159,0.13997725299633396,0.0719545090034264
O2,O2_lb5zw60,10,blend,0.11013419714322832,159,0.12482282105548821,0.08657140774221768
O2,O2_lb5zw60,20,500,0.12975979649580904,79,0.15555046267415615,0.11310782241014798
O2,O2_lb5zw60,20,1000,0.05249545092265495,79,0.09611123872499433,0.0732407127755965
O2,O2_lb5zw60,20,blend,0.07683834492805951,79,0.10375124180329276,0.10314104500151013
O2,O2_lb5zw60,40,500,-0.2983805668016195,39,-0.6,-0.3194805194805195
O2,O2_lb5zw60,40,1000,-0.39008097165991906,39,-0.6294117647058822,-0.38831168831168833
O2,O2_lb5zw60,40,blend,-0.3578947368421053,39,-0.6323529411764706,-0.3220779220779221
O2,O2_lb5zw250,5,500,0.04414795693649625,319,0.05356222866257554,0.0414373761831389
