kind,scheme,criterion,n_datasets,reject_rate,ci_lo,ci_hi,binomial_p_vs_005
regime,full_group,p_maxT,400,0.115,0.08543574724338861,0.15040266262310834,2.120994220140221e-07
regime,full_group,p_minP,400,0.09,0.06383147319260374,0.12241988689032242,0.0007681609260105697
regime,restricted,p_maxT,400,0.1325,0.10085046466505715,0.16970686757948622,1.6013995390594906e-10
regime,restricted,p_minP,400,0.16,0.1254529845085964,0.1996710045801445,3.1596038958563063e-16
shared_volatility,full_group,p_maxT,400,0.0875,0.06170354576324977,0.11959014333036637,0.0017235286291381491
shared_volatility,full_group,p_minP,400,0.0875,0.06170354576324977,0.11959014333036637,0.0017235286291381491
shared_volatility,restricted,p_maxT,400,0.105,0.07672858733080384,0.13927305343184374,8.447070822152785e-06
shared_volatility,restricted,p_minP,400,0.1575,0.12319954923576054,0.1969635075671151,1.1479042876791775e-15
stationary,full_group,p_maxT,400,0.0475,0.028836930380567522,0.07318536540137097,0.9088578868251964
stationary,full_group,p_minP,400,0.045,0.026884625615228974,0.07018879549534054,0.7311529792477928
stationary,restricted,p_maxT,400,0.0475,0.028836930380567522,0.07318536540137097,0.9088578868251964
stationary,restricted,p_minP,400,0.055,0.034785480203356985,0.08208923736452733,0.6452473637875247
