kind,rep,scheme,p_maxT,p_minP
stationary,0,restricted,0.564,0.158
stationary,0,full_group,0.56,0.156
stationary,1,restricted,0.712,0.604
stationary,1,full_group,0.708,0.52
stationary,2,restricted,0.302,0.4
stationary,2,full_group,0.292,0.56
stationary,3,restricted,0.176,0.204
stationary,3,full_group,0.168,0.234
stationary,4,restricted,0.866,0.49
stationary,4,full_group,0.878,0.442
stationary,5,restricted,0.178,0.392
stationary,5,full_group,0.196,0.456
stationary,6,restricted,0.112,0.25
stationary,6,full_group,0.098,0.258
stationary,7,restricted,0.776,0.412
stationary,7,full_group,0.818,0.378
stationary,8,restricted,0.99,0.732
stationary,8,full_group,0.99,0.756
stationary,9,restricted,0.298,0.384
stationary,9,full_group,0.306,0.478
stationary,10,restricted,0.018,0.024
stationary,10,full_group,0.016,0.016
stationary,11,restricted,0.11,0.244
stationary,11,full_group,0.134,0.246
stationary,12,restricted,0.232,0.604
stationary,12,full_group,0.234,0.648
stationary,13,restricted,0.104,0.308
stationary,13,full_group,0.07,0.252
stationary,14,restricted,0.348,0.706
stationary,14,full_group,0.34,0.686
stationary,15,restricted,0.75,0.524
stationary,15,full_group,0.654,0.496
stationary,16,restricted,0.91,0.97
stationary,16,full_group,0.872,0.946
stationary,17,restricted,0.894,0.294
stationary,17,full_group,0.9,0.212
stationary,18,restricted,0.898,0.494
stationary,18,full_group,0.876,0.494
stationary,19,restricted,0.72,0.73
stationary,19,full_group,0.762,0.816
stationary,20,restricted,0.396,0.234
stationary,20,full_group,0.37,0.196
stationary,21,restricted,0.22,0.51
stationary,21,full_group,0.248,0.518
stationary,22,restricted,0.072,0.178
stationary,22,full_group,0.06,0.092
stationary,23,restricted,0.822,0.494
stationary,23,full_group,0.846,0.54
stationary,24,restricted,0.862,0.822
stationary,24,full_group,0.824,0.852
stationary,25,restricted,0.668,0.392
stationary,25,full_group,0.7,0.408
stationary,26,restricted,0.084,0.156
stationary,26,full_group,0.094,0.078
stationary,27,restricted,0.298,0.532
stationary,27,full_group,0.316,0.586
stationary,28,restricted,0.87,0.774
stationary,28,full_group,0.89,0.798
stationary,29,restricted,0.748,0.594
stationary,29,full_group,0.73,0.65
stationary,30,restricted,0.186,0.052
stationary,30,full_group,0.204,0.128
stationary,31,restricted,0.332,0.264
stationary,31,full_group,0.356,0.236
stationary,32,restricted,0.836,0.972
stationary,32,full_group,0.838,0.978
stationary,33,restricted,0.906,0.86
stationary,33,full_group,0.902,0.88
stationary,34,restricted,0.146,0.404
stationary,34,full_group,0.168,0.436
stationary,35,restricted,0.95,0.942
stationary,35,full_group,0.954,0.928
stationary,36,restricted,0.368,0.534
stationary,36,full_group,0.384,0.544
stationary,37,restricted,0.62,0.794
stationary,37,full_group,0.64,0.71
stationary,38,restricted,0.046,0.072
stationary,38,full_group,0.048,0.088
stationary,39,restricted,0.686,0.794
stationary,39,full_group,0.664,0.838
stationary,40,restricted,0.21,0.328
stationary,40,full_group,0.196,0.412
stationary,41,restricted,0.654,0.4
stationary,41,full_group,0.642,0.504
stationary,42,restricted,0.914,0.922
stationary,42,full_group,0.91,0.848
stationary,43,restricted,0.412,0.082
stationary,43,full_group,0.404,0.072
stationary,44,restricted,0.314,0.594
stationary,44,full_group,0.312,0.608
stationary,45,restricted,0.622,0.866
stationary,45,full_group,0.63,0.86
stationary,46,restricted,0.164,0.418
stationary,46,full_group,0.148,0.36
stationary,47,restricted,0.256,0.606
stationary,47,full_group,0.226,0.564
stationary,48,restricted,0.484,0.678
stationary,48,full_group,0.476,0.716
stationary,49,restricted,0.238,0.29
stationary,49,full_group,0.286,0.298
stationary,50,restricted,0.946,0.716
stationary,50,full_group,0.956,0.706
stationary,51,restricted,0.978,0.846
stationary,51,full_group,0.964,0.758
stationary,52,restricted,0.31,0.584
stationary,52,full_group,0.326,0.466
stationary,53,restricted,0.866,0.29
stationary,53,full_group,0.892,0.29
stationary,54,restricted,0.57,0.358
stationary,54,full_group,0.568,0.324
stationary,55,restricted,0.99,0.936
